date,미국배당주
2020-11-07,25.7889
2020-11-08,19.15125
2020-11-09,31.55603
2020-11-10,41.24047
2020-11-11,41.67573
2020-11-12,36.56147
2020-11-13,31.33841
2020-11-14,29.16213
2020-11-15,21.65397
2020-11-16,49.07508
2020-11-17,55.27747
2020-11-18,53.10119
2020-11-19,44.28726
2020-11-20,45.26659
2020-11-21,32.97062
2020-11-22,23.83025
2020-11-23,35.14689
2020-11-24,44.17845
2020-11-25,55.16866
2020-11-26,48.53101
2020-11-27,31.88248
2020-11-28,31.12078
2020-11-29,32.53536
2020-11-30,34.3852
2020-12-01,43.63438
2020-12-02,47.98694
2020-12-03,51.79542
2020-12-04,52.23068
2020-12-05,43.19912
2020-12-06,38.95538
2020-12-07,45.81066
2020-12-08,50.92491
2020-12-09,55.93035
2020-12-10,49.18389
2020-12-11,50.59847
2020-12-12,38.41131
2020-12-13,27.74755
2020-12-14,41.4581
2020-12-15,44.94015
2020-12-16,41.4581
2020-12-17,44.17845
2020-12-18,38.84657
2020-12-19,36.34385
2020-12-20,27.85636
2020-12-21,35.14689
2020-12-22,40.91403
2020-12-23,45.26659
2020-12-24,45.81066
2020-12-25,32.20892
2020-12-26,28.29162
2020-12-27,26.11534
2020-12-28,41.02285
2020-12-29,49.83677
2020-12-30,52.55712
2020-12-31,44.61371
2021-01-01,33.40587
2021-01-02,34.60282
2021-01-03,41.34929
2021-01-04,56.69205
2021-01-05,65.07072
2021-01-06,56.03917
2021-01-07,59.08596
2021-01-08,58.86833
2021-01-09,52.12187
2021-01-10,46.46354
2021-01-11,53.21001
2021-01-12,55.93035
2021-01-13,62.35038
2021-01-14,64.96191
2021-01-15,51.46898
2021-01-16,44.17845
2021-01-17,36.01741
2021-01-18,30.46789
2021-01-19,47.00761
2021-01-20,55.93035
2021-01-21,60.82698
2021-01-22,55.16866
2021-01-23,48.42219
2021-01-24,36.99673
2021-01-25,52.12187
2021-01-26,59.63003
2021-01-27,62.24156
2021-01-28,62.02393
2021-01-29,51.25136
2021-01-30,39.93471
2021-01-31,61.69749
2021-02-01,59.95647
2021-02-02,73.66702
2021-02-03,87.92165
2021-02-04,77.91077
2021-02-05,70.62023
2021-02-06,60.1741
2021-02-07,42.43743
2021-02-08,50.0544
2021-02-09,66.05005
