date,어른이보험
2020-03-20,15.8057
2020-03-21,10.10023
2020-03-22,8.86661
2020-03-23,14.64919
2020-03-24,20.12336
2020-03-25,18.19583
2020-03-26,16.26831
2020-03-27,15.4202
2020-03-28,11.71935
2020-03-29,9.02081
2020-03-30,14.95759
2020-03-31,12.64456
2020-04-01,7.47879
2020-04-02,8.94371
2020-04-03,6.86198
2020-04-04,6.78488
2020-04-05,5.85967
2020-04-06,7.8643
2020-04-07,8.48111
2020-04-08,9.86892
2020-04-09,6.86198
2020-04-10,8.1727
2020-04-11,3.16114
2020-04-12,5.31996
2020-04-13,11.41094
2020-04-14,8.3269
2020-04-15,7.17039
2020-04-16,9.40632
2020-04-17,8.71241
2020-04-18,7.17039
2020-04-19,5.85967
2020-04-20,11.48804
2020-04-21,9.02081
2020-04-22,10.17733
2020-04-23,12.64456
2020-04-24,12.33616
2020-04-25,6.01387
2020-04-26,3.85505
2020-04-27,7.01619
2020-04-28,11.33384
2020-04-29,9.86892
2020-04-30,6.39938
2020-05-01,8.86661
2020-05-02,6.63068
2020-05-03,6.86198
2020-05-04,10.33153
2020-05-05,9.17501
2020-05-06,9.56052
2020-05-07,10.63993
2020-05-08,9.02081
2020-05-09,5.55127
2020-05-10,4.54895
2020-05-11,12.79876
2020-05-12,13.72397
2020-05-13,13.10717
2020-05-14,15.8057
2020-05-15,13.33847
2020-05-16,9.63762
2020-05-17,8.48111
2020-05-18,24.28681
2020-05-19,22.74479
2020-05-20,15.5744
2020-05-21,13.49267
2020-05-22,12.33616
2020-05-23,6.86198
2020-05-24,8.2498
2020-05-25,16.1141
2020-05-26,13.87818
2020-05-27,11.17964
2020-05-28,12.56746
2020-05-29,8.94371
2020-05-30,3.85505
2020-05-31,4.78026
2020-06-01,9.56052
2020-06-02,10.94834
2020-06-03,13.49267
2020-06-04,13.95528
2020-06-05,16.57671
2020-06-06,7.8643
2020-06-07,4.70316
2020-06-08,15.8057
2020-06-09,17.96453
2020-06-10,12.18195
2020-06-11,14.34078
2020-06-12,14.03238
2020-06-13,6.70778
2020-06-14,6.32228
2020-06-15,10.25443
2020-06-16,31.5343
2020-06-17,17.57902
2020-06-18,18.65844
2020-06-19,16.34541
2020-06-20,9.63762
2020-06-21,5.85967
2020-06-22,12.41326
2020-06-23,15.4202
2020-06-24,16.34541
2020-06-25,13.72397
2020-06-26,12.10485
2020-06-27,11.02544
2020-06-28,6.78488
2020-06-29,14.95759
2020-06-30,14.95759
2020-07-01,15.18889
2020-07-02,11.41094
2020-07-03,9.09791
2020-07-04,5.62837
2020-07-05,4.93446
2020-07-06,11.87355
2020-07-07,12.49036
2020-07-08,13.10717
2020-07-09,16.26831
2020-07-10,11.79645
2020-07-11,6.39938
2020-07-12,6.24518
2020-07-13,12.49036
2020-07-14,14.18658
2020-07-15,12.49036
2020-07-16,10.56283
2020-07-17,11.71935
2020-07-18,5.47417
2020-07-19,4.62606
2020-07-20,13.03006
2020-07-21,14.95759
2020-07-22,14.49498
2020-07-23,12.02775
2020-07-24,15.18889
2020-07-25,7.01619
2020-07-26,9.79182
2020-07-27,15.18889
2020-07-28,12.72166
2020-07-29,11.17964
