date,연금저축연말정산
2020-03-20,4.33673
2020-03-21,2.93367
2020-03-22,2.80612
2020-03-23,4.97448
2020-03-24,4.46428
2020-03-25,6.25
2020-03-26,4.59183
2020-03-27,5.48469
2020-03-28,1.91326
2020-03-29,3.31632
2020-03-30,5.35714
2020-03-31,3.44387
2020-04-01,3.44387
2020-04-02,3.06122
2020-04-03,3.57142
2020-04-04,1.91326
2020-04-05,3.44387
2020-04-06,3.06122
2020-04-07,4.46428
2020-04-08,6.12244
2020-04-09,4.20918
2020-04-10,4.08163
2020-04-11,2.42346
2020-04-12,2.42346
2020-04-13,2.67857
2020-04-14,3.44387
2020-04-15,1.40306
2020-04-16,3.31632
2020-04-17,3.06122
2020-04-18,2.55102
2020-04-19,2.80612
2020-04-20,4.33673
2020-04-21,4.20918
2020-04-22,3.18877
2020-04-23,3.31632
2020-04-24,4.08163
2020-04-25,1.27551
2020-04-26,2.04081
2020-04-27,3.44387
2020-04-28,3.95408
2020-04-29,3.18877
2020-04-30,1.91326
2020-05-01,3.06122
2020-05-02,1.0204
2020-05-03,3.57142
2020-05-04,4.59183
2020-05-05,1.78571
2020-05-06,3.57142
2020-05-07,2.80612
2020-05-08,3.18877
2020-05-09,1.65816
2020-05-10,1.65816
2020-05-11,3.44387
2020-05-12,4.33673
2020-05-13,3.95408
2020-05-14,3.57142
2020-05-15,2.55102
2020-05-16,2.04081
2020-05-17,1.27551
2020-05-18,3.06122
2020-05-19,3.18877
2020-05-20,2.55102
2020-05-21,2.67857
2020-05-22,3.57142
2020-05-23,1.65816
2020-05-24,1.14795
2020-05-25,3.57142
2020-05-26,4.59183
2020-05-27,2.80612
2020-05-28,2.55102
2020-05-29,2.55102
2020-05-30,1.53061
2020-05-31,0.7653
2020-06-01,2.42346
2020-06-02,2.67857
2020-06-03,3.57142
2020-06-04,2.55102
2020-06-05,1.65816
2020-06-06,0.7653
2020-06-08,2.93367
2020-06-09,1.91326
2020-06-10,1.40306
2020-06-11,2.42346
2020-06-12,1.14795
2020-06-13,0.89285
2020-06-14,1.78571
2020-06-15,2.93367
2020-06-16,1.65816
2020-06-17,2.93367
2020-06-18,2.55102
2020-06-19,1.65816
2020-06-20,0.89285
2020-06-21,1.0204
2020-06-22,2.04081
2020-06-23,2.55102
2020-06-24,1.14795
2020-06-25,2.04081
2020-06-26,2.80612
2020-06-28,0.7653
2020-06-29,1.91326
2020-06-30,3.57142
2020-07-01,2.67857
2020-07-02,2.55102
2020-07-03,1.0204
2020-07-04,1.27551
2020-07-05,0.7653
2020-07-06,2.29591
2020-07-07,2.80612
2020-07-08,1.40306
2020-07-09,2.55102
2020-07-10,1.91326
2020-07-11,1.27551
2020-07-12,0.7653
2020-07-13,2.04081
2020-07-14,1.40306
2020-07-15,2.04081
2020-07-18,0.7653
2020-07-19,1.65816
2020-07-20,2.93367
2020-07-21,3.06122
2020-07-22,2.42346
2020-07-23,3.18877
2020-07-24,1.65816
2020-07-25,0.63775
2020-07-26,0.89285
2020-07-27,2.42346
2020-07-28,3.69897
2020-07-29,3.06122
2020-07-30,3.06122
2020-07-31,2.55102
2020-08-01,0.7653
2020-08-02,1.78571
2020-08-03,1.91326
2020-08-04,2.55102
2020-08-05,1.65816
2020-08-06,2.55102
2020-08-07,3.18877
2020-08-08,1.14795
2020-08-09,0.7653
2020-08-10,2.55102
2020-08-11,3.44387
2020-08-12,2.29591
2020-08-13,1.65816
2020-08-14,1.27551
2020-08-15,0.7653
2020-08-16,0.7653
2020-08-17,0.63775
2020-08-18,1.40306
2020-08-19,1.27551
2020-08-20,1.53061
2020-08-21,1.40306
2020-08-22,0.89285
2020-08-23,1.78571
2020-08-24,1.40306
2020-08-25,3.18877
2020-08-26,4.46428
2020-08-27,1.0204
2020-08-28,2.42346
2020-08-29,1.27551
2020-08-30,1.14795
2020-08-31,1.65816
2020-09-01,2.93367
2020-09-02,3.57142
2020-09-03,3.31632
2020-09-04,2.42346
2020-09-05,1.40306
2020-09-06,1.27551
2020-09-07,3.57142
2020-09-08,4.08163
2020-09-09,2.04081
2020-09-10,2.80612
2020-09-11,1.14795
2020-09-12,1.91326
2020-09-13,0.89285
2020-09-14,0.7653
2020-09-15,1.53061
2020-09-16,2.80612
2020-09-17,2.55102
2020-09-18,1.65816
2020-09-19,1.14795
2020-09-20,1.14795
2020-09-21,1.91326
2020-09-22,2.42346
2020-09-23,2.80612
2020-09-24,2.42346
2020-09-25,3.06122
2020-09-26,1.14795
2020-09-27,2.04081
2020-09-28,2.80612
2020-09-29,2.80612
2020-09-30,1.0204
2020-10-03,1.65816
2020-10-04,2.29591
2020-10-05,3.69897
2020-10-06,1.91326
2020-10-07,1.27551
2020-10-08,3.57142
2020-10-09,2.29591
2020-10-10,1.27551
2020-10-11,1.0204
2020-10-12,2.67857
2020-10-13,2.04081
2020-10-14,3.31632
2020-10-15,2.55102
2020-10-16,2.80612
2020-10-17,1.0204
2020-10-18,0.7653
2020-10-19,1.65816
2020-10-20,3.18877
2020-10-21,2.93367
2020-10-22,2.80612
2020-10-23,3.18877
2020-10-24,0.63775
2020-10-25,0.89285
2020-10-26,2.29591
2020-10-27,2.42346
2020-10-28,2.93367
2020-10-29,5.10204
2020-10-30,4.08163
2020-10-31,1.78571
2020-11-01,3.57142
2020-11-02,3.44387
2020-11-03,5.99489
2020-11-04,3.95408
2020-11-05,5.35714
2020-11-06,4.59183
2020-11-07,2.16836
2020-11-08,2.16836
2020-11-09,4.71938
2020-11-10,3.69897
2020-11-11,4.08163
2020-11-12,6.25
2020-11-13,2.93367
2020-11-14,2.55102
2020-11-15,2.42346
2020-11-16,4.59183
2020-11-17,4.33673
2020-11-18,4.46428
2020-11-19,3.82653
2020-11-20,4.46428
2020-11-21,1.65816
2020-11-22,2.93367
2020-11-23,7.39795
2020-11-24,5.48469
2020-11-25,6.63265
2020-11-26,3.82653
2020-11-27,11.60714
2020-11-28,5.10204
2020-11-29,5.22959
2020-11-30,9.31122
2020-12-01,10.20408
2020-12-02,9.82142
2020-12-03,9.69387
2020-12-04,9.69387
2020-12-05,3.31632
2020-12-06,4.33673
2020-12-07,7.39795
2020-12-08,9.94897
2020-12-09,18.87755
2020-12-10,18.23979
2020-12-11,8.67346
2020-12-12,4.84693
2020-12-13,5.22959
2020-12-14,18.23979
2020-12-15,20.53571
2020-12-16,12.7551
2020-12-17,12.11734
2020-12-18,11.35204
2020-12-19,4.46428
2020-12-20,7.65306
2020-12-21,14.66836
2020-12-22,15.05102
2020-12-23,20.40816
2020-12-24,22.19387
2020-12-25,12.88265
2020-12-26,9.69387
2020-12-27,9.18367
2020-12-28,27.93367
2020-12-29,27.04081
2020-12-30,27.04081
2020-12-31,23.08673
2021-01-01,3.44387
2021-01-02,4.46428
2021-01-03,4.71938
2021-01-04,7.52551
2021-01-05,8.16326
2021-01-06,6.7602
2021-01-07,6.63265
2021-01-08,6.25
2021-01-09,4.08163
2021-01-10,5.22959
2021-01-11,10.07653
2021-01-12,8.92857
2021-01-13,10.84183
2021-01-14,11.60714
2021-01-15,42.21938
2021-01-16,15.43367
2021-01-17,17.98469
2021-01-18,66.45408
2021-01-19,60.58673
2021-01-20,73.34183
2021-01-21,69.89795
2021-01-22,59.18367
