date,루닛주가
2021-05-31,0.02
2021-06-01,0.02285
2021-06-02,0.03143
2021-06-03,0.06
2021-06-04,0.02285
2021-06-05,0.03714
2021-06-06,0.03714
2021-06-07,0.06286
2021-06-08,0.02571
2021-06-09,0.03143
2021-06-10,0.04571
2021-06-11,0.02285
2021-06-14,0.08286
2021-06-15,0.14001
2021-06-16,0.08286
2021-06-17,0.04571
2021-06-18,0.06571
2021-06-19,0.03143
2021-06-20,0.01428
2021-06-21,0.02285
2021-06-22,0.04571
2021-06-23,0.03143
2021-06-24,0.08572
2021-06-25,0.03714
2021-06-26,0.03143
2021-06-27,0.10858
2021-06-28,0.05714
2021-06-29,0.06
2021-06-30,0.08286
2021-07-01,0.06286
2021-07-02,0.02285
2021-07-03,0.02571
2021-07-05,0.05714
2021-07-06,0.04
2021-07-07,0.04857
2021-07-08,0.03428
2021-07-09,0.01714
2021-07-14,0.04571
2021-07-15,0.02857
2021-07-17,0.01428
2021-07-19,0.03428
2021-07-20,0.07714
2021-07-21,0.12858
2021-07-22,0.06857
2021-07-23,0.09429
2021-07-24,0.05143
2021-07-25,0.02285
2021-07-26,0.02571
2021-07-27,0.06
2021-07-28,0.02571
2021-07-29,0.07429
2021-07-30,0.05714
2021-07-31,0.17715
2021-08-01,0.08857
2021-08-02,0.04286
2021-08-03,0.04
2021-08-04,0.03428
2021-08-05,0.04571
2021-08-06,0.02857
2021-08-07,0.02285
2021-08-08,0.04857
2021-08-09,0.04
2021-08-10,0.05429
2021-08-11,0.02571
2021-08-12,0.07714
2021-08-13,0.03143
2021-08-15,0.1
2021-08-16,0.03714
2021-08-17,0.03714
2021-08-18,0.02
2021-08-19,0.02857
2021-08-20,0.04286
2021-08-21,0.01428
2021-08-23,0.02
2021-08-24,0.07714
2021-08-25,0.02
2021-08-26,0.05143
2021-08-27,0.03714
2021-08-28,0.03428
2021-08-29,0.01428
2021-08-30,0.02571
2021-08-31,0.03143
2021-09-01,0.02571
2021-09-02,0.03428
2021-09-03,0.02857
2021-09-04,0.02571
2021-09-05,0.01428
2021-09-06,0.03143
2021-09-07,0.03714
2021-09-08,0.02
2021-09-09,0.01714
2021-09-10,0.01428
2021-09-11,0.01714
2021-09-12,0.02
2021-09-13,0.03428
2021-09-14,0.03714
2021-09-15,0.02
2021-09-16,0.03143
2021-09-17,0.04286
2021-09-18,0.02
2021-09-20,0.01428
2021-09-21,0.02285
2021-09-22,0.01428
2021-09-23,0.02
2021-09-26,0.01714
2021-10-04,0.02
2021-10-09,0.01428
2021-10-10,0.02857
2021-10-14,0.01428
2021-10-16,0.01428
2021-10-19,0.04286
2021-10-28,0.01428
2021-10-29,0.01714
2021-10-30,0.01714
2021-10-31,0.01428
2021-11-01,0.02571
2021-11-02,0.02285
2021-11-03,0.02857
2021-11-04,0.01714
2021-11-05,0.01428
2021-11-07,0.02
2021-11-08,0.02
2021-11-10,0.02285
2021-11-11,0.02857
2021-11-12,0.02857
2021-11-13,0.02
2021-11-15,0.03714
2021-11-16,0.07429
2021-11-17,0.05429
2021-11-18,0.07143
2021-11-19,0.12572
2021-11-20,0.07143
2021-11-21,0.04857
2021-11-22,0.07429
2021-11-23,0.06571
2021-11-24,0.13143
2021-11-25,0.06571
2021-11-26,0.04286
2021-11-27,0.04857
2021-11-28,0.03428
2021-11-29,0.05429
2021-11-30,0.03714
2021-12-01,0.05429
2021-12-02,0.06857
2021-12-03,0.02
2021-12-04,0.03143
2021-12-05,0.01428
2021-12-06,0.04
2021-12-07,0.05143
2021-12-08,0.04857
2021-12-09,0.08
2021-12-10,0.04571
2021-12-11,0.05143
2021-12-12,0.07143
2021-12-13,0.04571
2021-12-14,0.10858
2021-12-15,0.06286
2021-12-16,0.07714
2021-12-17,0.03714
2021-12-18,0.02857
2021-12-21,0.04286
2021-12-22,0.04571
2021-12-23,0.03428
2021-12-24,0.03714
2021-12-25,0.01428
2021-12-27,0.02285
2021-12-28,0.04571
2021-12-29,0.05714
2021-12-30,0.03428
2021-12-31,0.02571
2022-01-01,0.04
2022-01-02,0.04
2022-01-03,0.03714
2022-01-04,0.02571
2022-01-05,0.02571
2022-01-06,0.01428
2022-01-07,0.04571
2022-01-08,0.04286
2022-01-09,0.01428
2022-01-10,0.01714
2022-01-11,0.02857
2022-01-12,0.02285
2022-01-13,0.01714
2022-01-14,0.03143
2022-01-15,0.01714
2022-01-16,0.02
2022-01-17,0.01428
2022-01-18,0.02285
2022-01-19,0.02285
2022-01-20,0.01714
2022-01-21,0.02285
2022-01-22,0.02857
2022-01-25,0.03143
2022-01-26,0.01714
2022-01-27,0.02857
2022-01-28,0.02857
2022-01-29,0.02857
2022-01-30,0.02
2022-01-31,0.01428
2022-02-03,0.02
2022-02-05,0.01428
2022-02-06,0.01714
2022-02-07,0.02
2022-02-08,0.02571
2022-02-09,0.02571
2022-02-10,0.02571
2022-02-11,0.05714
2022-02-12,0.02571
2022-02-13,0.02857
2022-02-14,0.02
2022-02-15,0.01714
2022-02-17,0.02857
2022-02-18,0.02285
2022-02-20,0.02857
2022-02-23,0.03143
2022-02-24,0.01428
2022-03-01,0.03428
2022-03-02,0.02857
2022-03-03,0.01428
2022-03-04,0.01714
2022-03-05,0.01428
2022-03-10,0.03428
2022-03-11,0.01714
2022-03-12,0.01428
2022-03-14,0.01428
2022-03-16,0.06286
2022-03-17,0.10572
2022-03-18,0.08
2022-03-19,0.12286
2022-03-20,0.14001
2022-03-21,0.14572
2022-03-22,0.04
2022-03-23,0.02285
2022-03-24,0.03428
2022-03-25,0.04
2022-03-26,0.01714
2022-03-27,0.07143
2022-03-28,0.02571
2022-03-29,0.04286
2022-03-30,0.02857
2022-03-31,0.06
2022-04-01,0.04857
2022-04-04,0.02857
2022-04-05,0.02
2022-04-06,0.02285
2022-04-07,0.01428
2022-04-11,0.02
2022-04-15,0.02
2022-04-18,0.02285
2022-04-19,0.02857
2022-04-20,0.02
2022-04-21,0.04571
2022-04-22,0.07429
2022-04-24,0.01428
2022-04-25,0.03143
2022-04-26,0.02285
2022-04-27,0.03714
2022-04-28,0.02857
2022-04-29,0.02857
2022-05-04,0.02
2022-05-05,0.02285
2022-05-07,0.01428
2022-05-10,0.04286
2022-05-11,0.01714
2022-05-12,0.02
2022-05-13,0.01428
2022-05-16,0.02571
2022-05-17,0.01714
2022-05-20,0.02
2022-05-24,0.01714
2022-05-25,0.01428
2022-05-26,0.03143
2022-05-27,0.01714
2022-05-31,0.01428
2022-06-01,0.01428
2022-06-02,0.01714
2022-06-08,0.02
2022-06-16,0.02
2022-06-18,0.02285
2022-06-19,0.01714
2022-06-20,0.01428
2022-06-22,0.01428
2022-06-23,0.02
2022-06-29,0.01714
2022-07-01,0.01714
2022-07-04,0.03428
2022-07-06,0.04571
2022-07-07,0.03714
2022-07-08,0.03428
2022-07-10,0.01714
2022-07-11,0.11143
2022-07-12,0.06571
2022-07-13,0.07143
2022-07-14,0.05714
2022-07-15,0.08286
2022-07-16,0.02571
2022-07-17,0.02571
2022-07-18,0.15715
2022-07-19,0.08286
2022-07-20,0.21144
2022-07-21,5.90336
2022-07-22,7.45492
2022-07-23,0.68863
2022-07-24,0.53433
2022-07-25,3.0974
2022-07-26,2.48021
2022-07-27,3.26313
2022-07-28,2.58307
2022-07-29,2.0316
2022-07-30,0.58576
2022-07-31,0.35431
2022-08-01,2.36305
2022-08-02,12.20676
2022-08-03,3.91176
2022-08-04,2.70308
2022-08-05,2.28305
2022-08-06,0.46003
2022-08-07,0.36288
2022-08-08,2.84024
2022-08-09,2.73452
2022-08-10,2.40877
2022-08-11,2.11446
2022-08-12,1.90016
2022-08-13,0.37431
2022-08-14,0.28002
2022-08-15,0.32288
2022-08-16,1.80586
2022-08-17,1.90587
2022-08-18,1.3944
2022-08-19,1.78015
2022-08-20,0.40289
2022-08-21,0.36574
2022-08-22,1.98016
2022-08-23,1.46012
2022-08-24,2.2459
2022-08-25,1.96016
2022-08-26,1.28868
2022-08-27,0.29716
2022-08-28,0.20573
2022-08-29,1.31725
2022-08-30,1.2801
2022-08-31,1.55727
2022-09-01,1.67157
2022-09-02,1.33154
2022-09-03,0.20287
2022-09-04,0.15715
2022-09-05,1.52298
2022-09-06,1.03723
2022-09-07,1.2601
2022-09-08,1.2801
2022-09-09,0.24002
2022-09-10,0.22573
2022-09-11,0.22001
2022-09-12,0.24002
2022-09-13,1.21153
2022-09-14,1.16581
2022-09-15,1.53155
2022-09-16,1.2401
2022-09-17,0.32288
2022-09-18,0.31431
2022-09-19,0.90293
2022-09-20,1.03151
2022-09-21,0.92865
2022-09-22,0.88579
2022-09-23,0.7772
2022-09-24,0.49147
2022-09-25,0.46861
2022-09-26,1.54584
2022-09-27,0.97151
2022-09-28,1.05437
2022-09-29,1.20581
2022-09-30,1.12295
2022-10-01,0.2143
2022-10-02,0.16572
2022-10-03,0.16858
2022-10-04,0.93436
2022-10-05,1.12866
2022-10-06,1.60013
2022-10-07,1.19724
2022-10-08,0.23144
2022-10-09,0.12001
2022-10-10,0.23144
2022-10-11,1.22581
2022-10-12,1.59727
2022-10-13,1.3344
2022-10-14,1.12009
2022-10-15,0.25716
2022-10-16,0.18287
2022-10-17,1.12295
2022-10-18,1.05437
2022-10-19,0.88579
2022-10-20,0.84578
2022-10-21,0.86293
2022-10-22,0.24573
2022-10-23,0.15144
2022-10-24,1.2401
2022-10-25,0.93436
2022-10-26,0.87436
2022-10-27,0.78006
2022-10-28,3.49458
2022-10-29,0.46003
2022-10-30,0.43432
2022-10-31,2.02874
2022-11-01,1.75729
2022-11-02,1.52298
2022-11-03,1.37154
2022-11-04,0.81435
2022-11-05,0.45718
2022-11-06,0.39431
2022-11-07,1.70871
