date,저당권
2020-03-20,50.40816
2020-03-21,30.61224
2020-03-22,37.34693
2020-03-23,58.57142
2020-03-24,60.61224
2020-03-25,62.44897
2020-03-26,57.55102
2020-03-27,53.46938
2020-03-28,38.77551
2020-03-29,37.14285
2020-03-30,60.40816
2020-03-31,59.59183
2020-04-01,57.55102
2020-04-02,53.06122
2020-04-03,50.81632
2020-04-04,36.53061
2020-04-05,38.57142
2020-04-06,62.24489
2020-04-07,67.34693
2020-04-08,65.30612
2020-04-09,69.79591
2020-04-10,57.7551
2020-04-11,35.10204
2020-04-12,44.69387
2020-04-13,61.22448
2020-04-14,63.46938
2020-04-15,51.83673
2020-04-16,70.20408
2020-04-17,57.7551
2020-04-18,49.79591
2020-04-19,41.22448
2020-04-20,67.95918
2020-04-21,73.06122
2020-04-22,73.06122
2020-04-23,74.48979
2020-04-24,59.18367
2020-04-25,40.20408
2020-04-26,53.46938
2020-04-27,63.87755
2020-04-28,80.0
2020-04-29,65.10204
2020-04-30,46.12244
2020-05-01,49.38775
2020-05-02,42.04081
2020-05-03,44.48979
2020-05-04,59.59183
2020-05-05,58.97959
2020-05-06,60.40816
2020-05-07,55.5102
2020-05-08,49.38775
2020-05-09,50.61224
2020-05-10,37.7551
2020-05-11,64.48979
2020-05-12,62.04081
2020-05-13,71.42857
2020-05-14,65.5102
2020-05-15,55.5102
2020-05-16,36.12244
2020-05-17,50.40816
2020-05-18,56.73469
2020-05-19,68.97959
2020-05-20,61.63265
2020-05-21,67.55102
2020-05-22,63.87755
2020-05-23,36.12244
2020-05-24,40.40816
2020-05-25,56.73469
2020-05-26,67.55102
2020-05-27,62.85714
2020-05-28,57.95918
2020-05-29,51.0204
2020-05-30,34.28571
2020-05-31,45.10204
2020-06-01,60.20408
2020-06-02,62.85714
2020-06-03,66.53061
2020-06-04,58.57142
2020-06-05,54.69387
2020-06-06,47.95918
2020-06-07,45.71428
2020-06-08,62.04081
2020-06-09,68.77551
2020-06-10,63.2653
2020-06-11,72.04081
2020-06-12,60.20408
2020-06-13,48.36734
2020-06-14,50.0
2020-06-15,63.2653
2020-06-16,67.34693
2020-06-17,78.57142
2020-06-18,80.40816
2020-06-19,67.95918
2020-06-20,52.24489
2020-06-21,52.85714
2020-06-22,73.87755
2020-06-23,80.0
2020-06-24,68.97959
2020-06-25,76.32653
2020-06-26,67.34693
2020-06-27,43.46938
2020-06-28,43.06122
2020-06-29,54.08163
2020-06-30,50.40816
2020-07-01,67.95918
2020-07-02,54.48979
2020-07-03,49.18367
2020-07-04,30.0
2020-07-05,32.65306
2020-07-06,52.24489
2020-07-07,57.55102
2020-07-08,53.2653
2020-07-09,51.42857
2020-07-10,48.97959
2020-07-11,43.67346
2020-07-12,35.91836
2020-07-13,58.16326
2020-07-14,54.08163
2020-07-15,57.7551
2020-07-16,57.34693
2020-07-17,50.61224
2020-07-18,28.36734
2020-07-19,31.42857
2020-07-20,51.0204
2020-07-21,56.73469
2020-07-22,56.53061
2020-07-23,50.61224
2020-07-24,49.59183
2020-07-25,30.20408
2020-07-26,38.57142
2020-07-27,49.59183
2020-07-28,58.97959
2020-07-29,53.06122
2020-07-30,60.20408
2020-07-31,47.14285
2020-08-01,32.65306
2020-08-02,38.77551
2020-08-03,55.10204
2020-08-04,50.20408
2020-08-05,50.20408
2020-08-06,54.69387
2020-08-07,46.93877
2020-08-08,37.14285
2020-08-09,39.18367
2020-08-10,61.0204
2020-08-11,61.22448
2020-08-12,54.28571
2020-08-13,59.38775
2020-08-14,52.04081
2020-08-15,34.89795
2020-08-16,33.87755
2020-08-17,45.71428
2020-08-18,54.69387
2020-08-19,49.18367
2020-08-20,57.14285
2020-08-21,52.24489
2020-08-22,36.73469
2020-08-23,38.36734
2020-08-24,56.53061
2020-08-25,58.36734
2020-08-26,59.59183
2020-08-27,56.12244
2020-08-28,44.69387
2020-08-29,28.16326
2020-08-30,38.16326
2020-08-31,45.5102
2020-09-01,63.06122
2020-09-02,64.48979
2020-09-03,60.0
2020-09-04,63.06122
2020-09-05,36.73469
2020-09-06,42.44897
2020-09-07,61.0204
2020-09-08,52.85714
2020-09-09,58.97959
2020-09-10,57.34693
2020-09-11,50.61224
2020-09-12,41.83673
2020-09-13,36.93877
2020-09-14,56.53061
2020-09-15,60.0
2020-09-16,61.42857
2020-09-17,60.20408
2020-09-18,51.42857
2020-09-19,41.0204
2020-09-20,40.61224
2020-09-21,57.14285
2020-09-22,59.38775
2020-09-23,62.44897
2020-09-24,51.42857
2020-09-25,45.5102
2020-09-26,43.67346
2020-09-27,39.18367
2020-09-28,48.16326
2020-09-29,38.57142
2020-09-30,30.81632
2020-10-01,26.93877
2020-10-02,32.65306
2020-10-03,37.95918
2020-10-04,42.24489
2020-10-05,59.59183
2020-10-06,58.57142
2020-10-07,59.79591
2020-10-08,52.65306
2020-10-09,55.10204
2020-10-10,47.55102
2020-10-11,46.32653
2020-10-12,62.65306
2020-10-13,67.14285
2020-10-14,73.06122
2020-10-15,69.38775
2020-10-16,61.22448
2020-10-17,54.28571
2020-10-18,51.83673
2020-10-19,79.18367
2020-10-20,72.24489
2020-10-21,77.7551
2020-10-22,84.28571
2020-10-23,70.0
2020-10-24,48.16326
2020-10-25,53.06122
2020-10-26,67.7551
2020-10-27,68.57142
2020-10-28,61.42857
2020-10-29,69.38775
2020-10-30,60.20408
2020-10-31,35.91836
2020-11-01,31.63265
2020-11-02,43.46938
2020-11-03,51.0204
2020-11-04,46.93877
2020-11-05,46.93877
2020-11-06,39.38775
2020-11-07,25.71428
