date,일본주식
2020-03-20,21.13281
2020-03-21,6.85546
2020-03-22,4.88281
2020-03-23,25.74218
2020-03-24,19.41406
2020-03-25,17.5
2020-03-26,20.74218
2020-03-27,16.79687
2020-03-28,5.42968
2020-03-29,4.9414
2020-03-30,16.07421
2020-03-31,11.93359
2020-04-01,13.88671
2020-04-02,13.78906
2020-04-03,9.76562
2020-04-04,4.6289
2020-04-05,5.15625
2020-04-06,15.52734
2020-04-07,18.67187
2020-04-08,15.03906
2020-04-09,13.45703
2020-04-10,11.91406
2020-04-11,5.27343
2020-04-12,5.17578
2020-04-13,10.03906
2020-04-14,9.53125
2020-04-15,9.76562
2020-04-16,9.49218
2020-04-17,14.12109
2020-04-18,6.64062
2020-04-19,6.60156
2020-04-20,10.95703
2020-04-21,9.78515
2020-04-22,9.29687
2020-04-23,7.51953
2020-04-24,6.5039
2020-04-25,4.16015
2020-04-26,3.4375
2020-04-27,6.77734
2020-04-28,6.52343
2020-04-29,6.05468
2020-04-30,8.22265
2020-05-01,8.75
2020-05-02,3.32031
2020-05-03,2.87109
2020-05-04,8.04687
2020-05-05,6.48437
2020-05-06,7.14843
2020-05-07,7.10937
2020-05-08,5.60546
2020-05-09,2.77343
2020-05-10,2.24609
2020-05-11,5.64453
2020-05-12,6.32812
2020-05-13,6.21093
2020-05-14,5.3125
2020-05-15,5.0
2020-05-16,2.01171
2020-05-17,1.73828
2020-05-18,5.0
2020-05-19,5.89843
2020-05-20,4.98046
2020-05-21,6.40625
2020-05-22,4.82421
2020-05-23,2.34375
2020-05-24,2.08984
2020-05-25,5.48828
2020-05-26,6.44531
2020-05-27,6.26953
2020-05-28,6.54296
2020-05-29,5.17578
2020-05-30,2.42187
2020-05-31,2.67578
2020-06-01,6.40625
2020-06-02,5.66406
2020-06-03,6.89453
2020-06-04,6.875
2020-06-05,6.54296
2020-06-06,2.98828
2020-06-07,2.91015
2020-06-08,5.74218
2020-06-09,6.99218
2020-06-10,6.32812
2020-06-11,6.26953
2020-06-12,7.01171
2020-06-13,2.42187
2020-06-14,1.91406
2020-06-15,7.55859
2020-06-16,7.38281
2020-06-17,6.15234
2020-06-18,5.07812
2020-06-19,4.90234
2020-06-20,1.89453
2020-06-21,1.77734
2020-06-22,5.44921
2020-06-23,4.98046
2020-06-24,6.11328
2020-06-25,5.5664
2020-06-26,4.80468
2020-06-27,2.67578
2020-06-28,2.34375
2020-06-29,5.78125
2020-06-30,4.84375
2020-07-01,4.66796
2020-07-02,5.50781
2020-07-03,4.96093
2020-07-04,1.95312
2020-07-05,2.1875
2020-07-06,5.78125
2020-07-07,6.71875
2020-07-08,5.52734
2020-07-09,6.01562
2020-07-10,5.0
2020-07-11,2.03125
2020-07-12,1.89453
