date,저축은행
2020-03-20,8.39714
2020-03-21,3.31312
2020-03-22,3.79174
2020-03-23,12.0134
2020-03-24,10.17868
2020-03-25,10.09891
2020-03-26,8.85449
2020-03-27,9.11508
2020-03-28,3.20676
2020-03-29,4.13209
2020-03-30,10.57221
2020-03-31,9.93937
2020-04-01,9.99255
2020-04-02,11.02956
2020-04-03,9.49266
2020-04-04,3.84492
2020-04-05,3.83429
2020-04-06,10.60944
2020-04-07,9.55115
2020-04-08,9.36502
2020-04-09,9.15762
2020-04-10,9.46607
2020-04-11,3.54711
2020-04-12,3.55243
2020-04-13,11.04552
2020-04-14,9.55647
2020-04-15,3.91937
2020-04-16,9.96596
2020-04-17,8.92895
2020-04-18,3.58434
2020-04-19,3.68006
2020-04-20,10.61476
2020-04-21,9.70006
2020-04-22,10.25845
2020-04-23,8.97149
2020-04-24,8.53541
2020-04-25,3.25462
2020-04-26,3.7492
2020-04-27,11.59859
2020-04-28,10.04573
2020-04-29,8.42373
2020-04-30,3.26526
2020-05-01,3.68006
2020-05-02,2.93554
2020-05-03,3.39821
2020-05-04,10.35949
2020-05-05,3.89278
2020-05-06,10.89661
2020-05-07,9.4182
2020-05-08,8.89172
2020-05-09,3.29717
2020-05-10,3.68006
2020-05-11,10.65198
2020-05-12,9.41289
2020-05-13,9.69474
2020-05-14,8.73218
2020-05-15,7.68985
2020-05-16,3.18017
2020-05-17,3.49393
2020-05-18,10.54031
2020-05-19,8.72154
2020-05-20,9.24803
2020-05-21,8.85981
2020-05-22,8.01425
2020-05-23,3.00467
2020-05-24,3.22803
2020-05-25,11.0987
2020-05-26,9.79578
2020-05-27,8.74282
2020-05-28,9.93937
2020-05-29,8.81727
2020-05-30,3.32907
2020-05-31,3.97255
2020-06-01,11.23697
2020-06-02,9.07785
2020-06-03,8.61518
2020-06-04,8.34928
2020-06-05,7.14209
2020-06-06,2.76536
2020-06-07,3.32907
2020-06-08,10.43395
2020-06-09,9.02999
2020-06-10,8.42905
2020-06-11,8.18442
2020-06-12,8.21101
2020-06-13,2.95149
2020-06-14,3.60561
2020-06-15,10.19995
2020-06-16,9.28525
2020-06-17,8.69495
2020-06-18,8.21633
2020-06-19,7.68453
2020-06-20,3.00999
2020-06-21,3.18549
2020-06-22,10.38608
2020-06-23,8.79068
2020-06-24,9.14167
2020-06-25,8.60987
2020-06-26,7.52499
2020-06-27,2.96213
2020-06-28,3.96192
2020-06-29,9.95001
2020-06-30,8.77472
2020-07-01,9.44479
2020-07-02,9.07253
2020-07-03,8.8279
2020-07-04,3.72793
2020-07-05,3.87151
2020-07-06,11.31674
2020-07-07,9.93405
2020-07-08,10.02978
2020-07-09,9.3278
2020-07-10,8.90236
2020-07-11,3.55243
2020-07-12,3.91937
2020-07-13,10.45522
2020-07-14,10.94447
2020-07-15,9.68942
2020-07-16,8.19506
2020-07-17,8.01425
2020-07-18,2.81323
2020-07-19,3.29717
2020-07-20,11.99744
2020-07-21,11.38587
2020-07-22,9.07253
2020-07-23,9.09912
2020-07-24,7.63135
2020-07-25,2.96745
2020-07-26,3.26526
2020-07-27,10.63071
2020-07-28,8.82259
2020-07-29,8.92363
2020-07-30,9.07785
2020-07-31,8.40246
2020-08-01,4.42459
2020-08-02,4.80748
2020-08-03,10.00319
2020-08-04,8.39714
2020-08-05,9.17889
2020-08-06,8.59391
2020-08-07,8.1472
2020-08-08,3.43543
2020-08-09,4.13209
2020-08-10,12.91214
2020-08-11,9.72665
2020-08-12,8.15252
2020-08-13,8.16847
2020-08-14,7.71644
2020-08-15,3.11635
2020-08-16,3.85556
2020-08-17,5.67964
2020-08-18,10.47649
2020-08-19,9.23207
2020-08-20,8.46628
2020-08-21,8.32801
2020-08-22,3.18549
2020-08-23,4.41395
2020-08-24,10.82748
2020-08-25,10.28504
2020-08-26,9.54052
2020-08-27,9.41289
2020-08-28,7.93448
2020-08-29,3.36098
2020-08-30,4.39268
2020-08-31,10.21591
2020-09-01,9.2108
2020-09-02,9.48734
2020-09-03,8.43969
2020-09-04,8.28015
2020-09-05,3.61093
2020-09-06,4.31823
2020-09-07,10.23186
2020-09-08,8.96085
2020-09-09,8.66836
2020-09-10,8.4131
2020-09-11,7.10487
2020-09-12,3.1589
2020-09-13,3.84492
2020-09-14,10.93384
2020-09-15,9.63092
2020-09-16,9.5352
2020-09-17,8.93426
2020-09-18,7.80153
2020-09-19,2.80791
2020-09-20,3.10572
2020-09-21,10.57753
2020-09-22,9.28525
2020-09-23,8.22165
2020-09-24,8.55669
2020-09-25,8.17911
2020-09-26,3.27589
2020-09-27,4.398
2020-09-28,9.75324
2020-09-29,6.95596
2020-09-30,2.33992
2020-10-01,2.28142
2020-10-02,2.29738
2020-10-03,3.99914
2020-10-04,3.99914
2020-10-05,11.97617
2020-10-06,9.60433
2020-10-07,8.42905
2020-10-08,8.60455
2020-10-09,3.18017
2020-10-10,2.9834
2020-10-11,3.44607
2020-10-12,10.55094
2020-10-13,9.62561
2020-10-14,8.89704
2020-10-15,9.69474
2020-10-16,8.09934
