date,퇴직금
2020-03-20,40.53199
2020-03-21,23.51856
2020-03-22,21.99104
2020-03-23,47.11614
2020-03-24,45.29892
2020-03-25,51.30366
2020-03-26,41.87516
2020-03-27,43.00763
2020-03-28,21.675
2020-03-29,23.93995
2020-03-30,49.43376
2020-03-31,55.20147
2020-04-01,47.95891
2020-04-02,43.06031
2020-04-03,40.84803
2020-04-04,21.30629
2020-04-05,23.72925
2020-04-06,45.85198
2020-04-07,43.24466
2020-04-08,42.7706
2020-04-09,42.32288
2020-04-10,44.42981
2020-04-11,20.80589
2020-04-12,21.72767
2020-04-13,46.87911
2020-04-14,47.14248
2020-04-15,25.07242
2020-04-16,39.63655
2020-04-17,39.21516
2020-04-18,21.30629
2020-04-19,20.99025
2020-04-20,41.42744
2020-04-21,41.92783
2020-04-22,39.21516
2020-04-23,40.0316
2020-04-24,39.13616
2020-04-25,21.88569
2020-04-26,19.67342
2020-04-27,44.90387
2020-04-28,41.9015
2020-04-29,41.45377
2020-04-30,24.1243
2020-05-01,21.35896
2020-05-02,16.32868
2020-05-03,19.96312
2020-05-04,33.71082
2020-05-05,24.54569
2020-05-06,43.08664
2020-05-07,37.74032
2020-05-08,38.08269
2020-05-09,19.19936
2020-05-10,22.59678
2020-05-11,44.27179
2020-05-12,42.05952
2020-05-13,39.32051
2020-05-14,37.95101
2020-05-15,35.23834
2020-05-16,21.01659
2020-05-17,19.91045
2020-05-18,37.97735
2020-05-19,37.97735
2020-05-20,40.58467
2020-05-21,39.82091
2020-05-22,32.86805
2020-05-23,18.38293
2020-05-24,18.64629
2020-05-25,46.69475
2020-05-26,39.42586
2020-05-27,37.84566
2020-05-28,37.18725
2020-05-29,36.23913
2020-05-30,19.93679
2020-05-31,21.17461
2020-06-01,43.58704
2020-06-02,39.71556
2020-06-03,39.66289
2020-06-04,36.13378
2020-06-05,44.37713
2020-06-06,81.45904
2020-06-07,56.2286
2020-06-08,69.73926
2020-06-09,55.91256
2020-06-10,57.91414
2020-06-11,43.5607
2020-06-12,42.55991
2020-06-13,22.4651
2020-06-14,29.33895
2020-06-15,84.72478
2020-06-16,54.12167
2020-06-17,44.66684
2020-06-18,42.34922
2020-06-19,37.81933
2020-06-20,32.31498
2020-06-21,24.38767
2020-06-22,46.11535
2020-06-23,43.79773
2020-06-24,42.84961
2020-06-25,47.5902
2020-06-26,38.79378
2020-06-27,21.9647
2020-06-28,21.64867
2020-06-29,46.58941
2020-06-30,50.64524
2020-07-01,45.16723
2020-07-02,41.32209
2020-07-03,36.37081
2020-07-04,20.5952
2020-07-05,22.43876
2020-07-06,42.34922
2020-07-07,43.21833
2020-07-08,41.21675
2020-07-09,38.26705
2020-07-10,39.03081
2020-07-11,21.80668
2020-07-12,20.38451
2020-07-13,45.08822
2020-07-14,49.72346
2020-07-15,42.82328
2020-07-16,40.79536
2020-07-17,33.94785
2020-07-18,18.75164
2020-07-19,20.14748
2020-07-20,43.29734
2020-07-21,39.58388
2020-07-22,34.60626
2020-07-23,37.5823
2020-07-24,36.23913
2020-07-25,19.38372
2020-07-26,20.72688
2020-07-27,41.50645
2020-07-28,37.872
2020-07-29,38.6621
2020-07-30,38.1617
2020-07-31,40.3213
2020-08-01,20.38451
2020-08-02,19.43639
2020-08-03,38.08269
2020-08-04,35.65973
2020-08-05,39.42586
2020-08-06,34.84329
2020-08-07,32.34132
2020-08-08,19.2257
2020-08-09,18.77798
2020-08-10,46.8001
2020-08-11,42.42823
2020-08-12,37.68764
2020-08-13,34.47458
2020-08-14,33.31577
2020-08-15,19.83144
2020-08-16,17.43481
2020-08-17,24.01896
2020-08-18,38.03002
2020-08-19,38.6621
2020-08-20,36.21279
2020-08-21,34.71161
2020-08-22,18.51461
2020-08-23,22.93916
2020-08-24,51.04029
2020-08-25,45.64129
2020-08-26,42.1912
2020-08-27,38.55675
2020-08-28,37.26626
2020-08-29,20.83223
2020-08-30,21.72767
2020-08-31,51.35633
2020-09-01,46.77376
2020-09-02,39.63655
2020-09-03,35.63339
2020-09-04,37.68764
2020-09-05,20.33184
2020-09-06,20.62154
2020-09-07,43.42902
2020-09-08,42.74427
2020-09-09,38.60942
2020-09-10,47.95891
2020-09-11,36.18646
2020-09-12,20.35817
2020-09-13,19.72609
2020-09-14,38.89913
2020-09-15,42.21754
2020-09-16,38.47774
2020-09-17,33.18409
2020-09-18,32.23597
2020-09-19,18.17224
2020-09-20,21.43797
2020-09-21,38.29338
2020-09-22,35.31735
2020-09-23,34.81696
2020-09-24,37.21358
2020-09-25,37.89834
2020-09-26,19.83144
2020-09-27,18.80431
2020-09-28,40.90071
2020-09-29,32.49934
2020-09-30,17.88253
2020-10-01,15.61759
2020-10-02,14.01106
2020-10-03,15.9863
2020-10-04,19.75243
2020-10-05,46.16802
2020-10-06,43.29734
2020-10-07,44.42981
2020-10-08,37.79299
2020-10-09,21.9647
2020-10-10,20.54253
2020-10-11,23.33421
2020-10-12,51.30366
2020-10-13,41.87516
2020-10-14,40.90071
2020-10-15,40.45298
2020-10-16,33.47379
2020-10-17,19.01501
2020-10-18,18.46194
2020-10-19,40.29496
2020-10-20,40.00526
2020-10-21,38.63576
2020-10-22,36.37081
2020-10-23,33.94785
2020-10-24,21.78035
2020-10-25,19.93679
2020-10-26,43.53436
2020-10-27,45.1409
2020-10-28,41.55912
2020-10-29,41.03239
2020-10-30,40.45298
2020-10-31,22.49144
2020-11-01,20.8849
2020-11-02,45.4306
2020-11-03,40.79536
2020-11-04,39.32051
2020-11-05,39.55754
2020-11-06,35.81775
2020-11-07,20.38451
2020-11-08,19.83144
2020-11-09,46.35238
2020-11-10,48.72267
2020-11-11,43.11298
2020-11-12,43.03397
2020-11-13,41.61179
2020-11-14,21.64867
2020-11-15,23.67658
2020-11-16,48.30129
2020-11-17,44.98288
2020-11-18,43.87674
2020-11-19,41.82249
2020-11-20,35.52804
2020-11-21,20.41085
2020-11-22,21.85936
2020-11-23,42.08585
2020-11-24,44.50882
2020-11-25,43.61337
2020-11-26,42.61258
2020-11-27,41.48011
2020-11-28,23.8346
2020-11-29,23.49223
2020-11-30,55.41216
2020-12-01,45.98367
2020-12-02,45.98367
2020-12-03,42.69159
2020-12-04,41.92783
2020-12-05,23.96628
2020-12-06,23.65025
2020-12-07,48.03792
2020-12-08,46.43139
2020-12-09,44.58783
2020-12-10,52.88385
2020-12-11,43.35001
2020-12-12,22.7548
2020-12-13,21.17461
2020-12-14,46.29971
2020-12-15,44.90387
2020-12-16,43.95575
2020-12-17,41.55912
2020-12-18,37.5823
2020-12-19,21.85936
2020-12-20,22.64946
2020-12-21,45.19357
2020-12-22,46.01
2020-12-23,46.45772
2020-12-24,42.66526
2020-12-25,20.12114
2020-12-26,21.0956
2020-12-27,23.93995
2020-12-28,55.62286
2020-12-29,54.17434
2020-12-30,49.03871
2020-12-31,49.2494
2021-01-01,22.88648
2021-01-02,24.49302
2021-01-03,26.17856
2021-01-04,59.12562
2021-01-05,59.73136
2021-01-06,51.80405
2021-01-07,45.06189
2021-01-08,47.01079
2021-01-09,24.28232
2021-01-10,23.62391
2021-01-11,55.59652
2021-01-12,49.5391
2021-01-13,49.7498
2021-01-14,51.64603
2021-01-15,50.69791
2021-01-16,26.83697
2021-01-17,30.3134
2021-01-18,50.8296
2021-01-19,47.77455
2021-01-20,49.32841
2021-01-21,46.5104
2021-01-22,42.45456
2021-01-23,23.43955
2021-01-24,25.49381
2021-01-25,51.80405
2021-01-26,49.61811
2021-01-27,47.35317
2021-01-28,46.66842
2021-01-29,45.61495
2021-01-30,26.15222
2021-01-31,26.59994
2021-02-01,51.22465
2021-02-02,47.3005
2021-02-03,43.90308
2021-02-04,43.45535
2021-02-05,41.48011
2021-02-06,22.35975
2021-02-07,21.59599
2021-02-08,41.82249
2021-02-09,40.95338
2021-02-10,41.76981
2021-02-11,20.14748
2021-02-12,15.03818
2021-02-13,16.276
2021-02-14,20.5952
2021-02-15,47.32683
2021-02-16,47.35317
2021-02-17,44.21912
2021-02-18,45.00921
2021-02-19,39.92625
2021-02-20,21.20094
2021-02-21,21.51698
2021-02-22,46.11535
2021-02-23,45.11456
2021-02-24,45.64129
