date,개인사업자법인전환
2020-03-20,64.5933
2020-03-21,33.49282
2020-03-22,26.31578
2020-03-23,74.64114
2020-03-24,70.33492
2020-03-25,70.81339
2020-03-26,85.16746
2020-03-27,66.98564
2020-03-28,39.23444
2020-03-29,30.622
2020-03-30,64.5933
2020-03-31,67.46411
2020-04-01,72.72727
2020-04-02,69.37799
2020-04-03,48.32535
2020-04-04,37.32057
2020-04-05,38.75598
2020-04-06,55.02392
2020-04-07,71.77033
2020-04-08,76.07655
2020-04-09,80.86124
2020-04-10,61.24401
2020-04-11,32.05741
2020-04-12,36.8421
2020-04-13,65.55023
2020-04-14,66.0287
2020-04-15,39.71291
2020-04-16,76.55502
2020-04-17,72.2488
2020-04-18,44.4976
2020-04-19,36.36363
2020-04-20,79.9043
2020-04-21,95.69377
2020-04-22,97.60765
2020-04-23,95.21531
2020-04-24,83.73205
2020-04-25,44.01913
2020-04-26,38.27751
2020-04-27,77.51196
2020-04-28,85.16746
2020-04-29,63.63636
2020-04-30,32.53588
2020-05-01,43.0622
2020-05-02,29.1866
2020-05-03,37.79904
2020-05-04,54.06698
2020-05-05,36.8421
2020-05-06,73.68421
2020-05-07,89.47368
2020-05-08,67.46411
2020-05-09,36.36363
2020-05-10,29.66507
2020-05-11,60.28708
2020-05-12,61.72248
2020-05-13,74.64114
2020-05-14,61.24401
2020-05-15,56.93779
2020-05-16,32.05741
2020-05-17,34.92822
2020-05-18,84.21052
2020-05-19,79.9043
2020-05-20,87.5598
2020-05-21,66.50717
2020-05-22,81.33971
2020-05-23,35.40669
2020-05-24,35.40669
2020-05-25,92.34449
2020-05-26,79.42583
2020-05-27,87.5598
2020-05-28,73.20574
2020-05-29,62.67942
2020-05-30,35.40669
2020-05-31,35.40669
2020-06-01,61.72248
2020-06-02,72.2488
2020-06-03,76.55502
2020-06-04,66.50717
2020-06-05,48.32535
2020-06-06,25.83732
2020-06-07,32.53588
2020-06-08,68.42105
2020-06-09,81.33971
2020-06-10,70.33492
2020-06-11,63.15789
2020-06-12,65.55023
2020-06-13,26.31578
2020-06-14,27.75119
2020-06-15,65.55023
2020-06-16,77.03349
2020-06-17,68.42105
2020-06-18,73.20574
2020-06-19,59.33014
2020-06-20,26.79425
2020-06-21,29.1866
2020-06-22,74.64114
2020-06-23,66.0287
2020-06-24,70.81339
