date,스타트업투자
2020-03-20,3.64806
2020-03-21,2.46781
2020-03-22,3.96995
2020-03-23,3.43347
2020-03-24,4.34549
2020-03-25,3.00429
2020-03-26,3.80901
2020-03-27,4.07725
2020-03-28,2.89699
2020-03-29,2.19957
2020-03-30,3.27253
2020-03-31,4.39914
2020-04-01,4.61373
2020-04-02,4.1309
2020-04-03,3.86266
2020-04-04,3.9163
2020-04-05,3.70171
2020-04-06,4.50643
2020-04-07,5.84763
2020-04-08,5.74034
2020-04-09,4.29184
2020-04-10,4.07725
2020-04-11,2.84334
2020-04-12,4.23819
2020-04-13,4.88197
2020-04-14,3.75536
2020-04-15,3.16523
2020-04-16,3.70171
2020-04-17,4.61373
2020-04-18,2.14592
2020-04-19,3.54077
2020-04-20,3.9163
2020-04-21,3.96995
2020-04-22,7.18884
2020-04-23,5.84763
2020-04-24,4.50643
2020-04-25,2.25321
2020-04-26,4.1309
2020-04-27,4.39914
2020-04-28,4.93562
2020-04-29,3.80901
2020-04-30,2.41416
2020-05-01,3.21888
2020-05-02,3.70171
2020-05-03,3.27253
2020-05-04,4.61373
2020-05-05,2.5751
2020-05-06,3.70171
2020-05-07,3.96995
2020-05-08,3.32618
2020-05-09,1.77038
2020-05-10,2.89699
2020-05-11,3.64806
2020-05-12,3.48712
2020-05-13,3.70171
2020-05-14,3.9163
2020-05-15,3.32618
2020-05-16,2.5751
2020-05-17,2.41416
2020-05-18,3.64806
2020-05-19,4.07725
2020-05-20,3.9163
2020-05-21,3.00429
2020-05-22,4.1309
2020-05-23,2.52145
2020-05-24,3.00429
2020-05-25,4.66738
2020-05-26,4.18454
2020-05-27,4.23819
2020-05-28,3.80901
2020-05-29,4.1309
2020-05-30,2.5751
2020-05-31,3.37982
2020-06-01,4.98927
2020-06-02,4.29184
2020-06-03,4.1309
2020-06-04,4.45278
2020-06-05,5.20386
2020-06-06,2.19957
2020-06-07,3.80901
2020-06-08,4.45278
2020-06-09,5.20386
2020-06-10,5.20386
2020-06-11,4.50643
2020-06-12,3.48712
2020-06-13,2.78969
2020-06-14,3.32618
2020-06-15,4.23819
2020-06-16,3.54077
2020-06-17,3.80901
2020-06-18,4.34549
2020-06-19,3.80901
2020-06-20,2.30686
2020-06-21,2.62875
2020-06-22,4.77467
2020-06-23,4.39914
2020-06-24,4.98927
2020-06-25,4.23819
2020-06-26,2.73605
2020-06-27,2.19957
2020-06-28,3.27253
2020-06-29,3.54077
2020-06-30,5.04291
2020-07-01,4.72103
2020-07-02,5.31115
2020-07-03,3.64806
2020-07-04,2.5751
2020-07-05,2.52145
2020-07-06,4.77467
2020-07-07,4.29184
2020-07-08,3.9163
2020-07-09,3.70171
2020-07-10,2.73605
2020-07-11,3.05793
2020-07-12,3.54077
2020-07-13,4.18454
2020-07-14,3.75536
2020-07-15,4.88197
2020-07-16,5.41845
2020-07-17,3.64806
2020-07-18,2.25321
2020-07-19,2.84334
2020-07-20,4.72103
2020-07-21,5.79399
2020-07-22,7.18884
2020-07-23,8.79828
2020-07-24,7.99356
2020-07-25,5.09656
2020-07-26,6.8133
2020-07-27,6.11587
2020-07-28,6.11587
2020-07-29,5.25751
2020-07-30,5.15021
2020-07-31,4.23819
2020-08-01,3.59442
2020-08-02,3.27253
2020-08-03,5.09656
2020-08-04,5.41845
2020-08-05,5.04291
2020-08-06,4.88197
2020-08-07,3.37982
2020-08-08,2.62875
2020-08-09,3.21888
2020-08-10,5.4721
2020-08-11,5.25751
2020-08-12,4.77467
2020-08-13,4.1309
2020-08-14,4.29184
2020-08-15,2.30686
2020-08-16,3.48712
2020-08-17,4.0236
