date,수채화그림
2020-03-20,35.41666
2020-03-21,47.91666
2020-03-22,21.52777
2020-03-23,39.58333
2020-03-24,33.33333
2020-03-25,22.91666
2020-03-26,30.55555
2020-03-27,33.33333
2020-03-28,31.25
2020-03-29,36.80555
2020-03-30,20.13888
2020-03-31,29.86111
2020-04-01,33.33333
2020-04-02,31.94444
2020-04-03,25.69444
2020-04-04,41.66666
2020-04-05,26.38888
2020-04-06,29.16666
2020-04-07,24.30555
2020-04-08,29.16666
2020-04-09,31.94444
2020-04-10,17.36111
2020-04-11,23.61111
2020-04-12,38.19444
2020-04-13,22.91666
2020-04-14,32.63888
2020-04-15,30.55555
2020-04-16,36.80555
2020-04-17,59.02777
2020-04-18,44.44444
2020-04-19,42.36111
2020-04-20,38.19444
2020-04-21,29.16666
2020-04-22,40.97222
2020-04-23,40.97222
2020-04-24,55.55555
2020-04-25,40.27777
2020-04-26,34.72222
2020-04-27,27.77777
2020-04-28,33.33333
2020-04-29,40.97222
2020-04-30,31.25
2020-05-01,33.33333
2020-05-02,30.55555
2020-05-03,34.02777
2020-05-04,19.44444
2020-05-05,29.16666
2020-05-06,29.16666
2020-05-07,20.83333
2020-05-08,29.16666
2020-05-09,28.47222
2020-05-10,45.83333
2020-05-11,38.19444
2020-05-12,24.30555
2020-05-13,34.72222
2020-05-14,34.72222
2020-05-15,23.61111
2020-05-16,22.91666
2020-05-17,44.44444
2020-05-18,34.02777
2020-05-19,48.61111
2020-05-20,41.66666
2020-05-21,34.72222
2020-05-22,30.55555
2020-05-23,43.05555
2020-05-24,35.41666
2020-05-25,31.25
2020-05-26,39.58333
2020-05-27,22.91666
2020-05-28,34.72222
2020-05-29,31.25
2020-05-30,31.25
2020-05-31,25.69444
2020-06-01,27.08333
2020-06-02,40.27777
2020-06-03,22.91666
2020-06-04,30.55555
2020-06-05,34.02777
2020-06-06,36.11111
2020-06-07,27.08333
2020-06-08,22.91666
2020-06-09,32.63888
2020-06-10,34.02777
2020-06-11,38.88888
2020-06-12,37.5
2020-06-13,40.97222
2020-06-14,36.11111
2020-06-15,35.41666
2020-06-16,40.27777
2020-06-17,41.66666
2020-06-18,27.08333
2020-06-19,31.94444
2020-06-20,27.08333
2020-06-21,39.58333
2020-06-22,31.25
2020-06-23,29.86111
2020-06-24,40.97222
2020-06-25,47.22222
2020-06-26,31.94444
2020-06-27,38.88888
2020-06-28,29.86111
2020-06-29,31.25
2020-06-30,34.72222
2020-07-01,36.11111
2020-07-02,30.55555
2020-07-03,32.63888
2020-07-04,34.02777
2020-07-05,34.02777
2020-07-06,26.38888
2020-07-07,37.5
2020-07-08,54.16666
2020-07-09,27.08333
2020-07-10,29.16666
2020-07-11,33.33333
2020-07-12,29.16666
2020-07-13,38.88888
2020-07-14,27.77777
2020-07-15,36.11111
2020-07-16,41.66666
2020-07-17,52.77777
2020-07-18,40.97222
2020-07-19,44.44444
2020-07-20,17.36111
2020-07-21,68.75
2020-07-22,47.22222
2020-07-23,46.52777
2020-07-24,38.88888
2020-07-25,41.66666
2020-07-26,47.22222
2020-07-27,41.66666
2020-07-28,31.25
2020-07-29,29.86111
2020-07-30,41.66666
2020-07-31,45.13888
2020-08-01,43.05555
2020-08-02,42.36111
2020-08-03,36.11111
2020-08-04,29.16666
2020-08-05,19.44444
2020-08-06,24.30555
