date,남양주아파트
2020-03-20,7.93182
2020-03-21,10.32448
2020-03-22,10.52114
2020-03-23,10.8489
2020-03-24,8.9151
2020-03-25,8.52179
2020-03-26,10.09505
2020-03-27,8.9151
2020-03-28,10.39003
2020-03-29,10.71779
2020-03-30,10.35725
2020-03-31,9.4723
2020-04-01,12.09439
2020-04-02,10.75057
2020-04-03,9.86561
2020-04-04,10.52114
2020-04-05,10.45558
2020-04-06,10.71779
2020-04-07,10.42281
2020-04-08,9.89839
2020-04-09,10.75057
2020-04-10,8.84955
2020-04-11,11.96329
2020-04-12,13.33988
2020-04-13,12.97935
2020-04-14,11.50442
2020-04-15,11.17666
2020-04-16,10.45558
2020-04-17,10.19337
2020-04-18,10.75057
2020-04-19,12.09439
2020-04-20,13.43821
2020-04-21,10.81612
2020-04-22,9.93117
2020-04-23,10.1606
2020-04-24,8.42346
2020-04-25,10.22615
2020-04-26,11.6683
2020-04-27,11.73385
2020-04-28,10.2917
2020-04-29,9.30842
2020-04-30,10.98
2020-05-01,12.68436
2020-05-02,10.52114
2020-05-03,11.76663
2020-05-04,11.70108
2020-05-05,11.47164
2020-05-06,11.27499
2020-05-07,9.40675
2020-05-08,7.9646
2020-05-09,10.45558
2020-05-10,9.24287
2020-05-11,10.42281
2020-05-12,10.48836
2020-05-13,10.55391
2020-05-14,9.76728
2020-05-15,8.16125
2020-05-16,8.88233
2020-05-17,11.37332
2020-05-18,13.8643
2020-05-19,9.07899
2020-05-20,9.66896
2020-05-21,11.56997
2020-05-22,10.32448
2020-05-23,10.71779
2020-05-24,39.10193
2020-05-25,36.70927
2020-05-26,17.73189
2020-05-27,15.30645
2020-05-28,13.96263
2020-05-29,15.86365
2020-05-30,17.56801
2020-05-31,17.79744
2020-06-01,15.14257
2020-06-02,15.04424
2020-06-03,13.79875
2020-06-04,11.24221
2020-06-05,11.37332
2020-06-06,12.97935
2020-06-07,15.01147
2020-06-08,13.70042
2020-06-09,14.32317
2020-06-10,11.47164
2020-06-11,12.3566
2020-06-12,12.32382
2020-06-13,12.29105
2020-06-14,16.38806
2020-06-15,15.60144
2020-06-16,13.99541
2020-06-17,15.17535
2020-06-18,13.7332
2020-06-19,12.81547
2020-06-20,13.66764
2020-06-21,15.01147
2020-06-22,15.56866
2020-06-23,12.61881
2020-06-24,11.89773
2020-06-25,11.5372
2020-06-26,13.01212
2020-06-27,12.65158
2020-06-28,15.47033
2020-06-29,15.30645
2020-06-30,13.7332
2020-07-01,14.29039
2020-07-02,14.5526
2020-07-03,13.20878
2020-07-04,13.50376
2020-07-05,14.81481
2020-07-06,16.38806
2020-07-07,13.96263
2020-07-08,14.22484
2020-07-09,12.88102
2020-07-10,12.68436
2020-07-11,13.63487
2020-07-12,14.4215
2020-07-13,16.38806
2020-07-14,13.24156
2020-07-15,13.53654
2020-07-16,13.63487
2020-07-17,13.37266
2020-07-18,16.97803
2020-07-19,15.79809
2020-07-20,15.79809
2020-07-21,14.84759
2020-07-22,12.61881
2020-07-23,13.20878
2020-07-24,13.0449
2020-07-25,14.71648
2020-07-26,17.04359
2020-07-27,13.99541
2020-07-28,12.12717
2020-07-29,13.53654
2020-07-30,13.76597
2020-07-31,11.79941
2020-08-01,32.31727
2020-08-02,22.48443
2020-08-03,19.69845
2020-08-04,14.74926
2020-08-05,13.20878
2020-08-06,14.97869
2020-08-07,13.40544
2020-08-08,11.50442
2020-08-09,13.33988
2020-08-10,12.68436
2020-08-11,12.52048
2020-08-12,13.66764
2020-08-13,11.30776
2020-08-14,9.83284
2020-08-15,12.22549
2020-08-16,16.71583
2020-08-17,15.27368
2020-08-18,13.63487
2020-08-19,12.3566
2020-08-20,11.89773
2020-08-21,10.58669
2020-08-22,13.60209
2020-08-23,17.3058
2020-08-24,15.76532
2020-08-25,14.68371
2020-08-26,13.24156
2020-08-27,14.32317
2020-08-28,12.06161
2020-08-29,12.84824
2020-08-30,13.63487
2020-08-31,11.34054
2020-09-01,12.38938
2020-09-02,11.37332
2020-09-03,11.11111
2020-09-04,10.71779
2020-09-05,10.65224
2020-09-06,13.92985
2020-09-07,13.24156
2020-09-08,13.56932
2020-09-09,11.20943
2020-09-10,10.61946
2020-09-11,11.04555
2020-09-12,12.02884
2020-09-13,12.61881
2020-09-14,14.12651
2020-09-15,12.58603
2020-09-16,10.12782
2020-09-17,10.68502
2020-09-18,10.39003
2020-09-19,14.74926
2020-09-20,15.2409
2020-09-21,11.79941
2020-09-22,10.32448
2020-09-23,11.99606
2020-09-24,10.25893
2020-09-25,9.70173
2020-09-26,8.71845
2020-09-27,13.56932
2020-09-28,11.17666
2020-09-29,9.27564
2020-09-30,10.12782
2020-10-01,14.19206
2020-10-02,15.17535
2020-10-03,17.50245
2020-10-04,20.12454
2020-10-05,14.61815
2020-10-06,11.89773
2020-10-07,11.96329
2020-10-08,11.5372
2020-10-09,14.94591
2020-10-10,14.91314
2020-10-11,15.79809
2020-10-12,16.7486
2020-10-13,13.50376
2020-10-14,13.56932
2020-10-15,15.04424
2020-10-16,13.79875
2020-10-17,14.19206
2020-10-18,14.84759
2020-10-19,15.372
2020-10-20,14.5526
2020-10-21,12.88102
2020-10-22,12.68436
2020-10-23,12.25827
2020-10-24,12.74991
2020-10-25,13.37266
2020-10-26,15.66699
2020-10-27,19.66568
2020-10-28,13.79875
2020-10-29,18.48574
2020-10-30,14.58538
2020-10-31,13.53654
2020-11-01,16.12586
2020-11-02,15.63421
2020-11-03,14.35594
2020-11-04,11.50442
2020-11-05,12.94657
2020-11-06,12.19272
2020-11-07,13.14323
2020-11-08,15.2409
2020-11-09,14.29039
2020-11-10,12.22549
2020-11-11,15.99475
2020-11-12,15.60144
2020-11-13,14.29039
2020-11-14,11.96329
2020-11-15,16.81415
2020-11-16,16.22418
2020-11-17,14.09373
2020-11-18,14.5526
2020-11-19,15.40478
2020-11-20,12.71714
2020-11-21,16.91248
2020-11-22,14.68371
2020-11-23,15.2409
2020-11-24,16.22418
2020-11-25,13.27433
2020-11-26,10.48836
2020-11-27,12.58603
2020-11-28,15.69977
2020-11-29,18.87905
2020-11-30,14.06096
2020-12-01,13.83153
2020-12-02,13.50376
2020-12-03,13.33988
2020-12-04,12.15994
2020-12-05,13.7332
2020-12-06,17.20747
2020-12-07,19.33792
2020-12-08,13.7332
2020-12-09,14.19206
2020-12-10,15.9292
2020-12-11,12.97935
2020-12-12,16.84693
2020-12-13,14.15929
2020-12-14,15.20812
2020-12-15,12.55326
2020-12-16,11.83218
2020-12-17,14.48705
2020-12-18,12.4877
2020-12-19,13.83153
2020-12-20,14.09373
2020-12-21,12.19272
2020-12-22,12.09439
2020-12-23,11.83218
2020-12-24,8.52179
2020-12-25,12.32382
2020-12-26,13.37266
2020-12-27,14.29039
2020-12-28,14.32317
2020-12-29,19.6329
2020-12-30,15.30645
2020-12-31,13.70042
2021-01-01,13.0449
2021-01-02,17.10914
2021-01-03,17.14192
2021-01-04,17.20747
2021-01-05,13.56932
2021-01-06,14.09373
2021-01-07,11.20943
2021-01-08,11.93051
2021-01-09,14.09373
2021-01-10,15.2409
2021-01-11,13.47099
2021-01-12,13.30711
2021-01-13,14.58538
2021-01-14,13.92985
2021-01-15,13.56932
2021-01-16,14.61815
2021-01-17,18.91183
2021-01-18,16.78138
