date,피규어주문제작
2020-03-20,14.89361
2020-03-21,19.14893
2020-03-22,46.80851
2020-03-23,27.65957
2020-03-24,23.40425
2020-03-25,40.42553
2020-03-26,38.29787
2020-03-27,40.42553
2020-03-28,46.80851
2020-03-29,42.55319
2020-03-30,31.91489
2020-03-31,34.04255
2020-04-01,19.14893
2020-04-02,38.29787
2020-04-03,42.55319
2020-04-04,21.27659
2020-04-05,27.65957
2020-04-06,27.65957
2020-04-07,59.57446
2020-04-08,10.63829
2020-04-09,19.14893
2020-04-10,10.63829
2020-04-11,40.42553
2020-04-12,46.80851
2020-04-13,19.14893
2020-04-14,38.29787
2020-04-15,27.65957
2020-04-16,14.89361
2020-04-17,21.27659
2020-04-18,48.93617
2020-04-19,31.91489
2020-04-20,23.40425
2020-04-21,40.42553
2020-04-22,34.04255
2020-04-23,19.14893
2020-04-24,17.02127
2020-04-25,27.65957
2020-04-26,17.02127
2020-04-27,27.65957
2020-04-28,31.91489
2020-04-29,42.55319
2020-05-02,23.40425
2020-05-03,38.29787
2020-05-04,31.91489
2020-05-05,12.76595
2020-05-06,27.65957
2020-05-08,42.55319
2020-05-09,14.89361
2020-05-10,31.91489
2020-05-11,55.31914
2020-05-12,78.7234
2020-05-13,85.10638
2020-05-14,27.65957
2020-05-15,31.91489
2020-05-16,38.29787
2020-05-17,44.68085
2020-05-18,63.82978
2020-05-19,25.53191
2020-05-20,23.40425
2020-05-21,57.4468
2020-05-22,31.91489
2020-05-23,29.78723
2020-05-24,44.68085
2020-05-25,44.68085
2020-05-26,17.02127
2020-05-27,34.04255
2020-05-28,25.53191
2020-05-29,34.04255
2020-05-30,12.76595
2020-05-31,25.53191
2020-06-02,25.53191
2020-06-03,31.91489
2020-06-04,42.55319
2020-06-05,38.29787
2020-06-06,42.55319
2020-06-07,14.89361
2020-06-08,12.76595
2020-06-09,17.02127
2020-06-10,29.78723
2020-06-11,21.27659
2020-06-12,25.53191
2020-06-13,23.40425
2020-06-14,17.02127
2020-06-15,14.89361
2020-06-16,25.53191
2020-06-17,38.29787
2020-06-18,36.17021
2020-06-19,27.65957
2020-06-20,14.89361
2020-06-21,29.78723
2020-06-23,25.53191
2020-06-24,19.14893
2020-06-25,17.02127
2020-06-26,31.91489
2020-06-27,21.27659
2020-06-28,19.14893
2020-06-29,17.02127
2020-06-30,21.27659
2020-07-01,31.91489
2020-07-02,29.78723
2020-07-03,29.78723
2020-07-04,14.89361
2020-07-05,53.19148
2020-07-06,21.27659
2020-07-07,38.29787
2020-07-08,36.17021
2020-07-09,12.76595
2020-07-10,27.65957
2020-07-11,36.17021
2020-07-12,40.42553
2020-07-13,55.31914
2020-07-14,42.55319
2020-07-15,42.55319
2020-07-16,51.06382
2020-07-17,27.65957
2020-07-18,36.17021
2020-07-19,42.55319
2020-07-20,42.55319
2020-07-21,38.29787
2020-07-22,38.29787
2020-07-23,40.42553
2020-07-24,25.53191
2020-07-25,51.06382
2020-07-26,12.76595
2020-07-27,36.17021
2020-07-28,46.80851
2020-07-29,14.89361
2020-07-30,34.04255
2020-07-31,17.02127
2020-08-01,10.63829
2020-08-02,29.78723
2020-08-03,12.76595
2020-08-04,36.17021
2020-08-05,38.29787
2020-08-06,29.78723
2020-08-07,25.53191
2020-08-08,40.42553
2020-08-09,29.78723
2020-08-10,38.29787
2020-08-11,51.06382
2020-08-12,25.53191
2020-08-13,17.02127
2020-08-14,10.63829
2020-08-15,23.40425
2020-08-16,10.63829
2020-08-17,31.91489
2020-08-18,21.27659
2020-08-19,27.65957
2020-08-20,48.93617
2020-08-21,19.14893
2020-08-22,55.31914
