date,스마트폰부업
2020-03-20,67.85714
2020-03-21,50.0
2020-03-22,67.34693
2020-03-23,73.97959
2020-03-24,76.0204
2020-03-25,75.0
2020-03-26,64.28571
2020-03-27,63.2653
2020-03-28,52.55102
2020-03-29,39.79591
2020-03-30,78.06122
2020-03-31,53.57142
2020-04-01,63.2653
2020-04-02,51.53061
2020-04-03,48.46938
2020-04-04,35.71428
2020-04-05,50.5102
2020-04-06,49.48979
2020-04-07,61.73469
2020-04-08,51.53061
2020-04-09,54.59183
2020-04-10,43.87755
2020-04-11,37.24489
2020-04-12,52.55102
2020-04-13,61.22448
2020-04-14,54.08163
2020-04-15,44.38775
2020-04-16,54.08163
2020-04-17,47.95918
2020-04-18,39.28571
2020-04-19,53.06122
2020-04-20,62.24489
2020-04-21,63.77551
2020-04-22,54.08163
2020-04-23,64.79591
2020-04-24,46.93877
2020-04-25,29.59183
2020-04-26,40.81632
2020-04-27,48.97959
2020-04-28,45.91836
2020-04-29,37.7551
2020-04-30,34.69387
2020-05-01,28.57142
2020-05-02,25.0
2020-05-03,39.79591
2020-05-04,35.71428
2020-05-05,46.93877
2020-05-06,56.63265
2020-05-07,45.91836
2020-05-08,45.91836
2020-05-09,50.0
2020-05-10,31.63265
2020-05-11,57.65306
2020-05-12,49.48979
2020-05-13,40.81632
2020-05-14,61.22448
2020-05-15,51.0204
2020-05-16,34.18367
2020-05-17,31.12244
2020-05-18,45.91836
2020-05-19,50.0
2020-05-20,63.77551
2020-05-21,43.36734
2020-05-22,37.24489
2020-05-23,35.71428
2020-05-24,41.32653
2020-05-25,57.14285
2020-05-26,48.46938
2020-05-27,57.65306
2020-05-28,33.67346
2020-05-29,41.32653
2020-05-30,33.67346
2020-05-31,43.36734
2020-06-01,52.55102
2020-06-02,42.85714
2020-06-03,45.40816
2020-06-04,54.08163
2020-06-05,36.73469
2020-06-06,35.71428
2020-06-07,41.32653
2020-06-08,59.18367
2020-06-09,43.87755
2020-06-10,42.34693
2020-06-11,38.2653
2020-06-12,29.08163
2020-06-13,22.95918
2020-06-14,29.59183
2020-06-15,65.81632
2020-06-16,56.12244
2020-06-17,47.95918
2020-06-18,42.34693
2020-06-19,51.0204
2020-06-20,29.59183
2020-06-21,26.53061
2020-06-22,52.55102
2020-06-23,48.97959
2020-06-24,52.55102
2020-06-25,54.08163
2020-06-26,34.69387
2020-06-27,22.95918
2020-06-28,32.14285
2020-06-29,41.83673
2020-06-30,41.83673
2020-07-01,40.30612
2020-07-02,38.2653
2020-07-03,46.93877
2020-07-04,25.5102
2020-07-05,22.95918
2020-07-06,58.67346
2020-07-07,45.91836
2020-07-08,46.42857
2020-07-09,44.38775
2020-07-10,45.91836
2020-07-11,31.12244
2020-07-12,42.85714
2020-07-13,51.53061
2020-07-14,47.44897
2020-07-15,59.18367
2020-07-16,42.85714
2020-07-17,36.22448
2020-07-18,25.5102
2020-07-19,30.10204
2020-07-20,52.04081
2020-07-21,54.08163
2020-07-22,54.59183
2020-07-23,53.06122
2020-07-24,44.89795
2020-07-25,35.71428
2020-07-26,27.04081
2020-07-27,53.06122
2020-07-28,46.42857
2020-07-29,35.20408
2020-07-30,44.38775
2020-07-31,34.18367
2020-08-01,14.79591
2020-08-02,28.57142
2020-08-03,53.57142
2020-08-04,35.71428
2020-08-05,47.95918
2020-08-06,37.24489
2020-08-07,36.73469
2020-08-08,24.48979
2020-08-09,31.12244
2020-08-10,47.95918
2020-08-11,52.04081
2020-08-12,41.83673
2020-08-13,43.36734
2020-08-14,33.67346
2020-08-15,23.46938
2020-08-16,27.04081
2020-08-17,30.61224
2020-08-18,43.36734
2020-08-19,42.85714
2020-08-20,41.32653
2020-08-21,37.7551
2020-08-22,23.46938
2020-08-23,28.57142
2020-08-24,44.38775
2020-08-25,39.28571
2020-08-26,42.85714
2020-08-27,49.48979
2020-08-28,35.20408
2020-08-29,33.67346
2020-08-30,30.10204
2020-08-31,54.59183
2020-09-01,50.0
2020-09-02,51.0204
2020-09-03,47.95918
2020-09-04,53.57142
2020-09-05,39.28571
2020-09-06,44.38775
2020-09-07,64.79591
2020-09-08,59.18367
