date,금1돈중량
2020-03-20,48.81693
2020-03-21,29.85678
2020-03-22,23.94146
2020-03-23,26.08966
2020-03-24,35.52303
2020-03-25,30.13698
2020-03-26,30.82191
2020-03-27,27.27272
2020-03-28,25.59153
2020-03-29,19.58281
2020-03-30,25.18679
2020-03-31,23.132
2020-04-01,22.26027
2020-04-02,22.16687
2020-04-03,20.67247
2020-04-04,23.25653
2020-04-05,23.4122
2020-04-06,23.34993
2020-04-07,23.84806
2020-04-08,27.14819
2020-04-09,23.28767
2020-04-10,39.19676
2020-04-11,30.75965
2020-04-12,97.13574
2020-04-13,100.0
2020-04-14,75.03113
2020-04-15,38.04483
2020-04-16,35.27397
2020-04-17,41.56288
2020-04-18,30.97758
2020-04-19,29.42092
2020-04-20,29.57658
2020-04-21,32.28518
2020-04-22,37.82689
2020-04-23,30.47945
2020-04-24,50.84059
2020-04-25,32.40971
2020-04-26,32.90784
2020-04-27,66.50062
2020-04-28,34.62017
2020-04-29,27.67745
2020-04-30,28.36239
2020-05-01,25.09339
2020-05-02,21.85554
2020-05-03,28.89165
2020-05-04,26.68119
2020-05-05,28.08219
2020-05-06,33.40597
2020-05-07,26.80572
2020-05-08,29.35865
2020-05-09,26.27646
2020-05-10,25.74719
2020-05-11,24.47073
2020-05-12,23.8792
2020-05-13,20.51681
2020-05-14,26.68119
2020-05-15,24.65753
2020-05-16,21.5442
2020-05-17,23.7858
2020-05-18,49.68866
2020-05-19,52.02366
2020-05-20,34.0909
2020-05-21,27.11706
2020-05-22,23.81693
2020-05-23,22.665
2020-05-24,24.40846
2020-05-25,25.68493
2020-05-26,27.02366
2020-05-27,4.82565
2020-05-28,1.77459
2020-05-29,2.08592
2020-05-30,1.65006
2020-05-31,3.89165
2020-06-01,5.91531
2020-06-02,11.3325
2020-06-03,6.84931
2020-06-04,7.75217
2020-06-05,6.69364
2020-06-06,5.41718
2020-06-07,5.69738
2020-06-08,6.53798
2020-06-09,6.81818
2020-06-10,7.44084
2020-06-11,7.40971
2020-06-12,6.78704
2020-06-13,6.81818
2020-06-14,5.41718
2020-06-15,5.79078
2020-06-16,5.38605
2020-06-17,5.23038
2020-06-18,4.85678
2020-06-19,5.66625
2020-06-20,5.69738
2020-06-21,5.51058
2020-06-22,7.50311
2020-06-23,7.68991
2020-06-24,6.60024
2020-06-25,6.60024
2020-06-26,6.16438
2020-06-27,6.66251
2020-06-28,5.16811
2020-06-29,6.35118
2020-06-30,7.34744
2020-07-01,9.7447
2020-07-02,10.18057
2020-07-03,7.87671
2020-07-04,8.53051
2020-07-05,11.64383
2020-07-06,11.17683
2020-07-07,8.9975
2020-07-08,10.74097
2020-07-09,8.49937
2020-07-10,6.50684
2020-07-11,6.72478
2020-07-12,5.60398
2020-07-13,11.27023
2020-07-14,33.96637
2020-07-15,19.11581
2020-07-16,8.59277
2020-07-17,8.15691
2020-07-18,7.50311
2020-07-19,7.53424
2020-07-20,8.46824
2020-07-21,6.00871
2020-07-22,2.73972
2020-07-23,2.80199
2020-07-24,4.17185
2020-07-25,5.85305
2020-07-26,4.20298
2020-07-27,7.59651
2020-07-28,12.4533
2020-07-29,12.98256
2020-07-30,6.16438
2020-07-31,3.76712
2020-08-01,2.61519
2020-08-02,2.89539
2020-08-03,2.52179
2020-08-04,2.58405
2020-08-05,5.51058
2020-08-06,4.23412
2020-08-07,4.20298
2020-08-08,2.64632
2020-08-09,2.27272
2020-08-10,1.96139
2020-08-11,2.64632
2020-08-12,3.79825
2020-08-13,1.33872
2020-08-14,1.52552
2020-08-15,1.61892
2020-08-16,1.43212
2020-08-17,1.46326
2020-08-18,1.89912
2020-08-19,1.68119
2020-08-20,0.59153
2020-08-21,1.49439
2020-08-22,1.55666
2020-08-23,1.68119
2020-08-24,2.11706
2020-08-25,2.77085
2020-08-26,1.93026
2020-08-27,2.39726
2020-08-28,2.67745
2020-08-29,2.39726
2020-08-30,2.30386
2020-08-31,2.61519
2020-09-01,2.02366
2020-09-02,2.77085
2020-09-03,2.27272
2020-09-04,2.21046
2020-09-05,1.68119
2020-09-06,2.05479
2020-09-07,1.80572
2020-09-08,1.99252
2020-09-09,2.27272
2020-09-10,0.71606
2020-09-11,0.74719
2020-09-12,0.84059
2020-09-13,1.36986
2020-09-14,2.52179
2020-09-15,0.87173
2020-09-16,1.71232
2020-09-17,1.71232
2020-09-18,1.74346
2020-09-19,2.80199
2020-09-20,1.83686
2020-09-21,2.33499
2020-09-22,2.05479
2020-09-23,2.24159
