date,명함제작
2020-03-20,55.2422
2020-03-21,31.95089
2020-03-22,29.927
2020-03-23,61.24751
2020-03-24,61.51293
2020-03-25,60.71665
2020-03-26,57.29927
2020-03-27,58.52687
2020-03-28,30.49104
2020-03-29,27.73722
2020-03-30,59.58858
2020-03-31,59.12408
2020-04-01,63.93497
2020-04-02,61.21433
2020-04-03,57.36562
2020-04-04,35.6337
2020-04-05,30.45786
2020-04-06,68.57996
2020-04-07,69.97345
2020-04-08,66.75514
2020-04-09,65.99203
2020-04-10,56.37027
2020-04-11,30.55739
2020-04-12,31.18779
2020-04-13,65.428
2020-04-14,62.37558
2020-04-15,44.26011
2020-04-16,60.51758
2020-04-17,56.73523
2020-04-18,37.42534
2020-04-19,33.57664
2020-04-20,69.47577
2020-04-21,72.69409
2020-04-22,68.38088
2020-04-23,65.22893
2020-04-24,59.12408
2020-04-25,34.63835
2020-04-26,32.41539
2020-04-27,67.45189
2020-04-28,67.81685
2020-04-29,60.31851
2020-04-30,34.97013
2020-05-01,39.54877
2020-05-02,29.49568
2020-05-03,28.03583
2020-05-04,51.26078
2020-05-05,35.83278
2020-05-06,73.22495
2020-05-07,67.48506
2020-05-08,53.15195
2020-05-09,34.67153
2020-05-10,28.63304
2020-05-11,66.45653
2020-05-12,68.08228
2020-05-13,68.48042
2020-05-14,62.27604
2020-05-15,57.53151
2020-05-16,33.4771
2020-05-17,29.69475
2020-05-18,73.72262
2020-05-19,70.50431
2020-05-20,68.67949
2020-05-21,69.84074
2020-05-22,60.45122
2020-05-23,32.34903
2020-05-24,30.49104
2020-05-25,70.03981
2020-05-26,72.19641
2020-05-27,66.92103
2020-05-28,62.27604
2020-05-29,59.75447
2020-05-30,29.89382
2020-05-31,29.52886
2020-06-01,72.26277
2020-06-02,65.56071
2020-06-03,71.16788
2020-06-04,67.91639
2020-06-05,60.65029
2020-06-06,30.49104
2020-06-07,29.69475
2020-06-08,66.58925
2020-06-09,72.03052
2020-06-10,66.78832
2020-06-11,64.29993
2020-06-12,58.16191
2020-06-13,29.26343
2020-06-14,30.88918
2020-06-15,65.36164
2020-06-16,69.2767
2020-06-17,67.18646
2020-06-18,64.39946
2020-06-19,59.0909
2020-06-20,29.13072
2020-06-21,28.13536
2020-06-22,67.61778
2020-06-23,68.67949
2020-06-24,68.61313
2020-06-25,66.45653
2020-06-26,54.84406
2020-06-27,30.02654
2020-06-28,31.65228
2020-06-29,66.09157
2020-06-30,68.9781
2020-07-01,69.04445
2020-07-02,66.58925
2020-07-03,60.81619
2020-07-04,36.03185
2020-07-05,27.60451
2020-07-06,74.85069
2020-07-07,74.61844
2020-07-08,75.01658
2020-07-09,68.61313
2020-07-10,58.85865
2020-07-11,31.65228
2020-07-12,29.79429
2020-07-13,71.5992
2020-07-14,73.45719
2020-07-15,70.10617
2020-07-16,61.91108
2020-07-17,55.67352
2020-07-18,30.19243
2020-07-19,33.07896
2020-07-20,70.83609
2020-07-21,69.9071
2020-07-22,66.1911
2020-07-23,64.76443
2020-07-24,59.02455
2020-07-25,34.14067
2020-07-26,28.46715
2020-07-27,67.45189
2020-07-28,68.74585
2020-07-29,68.44724
2020-07-30,66.52289
2020-07-31,51.82481
2020-08-01,30.49104
2020-08-02,26.44326
2020-08-03,64.39946
2020-08-04,60.88254
2020-08-05,65.79296
2020-08-06,71.93098
2020-08-07,66.42335
2020-08-08,33.14532
2020-08-09,29.39615
2020-08-10,70.17252
2020-08-11,75.38155
2020-08-12,70.53749
2020-08-13,62.1765
2020-08-14,56.4698
2020-08-15,31.98407
2020-08-16,26.64233
2020-08-17,46.98075
2020-08-18,66.357
2020-08-19,64.99668
2020-08-20,67.25282
2020-08-21,59.48905
2020-08-22,34.00796
2020-08-23,30.55739
2020-08-24,66.62242
2020-08-25,66.42335
2020-08-26,66.45653
2020-08-27,70.73656
2020-08-28,58.69276
2020-08-29,33.74253
2020-08-30,30.78964
2020-08-31,67.08692
2020-09-01,68.8122
2020-09-02,72.59455
2020-09-03,67.35235
2020-09-04,61.34704
2020-09-05,34.4061
2020-09-06,32.61446
2020-09-07,72.32913
2020-09-08,68.01592
2020-09-09,69.7412
2020-09-10,69.80756
2020-09-11,61.08161
2020-09-12,35.96549
2020-09-13,29.32979
2020-09-14,71.20106
2020-09-15,72.49502
2020-09-16,67.68414
2020-09-17,67.98274
2020-09-18,56.0053
2020-09-19,31.15461
2020-09-20,30.19243
2020-09-21,66.75514
2020-09-22,66.09157
2020-09-23,65.29528
2020-09-24,58.29462
2020-09-25,51.19442
2020-09-26,32.44857
2020-09-27,27.04047
2020-09-28,45.22229
2020-09-29,33.31121
2020-09-30,19.94027
2020-10-01,16.12475
2020-10-02,21.46648
2020-10-03,21.69873
2020-10-04,28.59986
2020-10-05,70.03981
2020-10-06,75.74651
2020-10-07,71.53284
2020-10-08,61.28069
2020-10-09,39.98009
2020-10-10,31.95089
2020-10-11,31.25414
2020-10-12,77.00729
2020-10-13,72.46184
2020-10-14,74.6848
2020-10-15,68.18181
2020-10-16,57.99601
2020-10-17,35.60053
2020-10-18,32.68082
2020-10-19,78.36761
2020-10-20,75.6138
2020-10-21,71.53284
2020-10-22,69.64167
2020-10-23,60.18579
2020-10-24,34.37292
2020-10-25,34.30656
2020-10-26,74.91705
2020-10-27,77.86994
2020-10-28,77.07365
2020-10-29,69.97345
