date,HLB주가
2020-03-20,1.75001
2020-03-21,0.63964
2020-03-22,0.45411
2020-03-23,1.4205
2020-03-24,1.51464
2020-03-25,1.79431
2020-03-26,2.06291
2020-03-27,1.65032
2020-03-28,0.71994
2020-03-29,0.54826
2020-03-30,1.75278
2020-03-31,1.52295
2020-04-01,1.83308
2020-04-02,1.61156
2020-04-03,1.47034
2020-04-04,0.57872
2020-04-05,0.42919
2020-04-06,1.32081
2020-04-07,1.51464
2020-04-08,1.1519
2020-04-09,1.14636
2020-04-10,1.05222
2020-04-11,0.44304
2020-04-12,0.35997
2020-04-13,1.09652
2020-04-14,1.3042
2020-04-15,0.57041
2020-04-16,1.25436
2020-04-17,1.23774
2020-04-18,0.55103
2020-04-19,0.54826
2020-04-20,0.95807
2020-04-21,1.14913
2020-04-22,0.95253
2020-04-23,0.93315
2020-04-24,0.95253
2020-04-25,0.26028
2020-04-26,0.17167
2020-04-27,1.22113
2020-04-28,1.01345
2020-04-29,0.54826
2020-04-30,0.34058
2020-05-01,0.25474
2020-05-02,0.30459
2020-05-03,0.2409
2020-05-04,0.49842
2020-05-05,0.29628
2020-05-06,0.55657
2020-05-07,0.45134
2020-05-08,0.49288
2020-05-09,0.35166
2020-05-10,0.25474
2020-05-11,1.05776
2020-05-12,1.04945
2020-05-13,0.75317
2020-05-14,0.71717
2020-05-15,0.50949
2020-05-16,0.22982
2020-05-17,0.24644
2020-05-18,0.39043
2020-05-19,0.5621
2020-05-20,0.52888
2020-05-21,0.65625
2020-05-22,0.48457
2020-05-23,0.29905
2020-05-24,0.22152
2020-05-25,0.50949
2020-05-26,0.69225
2020-05-27,0.52057
2020-05-28,0.47626
2020-05-29,0.78362
2020-05-30,0.3655
2020-05-31,0.5621
2020-06-01,1.71678
2020-06-02,1.50911
2020-06-03,0.9913
2020-06-04,0.81131
2020-06-05,0.80578
2020-06-06,0.50119
2020-06-07,0.4375
2020-06-08,0.55103
2020-06-09,0.21321
2020-06-10,0.26582
2020-06-11,0.3655
2020-06-12,0.47903
2020-06-13,0.21321
2020-06-14,0.17721
2020-06-15,0.35166
2020-06-16,0.36827
2020-06-17,0.35997
2020-06-18,0.42088
2020-06-19,0.21598
2020-06-20,0.18552
2020-06-21,0.13568
2020-06-22,0.42642
2020-06-23,0.34058
2020-06-24,0.31012
2020-06-25,0.34335
2020-06-26,0.22152
2020-06-27,0.14675
2020-06-28,0.11352
2020-06-29,0.3212
2020-06-30,0.33781
2020-07-01,0.37935
2020-07-02,0.35166
2020-07-03,0.27966
2020-07-04,0.11629
2020-07-05,0.12737
2020-07-06,0.26305
2020-07-07,0.2769
2020-07-08,0.32397
2020-07-09,0.33228
2020-07-10,0.27966
2020-07-11,0.16337
2020-07-12,0.18829
2020-07-13,0.3655
2020-07-14,0.41535
2020-07-15,0.27966
2020-07-16,0.34889
2020-07-17,0.31566
2020-07-18,0.11906
2020-07-19,0.11076
2020-07-20,0.31289
2020-07-21,0.32951
2020-07-22,0.28243
2020-07-23,0.28243
2020-07-24,0.27136
2020-07-25,0.13291
