date,앱테크추천
2020-03-20,7.84313
2020-03-21,7.14596
2020-03-22,4.92374
2020-03-23,4.74945
2020-03-24,3.87799
2020-03-25,4.09586
2020-03-26,3.57298
2020-03-27,5.88235
2020-03-28,3.83442
2020-03-29,4.183
2020-03-30,3.92156
2020-03-31,4.57516
2020-04-01,4.44444
2020-04-02,3.74727
2020-04-03,4.27015
2020-04-04,5.88235
2020-04-05,4.70588
2020-04-06,3.2244
2020-04-07,4.53159
2020-04-08,5.18518
2020-04-09,5.22875
2020-04-10,3.74727
2020-04-11,4.05228
2020-04-12,4.09586
2020-04-13,4.27015
2020-04-14,4.00871
2020-04-15,5.09803
2020-04-16,4.57516
2020-04-17,4.88017
2020-04-18,4.57516
2020-04-19,4.13943
2020-04-20,4.57516
2020-04-21,3.87799
2020-04-22,4.61873
2020-04-23,5.22875
2020-04-24,4.74945
2020-04-25,3.83442
2020-04-26,4.53159
2020-04-27,5.44662
2020-04-28,4.53159
2020-04-29,4.31372
2020-04-30,3.96514
2020-05-01,4.74945
2020-05-02,4.53159
2020-05-03,5.70806
2020-05-04,4.48801
2020-05-05,4.40087
2020-05-06,6.57952
2020-05-07,3.83442
2020-05-08,4.31372
2020-05-09,4.53159
2020-05-10,5.53376
2020-05-11,4.96732
2020-05-12,4.09586
2020-05-13,4.22657
2020-05-14,3.7037
2020-05-15,4.09586
2020-05-16,3.44226
2020-05-17,3.87799
2020-05-18,4.53159
2020-05-19,4.8366
2020-05-20,4.31372
2020-05-21,3.31154
2020-05-22,3.09368
2020-05-23,3.31154
2020-05-24,3.74727
2020-05-25,3.39869
2020-05-26,4.31372
2020-05-27,3.7037
2020-05-28,3.09368
2020-05-29,2.39651
2020-05-30,3.13725
2020-05-31,3.35511
2020-06-01,4.05228
2020-06-02,3.26797
2020-06-03,2.91938
2020-06-04,3.79084
2020-06-05,2.87581
2020-06-06,2.13507
2020-06-07,2.83224
2020-06-08,4.09586
2020-06-09,3.13725
2020-06-10,3.31154
2020-06-11,2.91938
2020-06-12,3.39869
2020-06-13,2.44008
2020-06-14,2.74509
2020-06-15,2.74509
2020-06-16,2.78867
2020-06-17,3.0501
2020-06-18,2.91938
2020-06-19,3.2244
2020-06-20,3.13725
2020-06-21,3.96514
2020-06-22,3.74727
2020-06-23,3.52941
2020-06-24,2.91938
2020-06-25,2.83224
2020-06-26,2.35294
2020-06-27,1.91721
2020-06-28,2.26579
2020-06-29,3.31154
2020-06-30,3.7037
2020-07-01,3.92156
2020-07-02,3.57298
2020-07-03,3.7037
2020-07-04,3.39869
2020-07-05,2.87581
2020-07-06,4.00871
2020-07-07,3.79084
2020-07-08,2.91938
2020-07-09,5.18518
2020-07-10,39.56427
2020-07-11,5.62091
2020-07-12,5.66448
2020-07-13,5.01089
2020-07-14,4.05228
2020-07-15,16.64488
2020-07-16,7.36383
2020-07-17,4.61873
2020-07-18,3.00653
2020-07-19,4.05228
2020-07-20,4.6623
2020-07-21,3.48583
2020-07-22,4.74945
2020-07-23,3.61655
2020-07-24,3.52941
2020-07-25,2.70152
2020-07-26,2.26579
2020-07-27,3.09368
2020-07-28,2.35294
2020-07-29,4.13943
2020-07-30,3.74727
2020-07-31,2.74509
2020-08-01,2.70152
2020-08-02,2.70152
2020-08-03,2.87581
2020-08-04,2.78867
2020-08-05,2.70152
2020-08-06,2.87581
2020-08-07,2.96296
2020-08-08,1.78649
2020-08-09,2.83224
2020-08-10,2.17864
2020-08-11,2.96296
2020-08-12,2.44008
2020-08-13,2.96296
2020-08-14,2.5708
2020-08-15,1.6122
2020-08-16,2.04793
2020-08-17,2.70152
2020-08-18,2.13507
2020-08-19,3.35511
2020-08-20,2.70152
2020-08-21,2.87581
2020-08-22,2.52723
2020-08-23,2.00435
2020-08-24,2.35294
2020-08-25,2.78867
2020-08-26,3.13725
2020-08-27,2.26579
2020-08-28,4.48801
2020-08-29,2.52723
2020-08-30,3.26797
2020-08-31,3.00653
2020-09-01,3.92156
2020-09-02,4.05228
2020-09-03,6.10021
2020-09-04,29.45533
2020-09-05,6.49237
2020-09-06,7.62527
2020-09-07,7.97385
2020-09-08,4.57516
2020-09-09,6.10021
2020-09-10,6.01307
2020-09-11,5.83877
2020-09-12,4.40087
2020-09-13,5.09803
2020-09-14,4.183
2020-09-15,5.05446
2020-09-16,4.40087
2020-09-17,5.3159
2020-09-18,4.09586
2020-09-19,6.01307
2020-09-20,5.18518
2020-09-21,4.22657
2020-09-22,4.44444
2020-09-23,4.09586
2020-09-24,4.44444
2020-09-25,4.09586
2020-09-26,5.01089
2020-09-27,6.2745
2020-09-28,6.14379
2020-09-29,4.79302
2020-09-30,5.3159
2020-10-01,5.83877
2020-10-02,6.18736
2020-10-03,5.96949
2020-10-04,7.62527
2020-10-05,6.18736
2020-10-06,7.14596
2020-10-07,7.45098
2020-10-08,6.10021
2020-10-09,5.49019
2020-10-10,5.05446
2020-10-11,5.66448
2020-10-12,6.31808
2020-10-13,5.27233
2020-10-14,5.40305
2020-10-15,4.92374
2020-10-16,5.3159
2020-10-17,4.27015
2020-10-18,4.09586
2020-10-19,4.6623
2020-10-20,3.61655
2020-10-21,3.39869
2020-10-22,4.53159
2020-10-23,3.31154
2020-10-24,3.61655
2020-10-25,3.92156
2020-10-26,5.96949
2020-10-27,5.53376
2020-10-28,4.70588
2020-10-29,5.70806
2020-10-30,4.13943
2020-10-31,4.88017
2020-11-01,5.66448
2020-11-02,5.18518
2020-11-03,5.05446
2020-11-04,3.48583
2020-11-05,4.31372
2020-11-06,5.14161
2020-11-07,3.74727
2020-11-08,5.83877
2020-11-09,5.22875
2020-11-10,4.09586
2020-11-11,3.2244
2020-11-12,4.70588
2020-11-13,4.00871
2020-11-14,3.83442
2020-11-15,4.40087
2020-11-16,5.35947
2020-11-17,5.27233
2020-11-18,5.44662
2020-11-19,5.92592
2020-11-20,6.4488
2020-11-21,5.09803
2020-11-22,6.49237
2020-11-23,6.40522
2020-11-24,4.70588
2020-11-25,4.8366
2020-11-26,5.22875
2020-11-27,6.01307
2020-11-28,5.01089
2020-11-29,5.35947
2020-11-30,6.84095
2020-12-01,7.05882
2020-12-02,7.45098
2020-12-03,7.4074
2020-12-04,7.88671
2020-12-05,6.49237
2020-12-06,7.49455
2020-12-07,8.23529
2020-12-08,7.14596
2020-12-09,6.75381
2020-12-10,7.62527
2020-12-11,7.01525
2020-12-12,6.31808
2020-12-13,8.58387
2020-12-14,9.0196
2020-12-15,7.32026
2020-12-16,8.01742
2020-12-17,7.14596
2020-12-18,7.58169
2020-12-19,7.05882
2020-12-20,8.58387
2020-12-21,7.93028
2020-12-22,7.79956
2020-12-23,7.93028
2020-12-24,8.71459
2020-12-25,7.53812
2020-12-26,10.02178
2020-12-27,9.45533
2020-12-28,12.244
2020-12-29,17.38562
2020-12-30,13.94335
2020-12-31,11.93899
2021-01-01,14.72766
2021-01-02,13.8562
2021-01-03,15.94771
2021-01-04,13.46405
2021-01-05,13.3769
2021-01-06,14.29193
2021-01-07,11.67755
2021-01-08,13.46405
2021-01-09,13.02832
2021-01-10,14.46623
2021-01-11,13.46405
2021-01-12,12.63616
2021-01-13,13.20261
2021-01-14,22.00435
2021-01-15,25.35947
2021-01-16,37.2549
2021-01-17,24.79302
2021-01-18,22.61437
2021-01-19,18.77995
2021-01-20,16.07843
2021-01-21,17.99564
2021-01-22,15.90413
2021-01-23,16.29629
2021-01-24,17.86492
2021-01-25,15.81699
2021-01-26,14.07407
2021-01-27,15.33769
2021-01-28,75.33769
2021-01-29,100.0
2021-01-30,60.52287
2021-01-31,53.46405
2021-02-01,57.29847
2021-02-02,58.91067
2021-02-03,46.62309
2021-02-04,46.23093
2021-02-05,38.56209
2021-02-06,31.93899
2021-02-07,36.38344
2021-02-08,33.72549
2021-02-09,30.32679
2021-02-10,26.71023
2021-02-11,26.62309
2021-02-12,24.79302
2021-02-13,30.19607
2021-02-14,43.66013
2021-02-15,36.42701
2021-02-16,31.89542
2021-02-17,28.80174
2021-02-18,27.36383
2021-02-19,26.4488
2021-02-20,25.92592
2021-02-21,29.80392
2021-02-22,28.49673
2021-02-23,28.14814
2021-02-24,28.32244
2021-02-25,28.36601
2021-02-26,21.13289
2021-02-27,21.74291
2021-02-28,25.66448
2021-03-01,31.41612
2021-03-02,23.00653
2021-03-03,25.62091
2021-03-04,26.57952
2021-03-05,21.74291
2021-03-06,21.08932
2021-03-07,28.88888
2021-03-08,27.4074
2021-03-09,29.23747
2021-03-10,28.84531
2021-03-11,23.13725
2021-03-12,24.88017
2021-03-13,21.6122
2021-03-14,25.05446
2021-03-15,22.87581
2021-03-16,24.53159
2021-03-17,25.22875
2021-03-18,21.22004
2021-03-19,25.62091
2021-03-20,24.13943
2021-03-21,27.14596
2021-03-22,24.44444
2021-03-23,23.09368
2021-03-24,27.45098
2021-03-25,22.0915
2021-03-26,20.9586
2021-03-27,25.09803
2021-03-28,28.01742
2021-03-29,29.58605
2021-03-30,26.4488
2021-03-31,24.96732
2021-04-01,28.061
2021-04-02,22.91938
2021-04-03,25.22875
2021-04-04,32.02614
2021-04-05,27.05882
2021-04-06,27.32026
2021-04-07,26.75381
2021-04-08,30.45751
2021-04-09,30.06535
2021-04-10,27.10239
2021-04-11,34.37908
2021-04-12,35.20697
2021-04-13,30.67538
