date,겸재정선
2020-03-20,2.96625
2020-03-21,2.22469
2020-03-22,4.82017
2020-03-23,2.81794
2020-03-24,3.11457
2020-03-25,2.41008
2020-03-26,2.48424
2020-03-27,3.70782
2020-03-28,2.78086
2020-03-29,2.66963
2020-03-30,3.44827
2020-03-31,2.52131
2020-04-01,2.22469
2020-04-02,2.11345
2020-04-03,2.63255
2020-04-04,1.44605
2020-04-05,2.11345
2020-04-06,2.96625
2020-04-07,3.15164
2020-04-08,2.11345
2020-04-09,4.37523
2020-04-10,2.96625
2020-04-11,1.66852
2020-04-12,2.22469
2020-04-13,3.44827
2020-04-14,4.37523
2020-04-15,3.26288
2020-04-16,3.81905
2020-04-17,5.82128
2020-04-18,4.48646
2020-04-19,2.22469
2020-04-20,6.22914
2020-04-21,10.56729
2020-04-22,5.37634
2020-04-23,4.4123
2020-04-24,4.33815
2020-04-25,2.8921
2020-04-26,2.52131
2020-04-27,4.78309
2020-04-28,10.08527
2020-04-29,3.89321
2020-04-30,2.0393
2020-05-01,3.89321
2020-05-02,3.29996
2020-05-03,2.63255
2020-05-04,4.89432
2020-05-05,2.41008
2020-05-06,5.41342
2020-05-07,4.48646
2020-05-08,7.52688
2020-05-09,2.15053
2020-05-10,3.15164
2020-05-11,4.26399
2020-05-12,7.11902
2020-05-13,5.48757
2020-05-14,5.48757
2020-05-15,6.19206
2020-05-16,3.04041
2020-05-17,4.26399
2020-05-18,5.96959
2020-05-19,6.08083
2020-05-20,8.23136
2020-05-21,6.45161
2020-05-22,4.4123
2020-05-23,2.00222
2020-05-24,2.63255
2020-05-25,5.00556
2020-05-26,6.85947
2020-05-27,4.4123
2020-05-28,3.55951
2020-05-29,4.85724
2020-05-30,2.55839
2020-05-31,2.63255
2020-06-01,3.89321
2020-06-02,3.78197
2020-06-03,3.55951
2020-06-04,3.63366
2020-06-05,3.04041
2020-06-06,2.11345
2020-06-07,3.44827
2020-06-08,5.37634
2020-06-09,4.04152
2020-06-10,6.00667
2020-06-11,4.48646
2020-06-12,2.96625
2020-06-13,2.85502
2020-06-14,3.93029
2020-06-15,5.4505
2020-06-16,5.22803
2020-06-17,7.11902
2020-06-18,4.89432
2020-06-19,4.00444
2020-06-20,3.37411
2020-06-21,4.9314
2020-06-22,4.74601
2020-06-23,15.01668
2020-06-24,12.60659
2020-06-25,12.75491
2020-06-26,7.93474
2020-06-27,34.59399
2020-06-28,4.37523
2020-06-29,5.11679
2020-06-30,4.5977
2020-07-01,4.52354
2020-07-02,4.78309
2020-07-03,4.4123
2020-07-04,3.00333
2020-07-05,3.37411
2020-07-06,4.30107
2020-07-07,5.30218
2020-07-08,5.04263
2020-07-09,4.15276
2020-07-10,4.0786
2020-07-11,3.55951
2020-07-12,5.07971
2020-07-13,4.48646
2020-07-14,3.93029
2020-07-15,10.01112
2020-07-16,20.9492
2020-07-17,7.19317
2020-07-18,3.44827
2020-07-19,8.26844
