date,비갱신실비보험
2020-03-20,19.20731
2020-03-21,7.31707
2020-03-22,5.4878
2020-03-23,11.89024
2020-03-24,15.85365
2020-03-25,18.59756
2020-03-26,14.02439
2020-03-27,18.90243
2020-03-28,14.02439
2020-03-29,10.67073
2020-03-30,23.4756
2020-03-31,16.46341
2020-04-01,12.19512
2020-04-02,12.5
2020-04-03,11.28048
2020-04-04,10.9756
2020-04-05,4.26829
2020-04-06,9.45121
2020-04-07,11.89024
2020-04-08,11.89024
2020-04-09,10.36585
2020-04-10,10.9756
2020-04-11,3.65853
2020-04-12,3.96341
2020-04-13,12.19512
2020-04-14,12.19512
2020-04-15,6.09756
2020-04-16,13.71951
2020-04-17,10.67073
2020-04-18,7.31707
2020-04-19,14.02439
2020-04-20,19.51219
2020-04-21,22.25609
2020-04-22,16.76829
2020-04-23,17.68292
2020-04-24,12.80487
2020-04-25,9.14634
2020-04-26,10.9756
2020-04-27,20.12195
2020-04-28,20.42682
2020-04-29,15.85365
2020-04-30,8.53658
2020-05-01,5.18292
2020-05-02,8.84146
2020-05-03,6.70731
2020-05-04,17.07317
2020-05-05,13.41463
2020-05-06,16.46341
2020-05-07,16.46341
2020-05-08,12.80487
2020-05-09,14.93902
2020-05-10,7.31707
2020-05-11,16.15853
2020-05-12,17.07317
2020-05-13,15.2439
2020-05-14,6.09756
2020-05-15,14.63414
2020-05-16,13.10975
2020-05-17,7.31707
2020-05-18,14.02439
2020-05-19,15.54878
2020-05-20,12.80487
2020-05-21,10.9756
2020-05-22,17.07317
2020-05-23,8.84146
2020-05-24,9.14634
2020-05-25,19.81707
2020-05-26,27.7439
2020-05-27,21.95121
2020-05-28,21.64634
2020-05-29,18.59756
2020-05-30,13.71951
2020-05-31,10.06097
2020-06-01,17.07317
2020-06-02,23.4756
2020-06-03,17.37804
2020-06-04,16.76829
2020-06-05,14.32926
2020-06-06,9.45121
2020-06-07,7.92682
2020-06-08,10.06097
2020-06-09,12.80487
2020-06-10,17.37804
2020-06-11,10.36585
2020-06-12,10.67073
2020-06-13,8.84146
2020-06-14,4.26829
2020-06-15,10.67073
2020-06-16,10.67073
2020-06-17,12.80487
2020-06-18,10.36585
2020-06-19,14.93902
2020-06-20,8.2317
2020-06-21,5.18292
2020-06-22,13.71951
2020-06-23,8.2317
2020-06-24,12.80487
2020-06-25,11.28048
2020-06-26,13.71951
2020-06-27,8.2317
2020-06-28,9.45121
2020-06-29,14.02439
2020-06-30,17.37804
2020-07-01,21.03658
2020-07-02,14.93902
2020-07-03,12.80487
2020-07-04,11.28048
2020-07-05,7.92682
2020-07-06,15.85365
2020-07-07,21.03658
2020-07-08,22.25609
2020-07-09,21.64634
2020-07-10,18.59756
2020-07-11,11.89024
2020-07-12,6.40243
2020-07-13,17.68292
2020-07-14,17.68292
2020-07-15,16.76829
2020-07-16,11.89024
2020-07-17,14.93902
2020-07-18,10.36585
2020-07-19,8.84146
2020-07-20,20.12195
2020-07-21,21.03658
2020-07-22,19.51219
2020-07-23,15.2439
2020-07-24,13.41463
2020-07-25,11.89024
2020-07-26,7.62195
2020-07-27,16.76829
2020-07-28,20.12195
2020-07-29,21.64634
2020-07-30,18.29268
2020-07-31,10.67073
2020-08-01,13.71951
2020-08-02,3.96341
2020-08-03,11.58536
2020-08-04,14.63414
2020-08-05,12.80487
2020-08-06,12.5
2020-08-07,14.32926
2020-08-08,12.5
2020-08-09,7.01219
2020-08-10,14.63414
2020-08-11,12.19512
2020-08-12,17.07317
2020-08-13,11.28048
2020-08-14,14.93902
2020-08-15,13.41463
2020-08-16,8.84146
2020-08-17,10.06097
2020-08-18,15.2439
2020-08-19,18.90243
2020-08-20,15.85365
2020-08-21,14.32926
2020-08-22,14.02439
2020-08-23,10.06097
2020-08-24,19.51219
2020-08-25,18.29268
2020-08-26,15.2439
2020-08-27,17.37804
2020-08-28,17.37804
2020-08-29,15.85365
2020-08-30,11.28048
2020-08-31,21.03658
2020-09-01,23.17073
2020-09-02,15.2439
2020-09-03,17.68292
2020-09-04,20.7317
2020-09-05,7.62195
2020-09-06,8.2317
2020-09-07,14.32926
2020-09-08,24.69512
2020-09-09,16.46341
2020-09-10,17.9878
2020-09-11,17.07317
2020-09-12,15.54878
2020-09-13,14.32926
2020-09-14,17.9878
2020-09-15,16.76829
2020-09-16,24.39024
2020-09-17,22.56097
2020-09-18,20.12195
2020-09-19,15.85365
2020-09-20,10.36585
2020-09-21,17.07317
2020-09-22,20.42682
2020-09-23,17.68292
2020-09-24,14.93902
2020-09-25,16.46341
2020-09-26,5.79268
2020-09-27,7.62195
2020-09-28,13.41463
2020-09-29,9.14634
2020-09-30,6.40243
2020-10-01,4.57317
2020-10-02,11.58536
2020-10-03,5.79268
2020-10-04,19.81707
2020-10-05,20.42682
2020-10-06,19.51219
2020-10-07,16.15853
2020-10-08,17.68292
2020-10-09,14.02439
2020-10-10,11.58536
2020-10-11,15.2439
2020-10-12,28.65853
2020-10-13,26.82926
2020-10-14,27.43902
2020-10-15,19.51219
2020-10-16,15.2439
2020-10-17,12.19512
2020-10-18,9.14634
2020-10-19,12.5
2020-10-20,19.51219
2020-10-21,19.20731
2020-10-22,19.20731
2020-10-23,14.63414
2020-10-24,10.67073
2020-10-25,7.01219
2020-10-26,8.84146
2020-10-27,17.68292
2020-10-28,10.67073
2020-10-29,13.10975
2020-10-30,14.93902
2020-10-31,9.45121
2020-11-01,6.09756
2020-11-02,12.80487
2020-11-03,13.10975
2020-11-04,9.14634
2020-11-05,14.32926
2020-11-06,16.15853
2020-11-07,5.4878
2020-11-08,9.75609
2020-11-09,16.15853
2020-11-10,18.90243
2020-11-11,11.28048
2020-11-12,20.42682
2020-11-13,11.89024
2020-11-14,8.2317
2020-11-15,6.09756
2020-11-16,8.2317
2020-11-17,17.37804
2020-11-18,9.14634
2020-11-19,17.37804
2020-11-20,5.79268
2020-11-21,6.09756
2020-11-22,2.7439
2020-11-23,9.45121
2020-11-24,15.54878
2020-11-25,17.07317
2020-11-26,12.19512
2020-11-27,8.2317
2020-11-28,6.09756
2020-11-29,4.26829
2020-11-30,10.9756
2020-12-01,16.46341
2020-12-02,14.63414
2020-12-03,18.29268
2020-12-04,14.02439
2020-12-05,10.36585
2020-12-06,13.71951
2020-12-07,16.46341
2020-12-08,17.37804
2020-12-09,28.04878
2020-12-10,25.91463
2020-12-11,16.76829
2020-12-12,10.67073
2020-12-13,12.5
2020-12-14,18.90243
2020-12-15,17.9878
2020-12-16,18.59756
2020-12-17,18.29268
2020-12-18,18.59756
2020-12-19,10.67073
2020-12-20,10.36585
2020-12-21,18.29268
2020-12-22,31.09756
2020-12-23,22.25609
2020-12-24,25.0
2020-12-25,10.67073
2020-12-26,14.32926
2020-12-27,9.45121
2020-12-28,25.60975
2020-12-29,46.95121
2020-12-30,39.02439
2020-12-31,27.43902
2021-01-01,15.54878
2021-01-02,15.54878
2021-01-03,12.5
2021-01-04,30.4878
2021-01-05,33.84146
2021-01-06,31.09756
2021-01-07,34.14634
2021-01-08,29.87804
