date,사회초년생적금
2020-03-20,52.61845
2020-03-21,37.65586
2020-03-22,42.64339
2020-03-23,60.84788
2020-03-24,56.85785
2020-03-25,71.07231
2020-03-26,62.59351
2020-03-27,48.12967
2020-03-28,49.12718
2020-03-29,48.37905
2020-03-30,62.84289
2020-03-31,59.60099
2020-04-01,61.09725
2020-04-02,56.3591
2020-04-03,46.38403
2020-04-04,25.4364
2020-04-05,37.65586
2020-04-06,51.62094
2020-04-07,42.39401
2020-04-08,41.89526
2020-04-09,37.1571
2020-04-10,40.89775
2020-04-11,32.9177
2020-04-12,41.3965
2020-04-13,44.6384
2020-04-14,37.90523
2020-04-15,36.65835
2020-04-16,40.89775
2020-04-17,37.65586
2020-04-18,30.42394
2020-04-19,41.89526
2020-04-20,41.64588
2020-04-21,49.62593
2020-04-22,40.14962
2020-04-23,43.64089
2020-04-24,54.11471
2020-04-25,47.38154
2020-04-26,51.62094
2020-04-27,58.35411
2020-04-28,44.88778
2020-04-29,50.87281
2020-04-30,34.16458
2020-05-01,33.91521
2020-05-02,27.93017
2020-05-03,46.88279
2020-05-04,65.33665
2020-05-05,43.64089
2020-05-06,51.12219
2020-05-07,36.90773
2020-05-08,38.40399
2020-05-09,26.93266
2020-05-10,40.89775
2020-05-11,55.11221
2020-05-12,39.65087
2020-05-13,31.42144
2020-05-14,30.92269
2020-05-15,31.42144
2020-05-16,22.44389
2020-05-17,27.68079
2020-05-18,36.1596
2020-05-19,42.14463
2020-05-20,42.89276
2020-05-21,47.88029
2020-05-22,37.90523
2020-05-23,28.17955
2020-05-24,42.89276
2020-05-25,59.35162
2020-05-26,51.62094
2020-05-27,41.14713
2020-05-28,41.14713
2020-05-29,39.90024
2020-05-30,30.42394
2020-05-31,29.67581
2020-06-01,36.1596
2020-06-02,35.16209
2020-06-03,34.66334
2020-06-04,34.41396
2020-06-05,28.42892
2020-06-06,24.18952
2020-06-07,31.67082
2020-06-08,47.63092
2020-06-09,37.1571
2020-06-10,47.13216
2020-06-11,41.3965
2020-06-12,30.17456
2020-06-13,32.16957
2020-06-14,33.66583
2020-06-15,44.13965
2020-06-16,35.41147
2020-06-17,31.17206
2020-06-18,25.68578
2020-06-19,25.18703
2020-06-20,30.92269
2020-06-21,32.9177
2020-06-22,38.40399
2020-06-23,30.92269
2020-06-24,33.41645
2020-06-25,41.3965
2020-06-26,32.9177
2020-06-27,23.69077
2020-06-28,35.91022
2020-06-29,39.90024
2020-06-30,38.40399
2020-07-01,33.66583
2020-07-02,39.40149
2020-07-03,36.1596
2020-07-04,27.68079
2020-07-05,34.16458
2020-07-06,40.399
2020-07-07,37.1571
2020-07-08,33.66583
2020-07-09,33.41645
2020-07-10,33.41645
2020-07-11,26.93266
2020-07-12,26.43391
2020-07-13,33.66583
2020-07-14,31.92019
2020-07-15,37.40648
2020-07-16,34.66334
2020-07-17,29.92518
2020-07-18,25.18703
2020-07-19,28.92768
2020-07-20,34.16458
2020-07-21,32.16957
2020-07-22,37.40648
2020-07-23,38.65336
2020-07-24,32.9177
2020-07-25,30.67331
2020-07-26,36.1596
2020-07-27,47.63092
2020-07-28,33.16708
2020-07-29,30.67331
2020-07-30,33.91521
2020-07-31,30.67331
2020-08-01,29.42643
2020-08-02,29.92518
2020-08-03,44.6384
2020-08-04,34.41396
2020-08-05,29.67581
2020-08-06,35.41147
2020-08-07,32.9177
2020-08-08,23.44139
2020-08-09,34.66334
2020-08-10,46.13466
2020-08-11,38.65336
2020-08-12,40.399
2020-08-13,40.64837
2020-08-14,27.43142
2020-08-15,27.18204
2020-08-16,25.18703
2020-08-17,38.90274
2020-08-18,40.14962
2020-08-19,37.1571
2020-08-20,41.64588
2020-08-21,38.65336
2020-08-22,34.41396
2020-08-23,38.90274
2020-08-24,48.37905
2020-08-25,49.12718
2020-08-26,56.10972
2020-08-27,47.38154
2020-08-28,39.90024
2020-08-29,31.17206
2020-08-30,33.16708
2020-08-31,47.88029
2020-09-01,40.64837
2020-09-02,36.40897
2020-09-03,38.40399
2020-09-04,41.14713
2020-09-05,32.9177
2020-09-06,29.92518
2020-09-07,40.64837
2020-09-08,38.90274
2020-09-09,31.17206
2020-09-10,38.90274
2020-09-11,32.9177
2020-09-12,25.68578
2020-09-13,29.92518
2020-09-14,37.65586
2020-09-15,43.14214
2020-09-16,34.66334
2020-09-17,34.66334
2020-09-18,32.41895
2020-09-19,21.197
2020-09-20,27.68079
2020-09-21,33.91521
2020-09-22,33.41645
2020-09-23,22.69326
2020-09-24,25.4364
2020-09-25,35.16209
2020-09-26,22.44389
2020-09-27,27.43142
2020-09-28,37.65586
2020-09-29,25.93516
2020-09-30,20.69825
2020-10-01,21.44638
2020-10-02,20.1995
2020-10-03,25.18703
2020-10-04,25.93516
2020-10-05,36.90773
2020-10-06,29.67581
2020-10-07,34.66334
2020-10-08,30.67331
2020-10-09,20.44887
2020-10-10,21.197
2020-10-11,25.4364
2020-10-12,34.16458
2020-10-13,28.92768
2020-10-14,30.92269
2020-10-15,27.68079
2020-10-16,24.4389
2020-10-17,16.9576
2020-10-18,21.69576
2020-10-19,26.18453
2020-10-20,32.66832
2020-10-21,34.91271
2020-10-22,27.18204
2020-10-23,33.41645
2020-10-24,27.43142
2020-10-25,29.92518
2020-10-26,34.66334
2020-10-27,26.68329
2020-10-28,28.42892
2020-10-29,22.44389
2020-10-30,24.93765
2020-10-31,22.19451
2020-11-01,26.68329
2020-11-02,37.40648
2020-11-03,28.42892
2020-11-04,24.93765
2020-11-05,30.42394
2020-11-06,26.43391
2020-11-07,23.19201
2020-11-08,19.95012
2020-11-09,35.16209
2020-11-10,27.68079
2020-11-11,31.92019
2020-11-12,27.93017
2020-11-13,31.92019
2020-11-14,19.95012
2020-11-15,22.94264
2020-11-16,30.67331
2020-11-17,30.67331
2020-11-18,27.93017
2020-11-19,26.93266
2020-11-20,27.68079
2020-11-21,20.69825
2020-11-22,30.17456
2020-11-23,37.65586
2020-11-24,35.66084
2020-11-25,46.63341
2020-11-26,34.16458
2020-11-27,31.17206
2020-11-28,20.69825
2020-11-29,29.92518
2020-11-30,32.9177
2020-12-01,38.15461
2020-12-02,36.90773
2020-12-03,29.17705
2020-12-04,28.6783
2020-12-05,28.17955
2020-12-06,35.16209
2020-12-07,39.90024
2020-12-08,39.15211
2020-12-09,38.90274
2020-12-10,39.65087
2020-12-11,33.91521
2020-12-12,32.41895
2020-12-13,34.91271
2020-12-14,40.14962
2020-12-15,41.14713
2020-12-16,35.16209
2020-12-17,40.399
2020-12-18,33.91521
2020-12-19,29.42643
2020-12-20,27.18204
2020-12-21,44.88778
2020-12-22,32.41895
2020-12-23,41.64588
2020-12-24,36.90773
2020-12-25,24.93765
2020-12-26,35.16209
2020-12-27,43.14214
2020-12-28,49.37655
2020-12-29,43.89027
2020-12-30,49.62593
2020-12-31,46.13466
2021-01-01,39.90024
2021-01-02,40.89775
2021-01-03,43.14214
2021-01-04,47.63092
2021-01-05,52.86783
2021-01-06,47.63092
2021-01-07,40.64837
2021-01-08,35.41147
2021-01-09,38.90274
2021-01-10,42.14463
2021-01-11,46.63341
2021-01-12,37.40648
2021-01-13,45.13715
2021-01-14,44.13965
2021-01-15,38.90274
2021-01-16,34.41396
2021-01-17,40.14962
2021-01-18,42.64339
2021-01-19,45.63591
2021-01-20,38.15461
2021-01-21,43.89027
2021-01-22,32.66832
2021-01-23,27.18204
2021-01-24,41.89526
2021-01-25,60.84788
2021-01-26,45.88528
2021-01-27,41.64588
2021-01-28,45.38653
2021-01-29,45.88528
2021-01-30,38.90274
2021-01-31,27.93017
2021-02-01,40.89775
2021-02-02,34.91271
2021-02-03,34.16458
2021-02-04,33.16708
2021-02-05,40.399
2021-02-06,35.66084
2021-02-07,34.91271
2021-02-08,33.41645
2021-02-09,33.16708
2021-02-10,35.91022
2021-02-11,28.17955
2021-02-12,37.65586
2021-02-13,34.41396
2021-02-14,38.15461
2021-02-15,53.36658
2021-02-16,50.62344
2021-02-17,43.89027
2021-02-18,41.14713
2021-02-19,37.90523
2021-02-20,30.42394
2021-02-21,36.40897
2021-02-22,44.13965
2021-02-23,38.65336
2021-02-24,34.91271
2021-02-25,49.62593
2021-02-26,48.62842
2021-02-27,33.16708
2021-02-28,40.89775
2021-03-01,51.87032
2021-03-02,39.90024
2021-03-03,35.91022
2021-03-04,38.65336
2021-03-05,30.92269
2021-03-06,30.17456
2021-03-07,39.15211
2021-03-08,33.16708
2021-03-09,36.1596
2021-03-10,43.89027
2021-03-11,43.14214
2021-03-12,33.16708
2021-03-13,19.95012
2021-03-14,29.17705
2021-03-15,35.41147
2021-03-16,38.15461
2021-03-17,45.13715
2021-03-18,34.16458
2021-03-19,31.42144
2021-03-20,30.17456
2021-03-21,40.14962
2021-03-22,46.38403
2021-03-23,34.91271
2021-03-24,42.89276
2021-03-25,45.13715
2021-03-26,33.41645
2021-03-27,31.17206
2021-03-28,48.8778
2021-03-29,46.13466
2021-03-30,36.1596
2021-03-31,46.13466
2021-04-01,45.13715
2021-04-02,28.6783
2021-04-03,32.66832
2021-04-04,38.15461
2021-04-05,38.90274
2021-04-06,37.40648
2021-04-07,33.41645
2021-04-08,28.6783
2021-04-09,27.68079
2021-04-10,21.197
2021-04-11,35.66084
2021-04-12,33.66583
2021-04-13,35.66084
2021-04-14,26.43391
2021-04-15,26.43391
2021-04-16,33.16708
2021-04-17,21.69576
2021-04-18,30.17456
2021-04-19,40.64837
2021-04-20,37.1571
2021-04-21,37.1571
2021-04-22,29.67581
2021-04-23,35.91022
2021-04-24,33.91521
2021-04-25,31.42144
2021-04-26,34.16458
2021-04-27,24.68827
2021-04-28,24.93765
