date,DB하이텍주가
2020-03-20,4.6031
2020-03-21,1.72687
2020-03-22,1.25693
2020-03-23,7.42271
2020-03-24,9.00237
2020-03-25,8.82119
2020-03-26,8.13611
2020-03-27,6.86219
2020-03-28,1.00215
2020-03-29,1.06443
2020-03-30,6.78858
2020-03-31,7.87566
2020-04-01,6.55644
2020-04-02,5.96761
2020-04-03,5.0334
2020-04-04,0.75302
2020-04-05,0.63412
2020-04-06,5.83172
2020-04-07,7.71713
2020-04-08,7.67183
2020-04-09,7.68882
2020-04-10,6.63005
2020-04-11,1.00215
2020-04-12,0.787
2020-04-13,5.72981
2020-04-14,5.99592
2020-04-15,1.22862
2020-04-16,5.91665
2020-04-17,5.71282
2020-04-18,1.08707
2020-04-19,0.97384
2020-04-20,4.97112
2020-04-21,5.25421
2020-04-22,6.0129
2020-04-23,9.70445
2020-04-24,7.30947
2020-04-25,1.08707
2020-04-26,0.89457
2020-04-27,5.84305
2020-04-28,5.27686
2020-04-29,5.97327
2020-04-30,1.09274
2020-05-01,1.07009
2020-05-02,0.5039
2020-05-03,0.54353
2020-05-04,5.58826
2020-05-05,0.87759
2020-05-06,5.42407
2020-05-07,5.42973
2020-05-08,5.91665
2020-05-09,1.00781
2020-05-10,1.0531
2020-05-11,5.47503
2020-05-12,4.98244
2020-05-13,5.61091
2020-05-14,6.1318
2020-05-15,7.08866
2020-05-16,1.38715
2020-05-17,1.46076
2020-05-18,8.15309
2020-05-19,6.96976
2020-05-20,7.00373
2020-05-21,5.88834
2020-05-22,6.17144
2020-05-23,1.91937
2020-05-24,1.31921
2020-05-25,12.40516
2020-05-26,12.11074
2020-05-27,10.1574
2020-05-28,9.47231
2020-05-29,9.64216
2020-05-30,1.13237
2020-05-31,1.08707
2020-06-01,11.19918
2020-06-02,11.16521
2020-06-03,10.95006
2020-06-04,10.72358
2020-06-05,8.80987
2020-06-06,1.29656
2020-06-07,1.37583
2020-06-08,8.49847
2020-06-09,7.90963
2020-06-10,6.82821
2020-06-11,6.57343
2020-06-12,6.64703
2020-06-13,0.90023
2020-06-14,0.5492
2020-06-15,6.13747
2020-06-16,6.18276
2020-06-17,5.57694
2020-06-18,6.47152
2020-06-19,6.60174
2020-06-20,0.87192
2020-06-21,0.6681
2020-06-22,6.34129
2020-06-23,5.7468
2020-06-24,7.8247
2020-06-25,5.84871
2020-06-26,5.75812
2020-06-27,0.6681
2020-06-28,0.62846
2020-06-29,6.05254
2020-06-30,6.40357
2020-07-01,5.40142
2020-07-02,4.99943
2020-07-03,4.6767
2020-07-04,0.71339
2020-07-05,0.80398
2020-07-06,8.58339
2020-07-07,7.21888
2020-07-08,5.79209
2020-07-09,5.66187
2020-07-10,7.36609
2020-07-11,0.79266
2020-07-12,0.69074
2020-07-13,7.87
2020-07-14,7.88132
2020-07-15,8.28898
2020-07-16,7.71713
2020-07-17,6.72064
2020-07-18,0.7417
2020-07-19,1.01347
2020-07-20,7.68316
2020-07-21,7.81338
2020-07-22,7.62088
2020-07-23,7.21888
2020-07-24,6.52247
2020-07-25,0.55486
2020-07-26,0.53221
2020-07-27,7.90397
2020-07-28,13.77533
2020-07-29,12.75619
2020-07-30,14.19431
2020-07-31,11.68044
2020-08-01,1.98731
2020-08-02,2.11754
2020-08-03,11.20484
2020-08-04,10.9727
2020-08-05,9.93092
2020-08-06,8.69663
2020-08-07,7.09432
2020-08-08,1.09274
2020-08-09,1.07575
2020-08-10,7.54161
2020-08-11,7.26984
2020-08-12,7.88132
2020-08-13,10.52542
2020-08-14,8.98539
2020-08-15,0.90589
2020-08-16,0.99648
2020-08-17,2.06092
2020-08-18,8.92877
2020-08-19,12.25795
2020-08-20,11.31242
2020-08-21,8.77024
2020-08-22,0.97384
2020-08-23,0.68508
2020-08-24,8.55509
2020-08-25,8.24368
2020-08-26,7.59823
2020-08-27,7.03204
2020-08-28,6.78858
2020-08-29,0.90589
2020-08-30,1.48907
2020-08-31,9.38172
2020-09-01,8.23236
2020-09-02,7.41139
2020-09-03,9.48929
2020-09-04,8.07949
2020-09-05,1.12671
2020-09-06,1.0984
2020-09-07,10.50843
2020-09-08,12.15037
2020-09-09,10.7802
2020-09-10,11.00101
2020-09-11,11.97486
2020-09-12,1.85709
2020-09-13,1.60231
2020-09-14,12.32023
2020-09-15,10.06114
2020-09-16,8.91744
2020-09-17,7.16793
2020-09-18,6.47152
2020-09-19,0.76435
2020-09-20,0.52655
2020-09-21,6.13747
2020-09-22,5.40708
2020-09-23,6.16011
2020-09-24,6.20541
2020-09-25,5.63356
2020-09-26,0.65111
2020-09-27,0.77567
2020-09-28,8.69663
