date,전세대출
2020-03-20,13.67159
2020-03-21,11.50458
2020-03-22,13.06084
2020-03-23,18.39323
2020-03-24,15.94432
2020-03-25,15.40991
2020-03-26,15.90909
2020-03-27,13.73032
2020-03-28,10.65304
2020-03-29,11.4987
2020-03-30,17.31266
2020-03-31,15.72703
2020-04-01,14.65821
2020-04-02,14.51726
2020-04-03,12.5734
2020-04-04,11.21094
2020-04-05,13.43081
2020-04-06,17.86469
2020-04-07,17.37138
2020-04-08,15.38642
2020-04-09,14.78153
2020-04-10,12.86116
2020-04-11,13.4132
2020-04-12,13.40145
2020-04-13,17.92342
2020-04-14,14.98708
2020-04-15,13.83603
2020-04-16,16.20272
2020-04-17,14.62884
2020-04-18,12.42659
2020-04-19,14.94009
2020-04-20,18.95113
2020-04-21,17.91754
2020-04-22,15.70354
2020-04-23,14.852
2020-04-24,12.91402
2020-04-25,11.15221
2020-04-26,13.87714
2020-04-27,17.24806
2020-04-28,15.65069
2020-04-29,13.06671
2020-04-30,10.59431
2020-05-01,10.27131
2020-05-02,10.43575
2020-05-03,12.10946
2020-05-04,17.05426
2020-05-05,15.06929
2020-05-06,17.98801
2020-05-07,15.42165
2020-05-08,13.56589
2020-05-09,11.49283
2020-05-10,13.0902
2020-05-11,18.1407
2020-05-12,19.18017
2020-05-13,17.40662
2020-05-14,15.38054
2020-05-15,13.78905
2020-05-16,12.68498
2020-05-17,13.98285
2020-05-18,19.87902
2020-05-19,17.54756
2020-05-20,17.37138
2020-05-21,15.19262
2020-05-22,15.06929
2020-05-23,12.29739
2020-05-24,15.56847
2020-05-25,20.75405
2020-05-26,19.14493
2020-05-27,18.035
2020-05-28,17.41836
2020-05-29,14.04745
2020-05-30,13.63049
2020-05-31,15.24547
2020-06-01,20.20202
2020-06-02,18.41672
2020-06-03,17.77073
2020-06-04,16.26732
2020-06-05,14.79915
2020-06-06,13.04322
2020-06-07,16.03241
2020-06-08,20.82452
2020-06-09,20.13742
2020-06-10,18.66337
2020-06-11,18.24641
2020-06-12,15.80925
2020-06-13,14.04745
2020-06-14,16.32017
2020-06-15,22.6333
2020-06-16,20.93023
2020-06-17,51.91449
2020-06-18,44.03922
2020-06-19,28.54709
2020-06-20,21.68193
2020-06-21,25.78693
2020-06-22,31.15456
2020-06-23,27.59572
2020-06-24,23.50833
2020-06-25,22.50411
2020-06-26,19.77331
2020-06-27,17.05426
2020-06-28,24.08386
2020-06-29,28.11839
2020-06-30,23.9018
2020-07-01,22.11064
2020-07-02,20.96546
2020-07-03,18.18181
2020-07-04,16.09114
2020-07-05,17.63565
2020-07-06,25.40521
2020-07-07,23.46135
2020-07-08,48.54944
