date,오피스텔
2020-03-20,18.55713
2020-03-21,17.27828
2020-03-22,20.11398
2020-03-23,20.30859
2020-03-24,21.04531
2020-03-25,22.19905
2020-03-26,31.26216
2020-03-27,20.03058
2020-03-28,18.43202
2020-03-29,20.7395
2020-03-30,21.64303
2020-03-31,22.07395
2020-04-01,21.44842
2020-04-02,20.01668
2020-04-03,19.36335
2020-04-04,17.9177
2020-04-05,20.6978
2020-04-06,23.24159
2020-04-07,21.97664
2020-04-08,20.7534
2020-04-09,20.7673
2020-04-10,18.14011
2020-04-11,18.44592
2020-04-12,21.03141
2020-04-13,21.32332
2020-04-14,20.48929
2020-04-15,18.76563
2020-04-16,19.40505
2020-04-17,19.57186
2020-04-18,18.57103
2020-04-19,21.17041
2020-04-20,21.47623
2020-04-21,22.26855
2020-04-22,21.23992
2020-04-23,21.30942
2020-04-24,19.89157
2020-04-25,18.79343
2020-04-26,21.55963
2020-04-27,23.86711
2020-04-28,23.24159
2020-04-29,19.50236
2020-04-30,19.93327
2020-05-01,19.11314
2020-05-02,17.8899
2020-05-03,19.86377
2020-05-04,21.10091
2020-05-05,21.05921
2020-05-06,21.18432
2020-05-07,19.89157
2020-05-08,18.29302
2020-05-09,17.29218
2020-05-10,19.66916
2020-05-11,22.29635
2020-05-12,21.10091
2020-05-13,20.8785
2020-05-14,20.57269
2020-05-15,19.30775
2020-05-16,17.8621
2020-05-17,21.17041
2020-05-18,22.72727
2020-05-19,22.06005
2020-05-20,21.07311
2020-05-21,20.18348
2020-05-22,18.86294
2020-05-23,20.16958
2020-05-24,21.17041
2020-05-25,23.08868
2020-05-26,23.08868
2020-05-27,22.43536
2020-05-28,19.16875
2020-05-29,18.08451
2020-05-30,17.97331
2020-05-31,20.00278
2020-06-01,22.40756
2020-06-02,21.97664
2020-06-03,20.94801
2020-06-04,20.6839
2020-06-05,22.19905
2020-06-06,21.97664
2020-06-07,21.78204
2020-06-08,24.40922
2020-06-09,21.92104
2020-06-10,25.88268
2020-06-11,27.30052
2020-06-12,25.99388
2020-06-13,22.71337
2020-06-14,23.7698
2020-06-15,24.36752
2020-06-16,25.03475
2020-06-17,31.79038
2020-06-18,28.30136
2020-06-19,25.66027
2020-06-20,23.15818
2020-06-21,26.29969
2020-06-22,28.16235
2020-06-23,28.91298
2020-06-24,25.86877
2020-06-25,25.77147
2020-06-26,23.49179
2020-06-27,23.7142
2020-06-28,22.39366
2020-06-29,26.4804
2020-06-30,23.7559
2020-07-01,27.16152
2020-07-02,26.41089
2020-07-03,23.93661
2020-07-04,20.07228
2020-07-05,23.89491
2020-07-06,26.29969
2020-07-07,25.78537
2020-07-08,25.78537
2020-07-09,32.5688
2020-07-10,40.85348
2020-07-11,36.07172
2020-07-12,36.66944
2020-07-13,62.01
2020-07-14,56.44981
2020-07-15,41.34
2020-07-16,34.33416
2020-07-17,30.69224
2020-07-18,28.39866
2020-07-19,38.57381
2020-07-20,41.50681
2020-07-21,33.84765
2020-07-22,32.6244
2020-07-23,32.3742
2020-07-24,27.98165
2020-07-25,27.13372
2020-07-26,28.48206
2020-07-27,30.99805
2020-07-28,32.4854
2020-07-29,54.69835
2020-07-30,71.35112
2020-07-31,42.84125
2020-08-01,38.65721
2020-08-02,35.4045
2020-08-03,39.56074
2020-08-04,41.2844
2020-08-05,35.3072
2020-08-06,34.38976
2020-08-07,30.91465
2020-08-08,25.78537
2020-08-09,29.12149
2020-08-10,33.48623
2020-08-11,32.4993
2020-08-12,32.98582
2020-08-13,34.27856
2020-08-14,28.14845
2020-08-15,25.70197
2020-08-16,25.03475
2020-08-17,27.02251
2020-08-18,26.85571
2020-08-19,31.10925
2020-08-20,27.30052
2020-08-21,24.84014
2020-08-22,24.42313
2020-08-23,26.18849
2020-08-24,30.58103
2020-08-25,35.08479
2020-08-26,33.20822
2020-08-27,30.69224
2020-08-28,29.6358
2020-08-29,27.50903
2020-08-30,37.21156
2020-08-31,40.85348
2020-09-01,33.01362
2020-09-02,31.48457
2020-09-03,51.68195
2020-09-04,100.0
2020-09-05,42.60494
2020-09-06,35.5435
2020-09-07,35.71031
2020-09-08,32.23519
2020-09-09,30.62274
2020-09-10,30.87294
2020-09-11,28.12065
2020-09-12,29.469
2020-09-13,28.25966
2020-09-14,31.95718
2020-09-15,27.64804
2020-09-16,27.39783
2020-09-17,32.04058
2020-09-18,31.52627
2020-09-19,25.28495
2020-09-20,27.96775
2020-09-21,31.84598
2020-09-22,27.23102
2020-09-23,23.93661
2020-09-24,25.43786
2020-09-25,24.61773
2020-09-26,22.93577
2020-09-27,23.04698
2020-09-28,25.81317
2020-09-29,20.03058
2020-09-30,17.6953
2020-10-01,18.87684
2020-10-02,23.5335
2020-10-03,21.37892
2020-10-04,25.96608
2020-10-05,29.27439
2020-10-06,29.80261
2020-10-07,26.16068
2020-10-08,23.36669
2020-10-09,27.74534
2020-10-10,24.89574
2020-10-11,26.35529
2020-10-12,26.7445
2020-10-13,28.55157
2020-10-14,26.32749
2020-10-15,24.65943
2020-10-16,25.92438
2020-10-17,21.47623
2020-10-18,22.53266
2020-10-19,24.53433
2020-10-20,25.52126
2020-10-21,24.90964
2020-10-22,23.88101
2020-10-23,20.93411
2020-10-24,21.36502
2020-10-25,23.39449
2020-10-26,25.15985
2020-10-27,25.20155
2020-10-28,23.47789
2020-10-29,24.49263
2020-10-30,20.89241
2020-10-31,18.22351
2020-11-01,21.75423
2020-11-02,25.74367
2020-11-03,23.21378
2020-11-04,20.96191
2020-11-05,20.6839
2020-11-06,21.65693
