date,실손보험비교
2020-03-20,8.11921
2020-03-21,5.39568
2020-03-22,5.44707
2020-03-23,11.35662
2020-03-24,12.79547
2020-03-25,14.13155
2020-03-26,13.72045
2020-03-27,11.09969
2020-03-28,5.90955
2020-03-29,6.06372
2020-03-30,11.4594
2020-03-31,10.43165
2020-04-01,7.55395
2020-04-02,8.68448
2020-04-03,6.9373
2020-04-04,3.69989
2020-04-05,4.11099
2020-04-06,7.55395
2020-04-07,8.42754
2020-04-08,9.91778
2020-04-09,8.83864
2020-04-10,7.39979
2020-04-11,4.16238
2020-04-12,5.85817
2020-04-13,9.91778
2020-04-14,8.63309
2020-04-15,6.1151
2020-04-16,8.27338
2020-04-17,9.09558
2020-04-18,4.31654
2020-04-19,5.03597
2020-04-20,8.73586
2020-04-21,9.19835
2020-04-22,10.2261
2020-04-23,9.14696
2020-04-24,8.27338
2020-04-25,4.0596
2020-04-26,4.00822
2020-04-27,11.25385
2020-04-28,10.07194
2020-04-29,8.68448
2020-04-30,4.16238
2020-05-01,5.2929
2020-05-02,4.52209
2020-05-03,4.21377
2020-05-04,9.96916
2020-05-05,5.704
2020-05-06,8.94141
2020-05-07,7.60534
2020-05-08,6.57759
2020-05-09,4.62487
2020-05-10,4.11099
2020-05-11,8.89003
2020-05-12,9.45529
2020-05-13,8.78725
2020-05-14,7.65673
2020-05-15,7.65673
2020-05-16,4.93319
2020-05-17,5.39568
2020-05-18,11.09969
2020-05-19,9.86639
2020-05-20,8.5817
2020-05-21,8.9928
2020-05-22,8.32476
2020-05-23,4.26515
2020-05-24,4.77903
2020-05-25,11.61356
2020-05-26,12.89825
2020-05-27,11.4594
2020-05-28,10.58581
2020-05-29,8.01644
2020-05-30,5.39568
2020-05-31,4.31654
2020-06-01,10.02055
2020-06-02,9.19835
2020-06-03,10.43165
2020-06-04,8.89003
2020-06-05,7.70811
2020-06-06,4.67625
2020-06-07,3.23741
2020-06-08,8.73586
2020-06-09,9.50668
2020-06-10,9.71223
2020-06-11,7.70811
2020-06-12,7.29701
2020-06-13,4.98458
2020-06-14,3.90544
2020-06-15,10.38026
2020-06-16,8.27338
2020-06-17,6.5262
2020-06-18,8.32476
2020-06-19,6.62898
2020-06-20,3.59712
2020-06-21,3.69989
2020-06-22,7.65673
2020-06-23,9.09558
2020-06-24,6.88591
2020-06-25,8.83864
2020-06-26,6.98869
2020-06-27,4.41932
2020-06-28,2.92908
2020-06-29,7.19424
2020-06-30,8.89003
2020-07-01,10.94552
2020-07-02,7.55395
2020-07-03,7.91366
2020-07-04,4.98458
2020-07-05,4.4707
2020-07-06,8.68448
2020-07-07,9.4039
2020-07-08,7.96505
2020-07-09,8.94141
2020-07-10,7.29701
2020-07-11,5.03597
2020-07-12,4.83042
2020-07-13,8.63309
2020-07-14,9.45529
2020-07-15,9.04419
2020-07-16,7.7595
2020-07-17,6.83453
2020-07-18,4.4707
2020-07-19,5.34429
2020-07-20,9.91778
2020-07-21,9.71223
2020-07-22,10.02055
2020-07-23,8.9928
2020-07-24,7.29701
2020-07-25,5.2929
2020-07-26,4.77903
2020-07-27,11.30524
2020-07-28,10.07194
2020-07-29,8.73586
2020-07-30,8.89003
2020-07-31,6.37204
2020-08-01,5.39568
2020-08-02,4.11099
2020-08-03,7.55395
2020-08-04,7.60534
2020-08-05,7.7595
2020-08-06,6.57759
2020-08-07,9.55806
2020-08-08,4.98458
2020-08-09,4.41932
2020-08-10,8.9928
2020-08-11,10.38026
2020-08-12,9.71223
2020-08-13,8.37615
2020-08-14,7.50256
2020-08-15,2.56937
2020-08-16,3.28879
2020-08-17,6.47482
2020-08-18,7.96505
2020-08-19,7.3484
2020-08-20,9.30113
2020-08-21,9.24974
2020-08-22,4.0596
2020-08-23,5.49845
2020-08-24,9.19835
2020-08-25,13.72045
2020-08-26,10.32887
2020-08-27,8.27338
2020-08-28,7.70811
2020-08-29,4.57348
2020-08-30,5.03597
2020-08-31,9.91778
2020-09-01,10.12332
2020-09-02,8.47893
2020-09-03,7.3484
2020-09-04,8.73586
2020-09-05,4.31654
2020-09-06,8.1706
2020-09-07,9.71223
2020-09-08,10.17471
2020-09-09,9.96916
2020-09-10,10.17471
2020-09-11,8.01644
2020-09-12,4.00822
2020-09-13,4.21377
2020-09-14,11.8705
2020-09-15,13.87461
2020-09-16,10.27749
2020-09-17,9.19835
2020-09-18,7.45118
2020-09-19,5.08735
2020-09-20,2.67214
2020-09-21,8.53031
2020-09-22,12.84686
2020-09-23,10.84275
2020-09-24,9.76361
2020-09-25,8.94141
2020-09-26,3.90544
2020-09-27,3.34018
2020-09-28,7.86228
2020-09-29,6.16649
2020-09-30,2.98047
2020-10-01,3.23741
2020-10-02,4.00822
2020-10-03,3.49434
2020-10-04,7.39979
2020-10-05,13.82322
2020-10-06,11.76772
2020-10-07,10.73997
2020-10-08,8.68448
2020-10-09,4.26515
2020-10-10,3.13463
2020-10-11,4.0596
2020-10-12,12.12744
