date,TQQQ주가
2021-06-17,0.63518
2021-06-18,0.61677
2021-06-19,0.47868
2021-06-20,0.24855
2021-06-21,0.35901
2021-06-22,0.68121
2021-06-23,0.8285
2021-06-24,0.59836
2021-06-25,0.6628
2021-06-26,0.51551
2021-06-27,0.3406
2021-06-28,0.44186
2021-06-29,0.96658
2021-06-30,1.12307
2021-07-01,0.85611
2021-07-02,0.70882
2021-07-03,0.57995
2021-07-04,0.46027
2021-07-05,0.39583
2021-07-06,0.60756
2021-07-07,0.97578
2021-07-08,1.15069
2021-07-09,0.81008
2021-07-10,0.68121
2021-07-11,0.21172
2021-07-12,0.57074
2021-07-13,1.15069
2021-07-14,1.06784
2021-07-15,1.62938
2021-07-16,1.15069
2021-07-17,0.70882
2021-07-18,0.34981
2021-07-19,0.45107
2021-07-20,1.1691
2021-07-21,0.92055
2021-07-22,0.84691
2021-07-23,0.84691
2021-07-24,0.87452
2021-07-25,0.45107
2021-07-26,0.71803
2021-07-27,0.8377
2021-07-28,1.09546
2021-07-29,0.85611
2021-07-30,1.28877
2021-07-31,0.81929
2021-08-01,0.37742
2021-08-02,0.58915
2021-08-03,0.89293
2021-08-04,1.05863
2021-08-05,1.22433
2021-08-06,1.28877
2021-08-07,1.02181
2021-08-08,0.48789
2021-08-09,0.88373
2021-08-10,1.43606
2021-08-11,1.23354
2021-08-12,1.31639
2021-08-13,0.98499
2021-08-14,0.78247
2021-08-15,0.43266
2021-08-16,0.75485
2021-08-17,1.44527
2021-08-18,1.3256
2021-08-19,1.07705
2021-08-20,1.35321
2021-08-21,0.81929
2021-08-22,0.43266
2021-08-23,0.69041
2021-08-24,1.42686
2021-08-25,1.51891
2021-08-26,1.13228
2021-08-27,1.36242
2021-08-28,1.31639
2021-08-29,0.93896
2021-08-30,1.73064
2021-08-31,2.36582
2021-09-01,2.44867
2021-09-02,2.23695
2021-09-03,1.8319
2021-09-04,1.24275
2021-09-05,0.88373
2021-09-06,1.1691
2021-09-07,1.44527
2021-09-08,1.6662
2021-09-09,1.50971
2021-09-10,1.62938
2021-09-11,1.39924
2021-09-12,0.57995
2021-09-13,1.29798
2021-09-14,1.52812
2021-09-15,1.69382
2021-09-16,1.62938
2021-09-17,1.56494
2021-09-18,1.39003
2021-09-19,0.64438
2021-09-20,1.8319
2021-09-21,3.22194
2021-09-22,2.86292
2021-09-23,3.16671
2021-09-24,2.77087
2021-09-25,1.6662
2021-09-26,0.80088
2021-09-27,1.47288
2021-09-28,2.80769
2021-09-29,4.62119
2021-09-30,3.19432
2021-10-01,3.24035
2021-10-02,2.34741
2021-10-03,1.09546
2021-10-04,1.85031
2021-10-05,4.34502
2021-10-06,3.8203
2021-10-07,3.36923
2021-10-08,2.89975
2021-10-09,1.95157
2021-10-10,3.75586
