date,루시드주가
2020-07-31,0.01905
2020-08-12,0.43829
2020-08-13,0.54882
2020-08-14,0.3735
2020-08-15,0.35063
2020-08-16,0.11814
2020-08-17,0.16007
2020-08-18,0.1372
2020-08-19,0.26297
2020-08-20,0.20961
2020-08-21,0.23248
2020-08-22,0.12196
2020-08-23,0.4078
2020-08-24,0.34682
2020-08-25,0.1372
2020-08-26,0.1715
2020-08-27,0.14863
2020-08-28,0.29346
2020-08-29,0.43448
2020-08-30,0.29346
2020-08-31,0.28965
2020-09-01,0.43067
2020-09-02,0.43829
2020-09-03,0.27059
2020-09-04,0.33158
2020-09-05,0.2401
2020-09-06,0.16769
2020-09-07,0.11052
2020-09-08,0.25916
2020-09-09,0.49165
2020-09-10,1.36062
2020-09-11,1.2196
2020-09-12,1.29583
2020-09-13,0.67078
2020-09-14,0.46116
2020-09-15,0.45735
2020-09-16,0.35825
2020-09-17,0.50689
2020-09-18,0.24392
2020-09-19,0.22105
2020-09-20,0.11052
2020-09-21,0.16007
2020-09-22,0.17912
2020-09-23,0.15245
2020-09-24,0.13339
2020-09-25,0.08765
2020-09-26,0.11052
2020-09-27,0.07622
2020-09-28,0.11052
2020-09-29,0.13339
2020-09-30,0.13339
2020-10-01,0.07241
2020-10-02,0.07622
2020-10-03,0.01905
2020-10-04,0.02667
2020-10-05,0.05716
2020-10-06,0.01905
2020-10-07,0.03811
2020-10-08,0.04573
2020-10-09,0.03049
2020-10-10,0.01905
2020-10-13,0.06098
2020-10-14,0.02667
2020-10-15,0.14482
2020-10-16,0.09909
2020-10-17,0.10671
2020-10-18,0.04573
2020-10-19,0.06479
2020-10-20,0.05716
2020-10-21,0.0343
2020-10-22,0.02286
2020-10-23,0.04192
2020-10-24,0.09147
2020-10-25,0.06098
2020-10-26,0.06098
2020-10-27,0.04573
2020-10-28,0.03811
2020-10-29,0.03049
2020-10-30,0.03811
2020-10-31,0.01905
2020-11-01,0.03049
2020-11-02,0.02667
2020-11-04,0.14482
2020-11-05,0.02286
2020-11-06,0.02286
2020-11-08,0.02667
2020-11-09,0.06479
2020-11-10,0.03049
2020-11-11,0.06098
2020-11-12,0.02667
2020-11-13,0.04954
2020-11-14,0.01905
2020-11-16,0.02286
2020-11-17,0.03049
2020-11-18,0.07622
2020-11-19,0.06479
2020-11-20,0.16007
2020-11-21,0.09528
2020-11-22,0.07622
2020-11-23,0.15245
2020-11-24,0.15626
2020-11-25,0.24392
2020-11-26,0.16769
2020-11-27,0.55644
2020-11-28,0.12196
2020-11-29,0.12577
2020-11-30,0.18294
2020-12-01,0.20961
2020-12-02,0.26297
2020-12-03,0.18294
2020-12-04,0.16769
2020-12-05,0.09909
2020-12-06,0.11052
2020-12-07,0.17531
2020-12-08,0.15626
2020-12-09,0.12958
2020-12-10,0.09909
2020-12-11,0.0686
2020-12-12,0.0343
2020-12-13,0.0686
2020-12-14,0.1029
2020-12-15,0.08765
2020-12-16,0.06479
2020-12-17,0.04192
2020-12-18,0.12958
2020-12-19,0.08003
2020-12-20,0.1029
2020-12-21,0.14482
2020-12-22,0.27059
2020-12-23,0.29346
2020-12-24,0.15245
2020-12-25,0.1715
2020-12-26,0.15626
2020-12-27,0.22486
2020-12-28,0.19056
2020-12-29,0.1372
2020-12-30,0.20961
2020-12-31,0.12958
2021-01-01,0.11052
2021-01-02,0.0686
2021-01-03,0.11433
2021-01-04,0.11052
2021-01-05,0.19437
2021-01-06,0.13339
2021-01-07,0.08384
2021-01-08,0.25154
2021-01-09,0.17912
2021-01-10,0.16769
2021-01-11,0.28203
2021-01-12,2.504
2021-01-13,1.36443
2021-01-14,1.23485
2021-01-15,0.64791
2021-01-16,0.65172
2021-01-17,0.43067
2021-01-18,0.4421
2021-01-19,0.44972
2021-01-20,0.32395
2021-01-21,0.2401
2021-01-22,0.22867
2021-01-23,0.70889
2021-01-24,0.46878
2021-01-25,0.83085
2021-01-26,1.40254
2021-01-27,0.46116
2021-01-28,0.25154
2021-01-29,0.28584
2021-01-30,0.22867
2021-01-31,0.22105
2021-02-01,0.28584
2021-02-02,0.52595
2021-02-03,0.72795
2021-02-04,0.51833
2021-02-05,0.40018
2021-02-06,0.36969
