date,주식옮기기
2020-03-20,10.03584
2020-03-21,6.89964
2020-03-22,6.362
2020-03-23,10.30465
2020-03-24,14.78494
2020-03-25,19.44444
2020-03-26,16.21863
2020-03-27,17.02508
2020-03-28,8.78136
2020-03-29,7.8853
2020-03-30,14.33691
2020-03-31,15.23297
2020-04-01,17.02508
2020-04-02,16.21863
2020-04-03,11.37992
2020-04-04,8.87096
2020-04-05,9.67741
2020-04-06,14.24731
2020-04-07,15.41218
2020-04-08,16.48745
2020-04-09,13.97849
2020-04-10,13.44086
2020-04-11,7.97491
2020-04-12,8.42293
2020-04-13,13.44086
2020-04-14,11.64874
2020-04-15,10.48387
2020-04-16,13.17204
2020-04-17,17.74193
2020-04-18,6.98924
2020-04-19,8.51254
2020-04-20,12.45519
2020-04-21,12.5448
2020-04-22,15.681
2020-04-23,13.97849
2020-04-24,12.81362
2020-04-25,6.18279
2020-04-26,6.89964
2020-04-27,11.0215
2020-04-28,11.11111
2020-04-29,13.35125
2020-04-30,4.8387
2020-05-01,4.65949
2020-05-02,3.31541
2020-05-03,3.85304
2020-05-04,8.42293
2020-05-05,5.73476
2020-05-06,9.67741
2020-05-07,7.97491
2020-05-08,8.69175
2020-05-09,4.39068
2020-05-10,4.03225
2020-05-11,6.98924
2020-05-12,6.63082
2020-05-13,8.06451
2020-05-14,10.39426
2020-05-15,8.78136
2020-05-16,2.77777
2020-05-17,3.31541
2020-05-18,7.07885
2020-05-19,10.21505
2020-05-20,12.45519
2020-05-21,12.09677
2020-05-22,8.42293
2020-05-23,4.92831
2020-05-24,4.12186
2020-05-25,9.31899
2020-05-26,8.60215
2020-05-27,8.78136
2020-05-28,11.29032
2020-05-29,7.07885
2020-05-30,3.31541
2020-05-31,2.86738
2020-06-01,7.79569
2020-06-02,6.54121
2020-06-03,11.64874
2020-06-04,11.82795
2020-06-05,10.84229
2020-06-06,6.09318
2020-06-07,5.91397
2020-06-08,8.33333
2020-06-09,9.05017
2020-06-10,10.30465
2020-06-11,8.60215
2020-06-12,8.06451
2020-06-13,4.39068
2020-06-14,4.56989
2020-06-15,8.24372
2020-06-16,9.4982
2020-06-17,9.58781
2020-06-18,7.25806
2020-06-19,7.61648
2020-06-20,5.01792
2020-06-21,4.56989
2020-06-22,8.33333
2020-06-23,11.20071
2020-06-24,11.55913
2020-06-25,10.12544
2020-06-26,8.06451
2020-06-27,4.12186
2020-06-28,5.01792
2020-06-29,7.16845
2020-06-30,7.61648
2020-07-01,9.13978
2020-07-02,14.51612
2020-07-03,7.8853
2020-07-04,4.65949
2020-07-05,3.67383
2020-07-06,9.05017
2020-07-07,10.57347
2020-07-08,8.87096
2020-07-09,9.76702
2020-07-10,10.75268
2020-07-11,2.95698
2020-07-12,4.48028
2020-07-13,10.84229
2020-07-14,7.97491
2020-07-15,10.48387
2020-07-16,8.42293
2020-07-17,7.79569
2020-07-18,4.48028
2020-07-19,4.56989
2020-07-20,5.73476
2020-07-21,9.58781
2020-07-22,8.96057
2020-07-23,9.94623
2020-07-24,7.34767
2020-07-25,3.49462
2020-07-26,4.65949
2020-07-27,10.93189
2020-07-28,11.73835
2020-07-29,12.36559
2020-07-30,10.48387
2020-07-31,9.85663
2020-08-01,5.46594
2020-08-02,4.21146
2020-08-03,11.37992
2020-08-04,12.81362
2020-08-05,16.12903
2020-08-06,13.08243
2020-08-07,14.24731
2020-08-08,6.45161
2020-08-09,6.54121
2020-08-10,16.75627
2020-08-11,13.35125
2020-08-12,13.70967
2020-08-13,13.62007
2020-08-14,10.48387
2020-08-15,5.28673
2020-08-16,5.64516
2020-08-17,4.03225
2020-08-18,9.94623
2020-08-19,9.22939
2020-08-20,9.76702
2020-08-21,10.48387
2020-08-22,3.94265
