date,엔화환전
2020-03-20,1.59951
2020-03-21,0.42518
2020-03-22,0.50617
2020-03-23,1.32617
2020-03-24,0.91111
2020-03-25,0.88074
2020-03-26,0.75926
2020-03-27,0.73901
2020-03-28,0.22271
2020-03-29,0.41506
2020-03-30,0.89086
2020-03-31,0.86049
2020-04-01,0.90099
2020-04-02,0.85037
2020-04-03,0.72889
2020-04-04,0.35432
2020-04-05,0.29358
2020-04-06,0.85037
2020-04-07,0.66815
2020-04-08,0.69852
2020-04-09,0.57703
2020-04-10,0.39481
2020-04-11,0.24296
2020-04-12,0.26321
2020-04-13,0.75926
2020-04-14,0.51629
2020-04-15,0.43531
2020-04-16,0.91111
2020-04-17,0.87062
2020-04-18,0.37456
2020-04-19,0.46568
2020-04-20,0.74913
2020-04-21,0.90099
2020-04-22,0.91111
2020-04-23,0.9516
2020-04-24,0.82
2020-04-25,0.50617
2020-04-26,0.41506
2020-04-27,0.86049
2020-04-28,0.79975
2020-04-29,0.63778
2020-04-30,0.33407
2020-05-01,0.34419
2020-05-02,0.43531
2020-05-03,0.40494
2020-05-04,0.90099
2020-05-05,0.62765
2020-05-06,0.73901
2020-05-07,0.94148
2020-05-08,0.61753
2020-05-09,0.41506
2020-05-10,0.28345
2020-05-11,0.51629
2020-05-12,0.53654
2020-05-13,0.52642
2020-05-14,0.51629
2020-05-15,0.43531
2020-05-16,0.24296
2020-05-17,0.20247
2020-05-18,0.63778
2020-05-19,0.65802
2020-05-20,0.54666
2020-05-21,0.46568
2020-05-22,0.44543
2020-05-23,0.24296
2020-05-24,0.36444
2020-05-25,0.62765
2020-05-26,0.48592
2020-05-27,0.61753
2020-05-28,0.52642
2020-05-29,0.55679
2020-05-30,0.19234
2020-05-31,0.27333
2020-06-01,0.50617
2020-06-02,0.56691
2020-06-03,0.66815
2020-06-04,0.65802
2020-06-05,0.55679
2020-06-06,0.24296
2020-06-07,0.28345
2020-06-08,0.82
2020-06-09,0.83012
2020-06-10,0.59728
2020-06-11,0.45555
2020-06-12,0.49605
2020-06-13,0.40494
2020-06-14,0.21259
2020-06-15,0.65802
2020-06-16,0.60741
2020-06-17,0.55679
2020-06-18,0.67827
2020-06-19,0.57703
2020-06-20,0.39481
2020-06-21,0.35432
2020-06-22,0.68839
2020-06-23,0.62765
2020-06-24,0.52642
2020-06-25,0.54666
2020-06-26,0.63778
2020-06-27,0.22271
2020-06-28,0.15185
2020-06-29,0.58716
2020-06-30,0.72889
2020-07-01,0.44543
2020-07-02,0.56691
2020-07-03,0.52642
2020-07-04,0.11135
2020-07-05,0.26321
2020-07-06,0.61753
2020-07-07,0.40494
2020-07-08,0.43531
2020-07-09,0.33407
2020-07-10,0.48592
2020-07-11,0.18222
2020-07-12,0.19234
2020-07-13,0.54666
2020-07-14,0.58716
2020-07-15,0.41506
2020-07-16,0.42518
2020-07-17,0.51629
2020-07-18,0.20247
2020-07-19,0.36444
2020-07-20,0.70864
2020-07-21,0.80988
2020-07-22,0.62765
2020-07-23,0.60741
2020-07-24,0.67827
2020-07-25,0.14172
2020-07-26,0.34419
2020-07-27,0.55679
2020-07-28,0.61753
2020-07-29,0.66815
2020-07-30,0.70864
2020-07-31,0.49605
