date,사업자등록신청
2020-03-20,35.57312
2020-03-21,14.361
2020-03-22,19.23583
2020-03-23,48.74835
2020-03-24,42.55599
2020-03-25,43.74176
2020-03-26,41.37022
2020-03-27,36.23188
2020-03-28,15.67852
2020-03-29,17.25955
2020-03-30,50.06587
2020-03-31,43.21475
2020-04-01,44.53227
2020-04-02,41.37022
2020-04-03,35.17786
2020-04-04,15.81027
2020-04-05,18.57707
2020-04-06,52.04216
2020-04-07,44.53227
2020-04-08,46.1133
2020-04-09,45.71805
2020-04-10,39.65744
2020-04-11,15.81027
2020-04-12,20.28985
2020-04-13,43.21475
2020-04-14,42.55599
2020-04-15,23.05665
2020-04-16,40.3162
2020-04-17,36.10013
2020-04-18,15.41501
2020-04-19,18.84057
2020-04-20,53.22793
2020-04-21,48.74835
2020-04-22,43.61001
2020-04-23,48.48484
2020-04-24,40.84321
2020-04-25,19.36758
2020-04-26,17.12779
2020-04-27,49.14361
2020-04-28,42.16073
2020-04-29,42.29249
2020-04-30,17.91831
2020-05-01,23.45191
2020-05-02,13.83399
2020-05-03,17.12779
2020-05-04,47.03557
2020-05-05,23.58366
2020-05-06,52.70092
2020-05-07,34.91436
2020-05-08,35.17786
2020-05-09,13.17523
2020-05-10,18.18181
2020-05-11,49.80237
2020-05-12,40.71146
2020-05-13,39.65744
2020-05-14,38.47167
2020-05-15,30.30303
2020-05-16,12.64822
2020-05-17,16.20553
2020-05-18,50.59288
2020-05-19,38.73517
2020-05-20,41.63372
2020-05-21,38.33992
2020-05-22,32.54281
2020-05-23,13.96574
2020-05-24,17.12779
2020-05-25,45.05928
2020-05-26,41.23847
2020-05-27,33.20158
2020-05-28,34.38735
2020-05-29,28.85375
2020-05-30,9.74967
2020-05-31,13.30698
2020-06-01,38.99868
2020-06-02,35.30961
2020-06-03,43.083
2020-06-04,33.46508
2020-06-05,32.67457
2020-06-06,15.01976
2020-06-07,18.84057
2020-06-08,46.77206
2020-06-09,37.94466
2020-06-10,39.13043
2020-06-11,34.25559
2020-06-12,27.53623
2020-06-13,10.80368
2020-06-14,14.6245
2020-06-15,38.73517
2020-06-16,39.13043
2020-06-17,32.01581
2020-06-18,29.51251
2020-06-19,30.43478
2020-06-20,9.48616
2020-06-21,13.43873
2020-06-22,41.63372
2020-06-23,38.86693
2020-06-24,34.91436
2020-06-25,33.33333
