date,프랜차이즈창업
2020-03-20,17.59834
2020-03-21,11.38716
2020-03-22,13.04347
2020-03-23,23.1884
2020-03-24,23.80952
2020-03-25,19.25465
2020-03-26,17.59834
2020-03-27,18.21946
2020-03-28,10.14492
2020-03-29,14.07867
2020-03-30,27.32919
2020-03-31,17.3913
2020-04-01,21.11801
2020-04-02,18.01242
2020-04-03,18.4265
2020-04-04,7.45341
2020-04-05,12.83643
2020-04-06,21.53209
2020-04-07,23.60248
2020-04-08,23.60248
2020-04-09,21.11801
2020-04-10,23.60248
2020-04-11,9.31677
2020-04-12,14.07867
2020-04-13,22.77432
2020-04-14,24.01656
2020-04-15,10.35196
2020-04-16,19.25465
2020-04-17,19.46169
2020-04-18,19.87577
2020-04-19,10.35196
2020-04-20,25.67287
2020-04-21,23.39544
2020-04-22,24.63768
2020-04-23,20.70393
2020-04-24,16.97722
2020-04-25,12.21532
2020-04-26,10.97308
2020-04-27,26.29399
2020-04-28,24.43064
2020-04-29,17.18426
2020-04-30,12.00828
2020-05-01,9.73084
2020-05-02,9.10973
2020-05-03,14.69979
2020-05-04,22.36024
2020-05-05,16.3561
2020-05-06,24.01656
2020-05-07,18.21946
2020-05-08,14.28571
2020-05-09,12.21532
2020-05-10,11.38716
2020-05-11,20.49689
2020-05-12,27.53623
2020-05-13,20.49689
2020-05-14,14.49275
2020-05-15,19.87577
2020-05-16,12.62939
2020-05-17,13.45755
2020-05-18,26.29399
2020-05-19,21.32505
2020-05-20,25.87991
2020-05-21,21.32505
2020-05-22,24.43064
2020-05-23,13.87163
2020-05-24,12.83643
2020-05-25,20.91097
2020-05-26,23.39544
2020-05-27,21.94616
2020-05-28,17.80538
2020-05-29,17.59834
2020-05-30,10.14492
2020-05-31,8.07453
2020-06-01,19.25465
2020-06-02,22.36024
2020-06-03,22.98136
2020-06-04,24.63768
2020-06-05,17.3913
2020-06-06,11.80124
2020-06-07,15.73498
2020-06-08,25.05175
2020-06-09,25.67287
2020-06-10,21.73913
2020-06-11,23.80952
2020-06-12,16.14906
2020-06-13,11.38716
2020-06-14,15.52795
2020-06-15,28.36438
2020-06-16,26.29399
2020-06-17,28.36438
2020-06-18,21.94616
2020-06-19,21.53209
2020-06-20,11.80124
2020-06-21,15.52795
2020-06-22,25.87991
2020-06-23,24.84472
2020-06-24,22.56728
2020-06-25,24.63768
2020-06-26,21.94616
2020-06-27,10.559
2020-06-28,10.97308
2020-06-29,24.84472
2020-06-30,20.91097
2020-07-01,20.70393
2020-07-02,23.60248
2020-07-03,15.73498
2020-07-04,10.14492
2020-07-05,13.04347
2020-07-06,18.4265
2020-07-07,22.36024
2020-07-08,20.49689
2020-07-09,19.25465
2020-07-10,18.21946
2020-07-11,8.69565
2020-07-12,12.21532
2020-07-13,16.56314
2020-07-14,20.28985
2020-07-15,13.04347
2020-07-16,12.62939
2020-07-17,16.14906
2020-07-18,8.48861
2020-07-19,8.48861
2020-07-20,23.39544
2020-07-21,21.73913
2020-07-22,18.4265
2020-07-23,20.70393
2020-07-24,13.25051
2020-07-25,8.28157
2020-07-26,11.18012
2020-07-27,17.80538
2020-07-28,22.56728
2020-07-29,23.80952
2020-07-30,21.32505
2020-07-31,19.66873
2020-08-01,11.5942
2020-08-02,12.00828
2020-08-03,14.69979
2020-08-04,21.11801
2020-08-05,18.84057
2020-08-06,19.46169
2020-08-07,18.84057
2020-08-08,16.14906
2020-08-09,13.87163
2020-08-10,25.05175
2020-08-11,24.63768
2020-08-12,24.63768
2020-08-13,18.21946
2020-08-14,16.14906
2020-08-15,11.18012
2020-08-16,10.35196
2020-08-17,15.73498
2020-08-18,17.59834
2020-08-19,20.49689
2020-08-20,19.04761
2020-08-21,20.28985
2020-08-22,6.00414
2020-08-23,9.93788
2020-08-24,22.77432
2020-08-25,22.98136
2020-08-26,19.66873
2020-08-27,22.1532
2020-08-28,18.01242
2020-08-29,10.14492
2020-08-30,9.93788
2020-08-31,18.21946
2020-09-01,18.84057
2020-09-02,19.25465
