date,주식
2020-03-20,100.0
2020-03-21,29.21157
2020-03-22,20.01613
2020-03-23,86.75567
2020-03-24,79.9793
2020-03-25,76.57615
2020-03-26,70.48305
2020-03-27,63.18776
2020-03-28,21.59621
2020-03-29,16.66827
2020-03-30,58.77113
2020-03-31,49.83844
2020-04-01,53.06861
2020-04-02,48.57234
2020-04-03,37.66644
2020-04-04,14.00418
2020-04-05,11.38981
2020-04-06,40.78857
2020-04-07,42.18452
2020-04-08,37.65832
2020-04-09,34.47329
2020-04-10,34.20495
2020-04-11,12.74823
2020-04-12,10.68118
2020-04-13,33.65509
2020-04-14,28.05453
2020-04-15,17.37183
2020-04-16,29.47585
2020-04-17,32.01008
2020-04-18,11.31981
2020-04-19,9.66668
2020-04-20,29.07309
2020-04-21,45.06825
2020-04-22,35.54105
2020-04-23,28.55824
2020-04-24,25.52082
2020-04-25,9.16755
2020-04-26,8.15964
2020-04-27,23.3929
2020-04-28,23.83015
2020-04-29,21.16302
2020-04-30,10.99213
2020-05-01,15.07448
2020-05-02,6.99042
2020-05-03,6.62774
2020-05-04,24.44392
2020-05-05,10.10596
2020-05-06,21.73063
2020-05-07,19.14974
2020-05-08,16.83566
2020-05-09,7.02542
2020-05-10,6.28788
2020-05-11,19.57177
2020-05-12,20.952
2020-05-13,19.24916
2020-05-14,20.36055
2020-05-15,18.24633
2020-05-16,6.87426
2020-05-17,5.96223
2020-05-18,17.83292
2020-05-19,21.53078
2020-05-20,19.48757
2020-05-21,20.33214
2020-05-22,19.96033
2020-05-23,7.21615
2020-05-24,6.90368
2020-05-25,19.90047
2020-05-26,21.27106
2020-05-27,20.17794
2020-05-28,23.59783
2020-05-29,17.89632
2020-05-30,7.0381
2020-05-31,6.2336
2020-06-01,19.19844
2020-06-02,19.74728
2020-06-03,25.34531
2020-06-04,23.27471
2020-06-05,19.56467
2020-06-06,8.51674
2020-06-07,7.91159
2020-06-08,21.48056
2020-06-09,22.16586
2020-06-10,20.66338
2020-06-11,23.43551
2020-06-12,35.0404
2020-06-13,8.70595
2020-06-14,7.09847
2020-06-15,65.03517
2020-06-16,36.66766
2020-06-17,29.83955
2020-06-18,23.09159
2020-06-19,20.89722
2020-06-20,7.79188
2020-06-21,7.11825
2020-06-22,20.82671
2020-06-23,21.1199
2020-06-24,20.11555
2020-06-25,25.58727
2020-06-26,19.36076
2020-06-27,7.50985
2020-06-28,6.73477
2020-06-29,21.53433
2020-06-30,19.18981
2020-07-01,18.09517
2020-07-02,18.09719
2020-07-03,16.70479
2020-07-04,6.82607
2020-07-05,7.89384
2020-07-06,19.26742
2020-07-07,22.19122
2020-07-08,19.19844
2020-07-09,19.01735
2020-07-10,18.13575
2020-07-11,7.64072
2020-07-12,7.61941
2020-07-13,18.48829
2020-07-14,20.042
2020-07-15,19.75743
2020-07-16,19.38561
2020-07-17,16.84124
2020-07-18,7.2268
2020-07-19,6.63027
2020-07-20,18.57553
2020-07-21,20.35193
2020-07-22,21.41208
2020-07-23,21.68701
2020-07-24,20.62686
2020-07-25,8.76377
2020-07-26,11.08597
2020-07-27,21.8473
2020-07-28,22.01267
2020-07-29,21.16201
2020-07-30,19.80359
2020-07-31,18.65517
2020-08-01,8.35696
2020-08-02,7.77108
2020-08-03,19.70975
2020-08-04,19.75692
2020-08-05,21.45368
2020-08-06,21.97259
2020-08-07,22.46919
2020-08-08,9.9832
2020-08-09,9.47088
2020-08-10,24.53168
2020-08-11,25.20632
2020-08-12,26.17263
2020-08-13,23.51464
2020-08-14,24.95777
2020-08-15,9.03262
2020-08-16,8.56493
2020-08-17,19.89692
2020-08-18,34.54025
2020-08-19,24.65443
2020-08-20,40.44364
2020-08-21,26.653
2020-08-22,9.58501
2020-08-23,9.15385
2020-08-24,23.44311
2020-08-25,22.92673
2020-08-26,24.38457
2020-08-27,26.29589
2020-08-28,22.70811
2020-08-29,9.83915
2020-08-30,11.74286
2020-08-31,26.56119
2020-09-01,25.48379
2020-09-02,25.37473
2020-09-03,25.10588
2020-09-04,33.06212
2020-09-05,11.69518
2020-09-06,11.10423
2020-09-07,27.28148
2020-09-08,27.07503
2020-09-09,31.08485
2020-09-10,28.11033
2020-09-11,24.98465
2020-09-12,10.87191
2020-09-13,10.49502
2020-09-14,24.10406
2020-09-15,25.09726
2020-09-16,25.03791
2020-09-17,25.91951
2020-09-18,21.66926
2020-09-19,9.59871
2020-09-20,8.10536
2020-09-21,25.08255
2020-09-22,33.37357
2020-09-23,27.39206
2020-09-24,36.69353
2020-09-25,24.13856
2020-09-26,9.34965
2020-09-27,7.97956
2020-09-28,20.45642
2020-09-29,17.46567
2020-09-30,9.80313
2020-10-01,9.11885
2020-10-02,10.25661
2020-10-03,9.16907
2020-10-04,8.79979
2020-10-05,22.16231
2020-10-06,20.52185
2020-10-07,19.9025
2020-10-08,18.75814
2020-10-09,9.81835
2020-10-10,7.40282
2020-10-11,7.39876
2020-10-12,19.19641
2020-10-13,20.34533
2020-10-14,20.46149
2020-10-15,25.65422
2020-10-16,22.82934
2020-10-17,9.08537
2020-10-18,7.78021
2020-10-19,20.09729
2020-10-20,21.5536
2020-10-21,18.49386
2020-10-22,19.61438
2020-10-23,16.28174
2020-10-24,6.8702
2020-10-25,9.5424
2020-10-26,23.32137
2020-10-27,19.57786
2020-10-28,17.57675
2020-10-29,20.95961
2020-10-30,20.77903
2020-10-31,8.40667
2020-11-01,7.48651
2020-11-02,17.21762
2020-11-03,17.1045
2020-11-04,18.95191
2020-11-05,19.71583
2020-11-06,18.76423
2020-11-07,7.21361
2020-11-08,7.17811
2020-11-09,20.59541
2020-11-10,24.64682
2020-11-11,21.9452
2020-11-12,21.47244
2020-11-13,20.02373
2020-11-14,8.79066
2020-11-15,7.81116
2020-11-16,24.55805
2020-11-17,24.39167
2020-11-18,22.04919
2020-11-19,20.73389
2020-11-20,19.17206
2020-11-21,9.63269
2020-11-22,8.85609
2020-11-23,23.19507
2020-11-24,24.19993
2020-11-25,29.44034
2020-11-26,25.64712
2020-11-27,23.16007
2020-11-28,12.70562
2020-11-29,11.54605
2020-11-30,24.31559
2020-12-01,24.70262
2020-12-02,25.61719
2020-12-03,63.82081
2020-12-04,27.47272
2020-12-05,12.97193
2020-12-06,13.23316
2020-12-07,28.8849
2020-12-08,30.24992
2020-12-09,28.23613
2020-12-10,27.80903
2020-12-11,25.26364
