date,주식수익
2020-03-20,21.63934
2020-03-21,7.86885
2020-03-22,9.83606
2020-03-23,24.26229
2020-03-24,23.93442
2020-03-25,27.86885
2020-03-26,29.50819
2020-03-27,28.52459
2020-03-28,19.67213
2020-03-29,15.7377
2020-03-30,24.26229
2020-03-31,27.54098
2020-04-01,27.86885
2020-04-02,18.36065
2020-04-03,20.9836
2020-04-04,14.75409
2020-04-05,13.11475
2020-04-06,23.27868
2020-04-07,34.09836
2020-04-08,23.60655
2020-04-09,29.18032
2020-04-10,15.40983
2020-04-11,16.06557
2020-04-12,8.19672
2020-04-13,16.72131
2020-04-14,15.08196
2020-04-15,12.13114
2020-04-16,15.7377
2020-04-17,21.31147
2020-04-18,18.68852
2020-04-19,16.72131
2020-04-20,15.7377
2020-04-21,14.75409
2020-04-22,18.36065
2020-04-23,20.0
2020-04-24,12.78688
2020-04-25,12.13114
2020-04-26,8.85245
2020-04-27,18.68852
2020-04-28,13.44262
2020-04-29,16.39344
2020-04-30,10.81967
2020-05-01,11.14754
2020-05-02,4.91803
2020-05-03,9.50819
2020-05-04,16.39344
2020-05-05,5.90163
2020-05-06,11.80327
2020-05-07,14.42622
2020-05-08,12.78688
2020-05-09,10.81967
2020-05-10,7.86885
2020-05-11,14.42622
2020-05-12,17.70491
2020-05-13,12.13114
2020-05-14,12.78688
2020-05-15,14.75409
2020-05-16,8.85245
2020-05-17,11.4754
2020-05-18,11.4754
2020-05-19,20.9836
2020-05-20,16.39344
2020-05-21,21.63934
2020-05-22,10.16393
2020-05-23,7.54098
2020-05-24,10.16393
2020-05-25,16.06557
2020-05-26,24.59016
2020-05-27,19.67213
2020-05-28,19.01639
2020-05-29,21.96721
2020-05-30,14.42622
2020-05-31,10.81967
2020-06-01,20.32786
2020-06-02,20.0
2020-06-03,22.62295
2020-06-04,23.27868
2020-06-05,23.27868
2020-06-06,19.01639
2020-06-07,18.03278
2020-06-08,18.03278
2020-06-09,17.04918
2020-06-10,22.62295
2020-06-11,19.01639
2020-06-12,12.13114
2020-06-13,8.19672
2020-06-14,9.18032
2020-06-15,14.75409
2020-06-16,17.04918
2020-06-17,15.08196
2020-06-18,15.08196
2020-06-19,14.09836
2020-06-20,8.52459
2020-06-21,5.90163
2020-06-22,15.7377
2020-06-23,13.11475
2020-06-24,20.65573
2020-06-25,27.86885
2020-06-26,23.27868
2020-06-27,13.11475
2020-06-28,8.85245
2020-06-29,14.42622
2020-06-30,14.75409
2020-07-01,10.81967
2020-07-02,12.13114
2020-07-03,11.4754
2020-07-04,11.80327
2020-07-05,9.50819
2020-07-06,20.65573
2020-07-07,20.0
2020-07-08,17.04918
2020-07-09,17.70491
2020-07-10,14.75409
2020-07-11,8.19672
2020-07-12,12.45901
2020-07-13,18.36065
2020-07-14,4.91803
2020-07-15,9.50819
2020-07-16,16.39344
2020-07-17,14.75409
2020-07-18,11.14754
2020-07-19,9.83606
2020-07-20,17.04918
2020-07-21,20.9836
2020-07-22,23.27868
2020-07-23,26.55737
2020-07-24,20.0
2020-07-25,6.88524
2020-07-26,9.50819
2020-07-27,13.11475
2020-07-28,13.44262
2020-07-29,22.62295
2020-07-30,24.59016
2020-07-31,21.96721
2020-08-01,15.40983
2020-08-02,8.19672
2020-08-03,20.0
2020-08-04,25.2459
2020-08-05,31.14754
2020-08-06,28.85245
2020-08-07,30.16393
2020-08-08,17.37704
2020-08-09,23.60655
2020-08-10,35.40983
2020-08-11,32.45901
2020-08-12,28.19672
2020-08-13,25.57377
