date,신용카드
2020-03-20,57.0255
2020-03-21,39.17508
2020-03-22,40.52712
2020-03-23,61.90313
2020-03-24,60.15745
2020-03-25,64.31627
2020-03-26,62.46791
2020-03-27,54.7835
2020-03-28,37.669
2020-03-29,39.03816
2020-03-30,61.0474
2020-03-31,66.9519
2020-04-01,70.69998
2020-04-02,63.32363
2020-04-03,54.54389
2020-04-04,34.79377
2020-04-05,41.50265
2020-04-06,62.48502
2020-04-07,63.22094
2020-04-08,63.13537
2020-04-09,79.89046
2020-04-10,84.13486
2020-04-11,49.61492
2020-04-12,52.06229
2020-04-13,82.98819
2020-04-14,81.02002
2020-04-15,56.3238
2020-04-16,80.30121
2020-04-17,75.73164
2020-04-18,47.64675
2020-04-19,54.59524
2020-04-20,82.91973
2020-04-21,83.22779
2020-04-22,78.2817
2020-04-23,70.75132
2020-04-24,62.72462
2020-04-25,42.88892
2020-04-26,44.78863
2020-04-27,77.68269
2020-04-28,74.29402
2020-04-29,66.86633
2020-04-30,57.65873
2020-05-01,50.1797
2020-05-02,41.26304
2020-05-03,46.96217
2020-05-04,76.0397
2020-05-05,56.63186
2020-05-06,77.2206
2020-05-07,68.78315
2020-05-08,61.93736
2020-05-09,47.18466
2020-05-10,50.24816
2020-05-11,95.48177
2020-05-12,80.79753
2020-05-13,75.6803
2020-05-14,68.73181
2020-05-15,63.81995
2020-05-16,38.26801
2020-05-17,40.1506
2020-05-18,64.26493
2020-05-19,60.72223
2020-05-20,56.40937
2020-05-21,54.81773
2020-05-22,51.68577
2020-05-23,32.53465
2020-05-24,36.71059
2020-05-25,58.95943
2020-05-26,58.25774
2020-05-27,52.14786
2020-05-28,48.81054
2020-05-29,44.60037
2020-05-30,29.93325
2020-05-31,37.5492
2020-06-01,58.65137
2020-06-02,56.66609
2020-06-03,55.58788
2020-06-04,51.66866
2020-06-05,45.88396
2020-06-06,30.92589
2020-06-07,34.96491
2020-06-08,58.01814
2020-06-09,61.80044
2020-06-10,56.42649
2020-06-11,49.78606
2020-06-12,41.84494
2020-06-13,29.30001
2020-06-14,34.67396
2020-06-15,60.72223
2020-06-16,51.41194
2020-06-17,50.16258
2020-06-18,48.67362
2020-06-19,38.8499
2020-06-20,27.84528
2020-06-21,29.5225
2020-06-22,49.22129
2020-06-23,47.52695
2020-06-24,49.78606
2020-06-25,51.22368
2020-06-26,43.2141
2020-06-27,29.23155
2020-06-28,30.89166
2020-06-29,48.74208
2020-06-30,52.14786
2020-07-01,50.2995
2020-07-02,46.32894
2020-07-03,41.43419
2020-07-04,26.35632
2020-07-05,29.4027
2020-07-06,49.42666
2020-07-07,50.33373
2020-07-08,46.07222
2020-07-09,45.21649
2020-07-10,45.18226
2020-07-11,29.09464
2020-07-12,33.56152
2020-07-13,52.28478
2020-07-14,52.01095
2020-07-15,51.49751
2020-07-16,49.5978
2020-07-17,42.99161
2020-07-18,27.70836
2020-07-19,31.4051
2020-07-20,52.83244
2020-07-21,52.9009
2020-07-22,53.58548
2020-07-23,50.64179
2020-07-24,44.58326
2020-07-25,29.04329
2020-07-26,33.93804
2020-07-27,56.49495
2020-07-28,53.14051
2020-07-29,50.69313
2020-07-30,48.22864
2020-07-31,44.00136
2020-08-01,32.92829
2020-08-02,35.34143
2020-08-03,53.73951
2020-08-04,52.86667
2020-08-05,50.86428
2020-08-06,50.96696
2020-08-07,47.83501
2020-08-08,31.8843
2020-08-09,36.14581
2020-08-10,60.96183
2020-08-11,59.35307
2020-08-12,55.9644
2020-08-13,56.10131
2020-08-14,48.93034
2020-08-15,34.14341
2020-08-16,33.3048
2020-08-17,40.86941
2020-08-18,54.52678
2020-08-19,58.18928
2020-08-20,52.72976
2020-08-21,47.49272
2020-08-22,32.14102
2020-08-23,36.59079
2020-08-24,54.28718
2020-08-25,60.1061
2020-08-26,56.3238
2020-08-27,56.25534
2020-08-28,49.28974
2020-08-29,36.18004
2020-08-30,35.32431
2020-08-31,59.78093
2020-09-01,59.95207
2020-09-02,58.00102
2020-09-03,50.79582
2020-09-04,49.03303
2020-09-05,34.3659
2020-09-06,36.7277
2020-09-07,54.25295
2020-09-08,54.25295
2020-09-09,52.45593
2020-09-10,55.79325
2020-09-11,47.28735
2020-09-12,31.59335
2020-09-13,35.63238
2020-09-14,55.65634
2020-09-15,53.08916
2020-09-16,52.69553
2020-09-17,47.27023
2020-09-18,45.40475
2020-09-19,29.26578
2020-09-20,33.03097
2020-09-21,51.08677
2020-09-22,47.25312
2020-09-23,49.06725
2020-09-24,44.18962
2020-09-25,42.01608
2020-09-26,26.57881
2020-09-27,30.75474
2020-09-28,45.96953
2020-09-29,37.94283
2020-09-30,25.27811
2020-10-01,24.95293
2020-10-02,25.56905
2020-10-03,24.90159
2020-10-04,33.71555
2020-10-05,57.48759
2020-10-06,55.55365
2020-10-07,51.70289
2020-10-08,45.78127
2020-10-09,30.92589
2020-10-10,30.22419
2020-10-11,34.4857
2020-10-12,54.88618
2020-10-13,55.07444
