date,신규상장종목
2020-03-20,2.65683
2020-03-21,1.26275
2020-03-22,1.09101
2020-03-23,2.45479
2020-03-24,2.73765
2020-03-25,2.65683
2020-03-26,2.92958
2020-03-27,3.04071
2020-03-28,1.11122
2020-03-29,1.15163
2020-03-30,2.21234
2020-03-31,2.76795
2020-04-01,2.55581
2020-04-02,2.40428
2020-04-03,2.20224
2020-04-04,1.14152
2020-04-05,1.0102
2020-04-06,2.08101
2020-04-07,2.91948
2020-04-08,2.34367
2020-04-09,2.31336
2020-04-10,2.04061
2020-04-11,1.13142
2020-04-12,1.05061
2020-04-13,1.95979
2020-04-14,1.60622
2020-04-15,0.95969
2020-04-16,1.79816
2020-04-17,1.85877
2020-04-18,1.05061
2020-04-19,1.12132
2020-04-20,2.08101
2020-04-21,2.22244
2020-04-22,2.68714
2020-04-23,2.29316
2020-04-24,1.78805
2020-04-25,0.70714
2020-04-26,0.90918
2020-04-27,1.71734
2020-04-28,1.55571
2020-04-29,1.36377
2020-04-30,0.90918
2020-05-01,0.61622
2020-05-02,0.5354
2020-05-03,0.61622
2020-05-04,1.32336
2020-05-05,0.73744
2020-05-06,1.36377
2020-05-07,1.43448
2020-05-08,1.5153
2020-05-09,0.72734
2020-05-10,0.66673
2020-05-11,1.18193
2020-05-12,1.45469
2020-05-13,1.59612
2020-05-14,1.57591
2020-05-15,1.15163
2020-05-16,0.77785
2020-05-17,0.5455
2020-05-18,1.33346
2020-05-19,1.85877
2020-05-20,2.17193
2020-05-21,2.48509
2020-05-22,2.72754
2020-05-23,1.11122
2020-05-24,1.12132
2020-05-25,2.29316
2020-05-26,2.31336
2020-05-27,2.18203
2020-05-28,2.05071
2020-05-29,1.85877
2020-05-30,0.94959
2020-05-31,0.84857
2020-06-01,1.72744
2020-06-02,2.04061
2020-06-03,1.86887
2020-06-04,1.91938
2020-06-05,1.83856
2020-06-06,1.0102
2020-06-07,1.19203
2020-06-08,1.95979
2020-06-09,2.15173
2020-06-10,2.10122
2020-06-11,2.22244
2020-06-12,1.97999
2020-06-13,0.93948
2020-06-14,0.98999
2020-06-15,1.88907
2020-06-16,2.11132
2020-06-17,3.53571
2020-06-18,2.05071
2020-06-19,1.86887
2020-06-20,1.23244
2020-06-21,0.95969
2020-06-22,2.48509
2020-06-23,2.5154
2020-06-24,2.70734
2020-06-25,2.73765
2020-06-26,1.65673
2020-06-27,0.89908
2020-06-28,1.23244
2020-06-29,1.70724
2020-06-30,1.97999
2020-07-01,3.34377
2020-07-02,3.79836
2020-07-03,3.90948
2020-07-04,1.25265
2020-07-05,1.44459
2020-07-06,2.84877
2020-07-07,3.09122
2020-07-08,2.46489
2020-07-09,2.41438
2020-07-10,2.32346
2020-07-11,0.89908
2020-07-12,1.12132
2020-07-13,2.87907
2020-07-14,2.74775
2020-07-15,2.85887
2020-07-16,3.57611
2020-07-17,2.35377
2020-07-18,0.94959
2020-07-19,0.82836
2020-07-20,2.15173
2020-07-21,2.25275
2020-07-22,3.13162
2020-07-23,2.84877
2020-07-24,2.42448
2020-07-25,1.0102
2020-07-26,1.29305
2020-07-27,2.44469
2020-07-28,2.70734
2020-07-29,3.0104
2020-07-30,2.67703
2020-07-31,2.77805
2020-08-01,1.18193
2020-08-02,0.90918
2020-08-03,2.26285
2020-08-04,2.69724
2020-08-05,2.27295
2020-08-06,3.07101
2020-08-07,8.61703
2020-08-08,3.87917
2020-08-09,3.57611
2020-08-10,13.58723
2020-08-11,14.08223
2020-08-12,14.81967
2020-08-13,13.33468
2020-08-14,11.4759
2020-08-15,6.09152
2020-08-16,5.11162
2020-08-17,6.39458
2020-08-18,12.01131
2020-08-19,10.38488
2020-08-20,12.07192
2020-08-21,10.29396
2020-08-22,5.29346
2020-08-23,5.03081
2020-08-24,11.05162
2020-08-25,11.33447
2020-08-26,12.21335
2020-08-27,12.19315
2020-08-28,10.83947
2020-08-29,6.04101
2020-08-30,7.69774
2020-08-31,13.56702
2020-09-01,14.68835
2020-09-02,31.96282
2020-09-03,43.02454
2020-09-04,48.03515
2020-09-05,23.14375
2020-09-06,21.66885
2020-09-07,44.43883
2020-09-08,45.09546
2020-09-09,50.47984
2020-09-10,51.63147
2020-09-11,47.18658
2020-09-12,21.98201
2020-09-13,20.56773
2020-09-14,40.37781
2020-09-15,42.65077
2020-09-16,42.16587
2020-09-17,41.35771
2020-09-18,34.11455
2020-09-19,16.4259
2020-09-20,15.08233
2020-09-21,38.48873
2020-09-22,44.37822
2020-09-23,39.49893
2020-09-24,47.33811
2020-09-25,32.14466
2020-09-26,14.60753
2020-09-27,12.93059
2020-09-28,28.16446
2020-09-29,25.4066
2020-09-30,12.9508
2020-10-01,12.28406
2020-10-02,13.18314
2020-10-03,12.83968
2020-10-04,14.48631
2020-10-05,31.27588
2020-10-06,33.32659
2020-10-07,31.82139
2020-10-08,27.76037
2020-10-09,14.02161
2020-10-10,11.82947
2020-10-11,12.30427
2020-10-12,28.31599
2020-10-13,30.24547
2020-10-14,30.3667
2020-10-15,44.54995
2020-10-16,34.31659
2020-10-17,14.91059
2020-10-18,12.20325
2020-10-19,30.48792
2020-10-20,31.67996
2020-10-21,28.13415
2020-10-22,26.19456
2020-10-23,22.72956
2020-10-24,10.77886
2020-10-25,13.33468
2020-10-26,28.95241
2020-10-27,27.9018
2020-10-28,26.23497
2020-10-29,30.25558
2020-10-30,27.26538
2020-10-31,14.21355
2020-11-01,12.43559
2020-11-02,22.79018
2020-11-03,24.28528
2020-11-04,28.07354
2020-11-05,36.78149
2020-11-06,34.67016
2020-11-07,13.36498
2020-11-08,13.82967
2020-11-09,35.28639
2020-11-10,36.66026
2020-11-11,35.18537
2020-11-12,37.42802
2020-11-13,32.51843
2020-11-14,14.83988
2020-11-15,14.9409
2020-11-16,38.30689
2020-11-17,40.29699
2020-11-18,38.18567
2020-11-19,33.18517
2020-11-20,33.60945
2020-11-21,18.13314
2020-11-22,16.67845
2020-11-23,38.77159
2020-11-24,40.55965
2020-11-25,51.58096
2020-11-26,46.44913
2020-11-27,40.03434
2020-11-28,24.61864
2020-11-29,23.74987
2020-11-30,37.37751
2020-12-01,41.57995
2020-12-02,43.26699
2020-12-03,49.42923
2020-12-04,44.36811
2020-12-05,23.58824
2020-12-06,24.8813
2020-12-07,46.96433
2020-12-08,51.68198
2020-12-09,50.87382
2020-12-10,50.17678
2020-12-11,44.54995
2020-12-12,22.61844
2020-12-13,21.20416
2020-12-14,50.18688
