date,압류통장해지
2020-11-08,17.64705
2020-11-09,51.17647
2020-11-10,78.23529
2020-11-11,54.11764
2020-11-12,68.82352
2020-11-13,52.35294
2020-11-14,15.88235
2020-11-15,19.41176
2020-11-16,58.23529
2020-11-17,60.58823
2020-11-18,68.23529
2020-11-19,60.0
2020-11-20,53.52941
2020-11-21,23.52941
2020-11-22,22.35294
2020-11-23,57.64705
2020-11-24,69.41176
2020-11-25,70.58823
2020-11-26,47.05882
2020-11-27,60.58823
2020-11-28,24.70588
2020-11-29,24.11764
2020-11-30,66.47058
2020-12-01,56.47058
2020-12-02,76.47058
2020-12-03,55.29411
2020-12-04,48.82352
2020-12-05,27.05882
2020-12-06,21.17647
2020-12-07,61.7647
2020-12-08,60.0
2020-12-09,53.52941
2020-12-10,55.88235
2020-12-11,64.70588
2020-12-12,28.82352
2020-12-13,25.88235
2020-12-14,52.94117
2020-12-15,67.05882
2020-12-16,59.41176
2020-12-17,65.29411
2020-12-18,68.23529
2020-12-19,32.35294
2020-12-20,27.64705
2020-12-21,65.88235
2020-12-22,60.0
2020-12-23,57.05882
2020-12-24,90.58823
2020-12-25,35.88235
2020-12-26,27.64705
2020-12-27,22.35294
2020-12-28,65.29411
2020-12-29,75.88235
2020-12-30,55.88235
2020-12-31,60.0
2021-01-01,29.41176
2021-01-02,22.94117
2021-01-03,23.52941
2021-01-04,59.41176
2021-01-05,66.47058
2021-01-06,57.64705
2021-01-07,57.05882
2021-01-08,72.94117
2021-01-09,35.29411
2021-01-10,28.82352
2021-01-11,83.52941
2021-01-12,69.41176
2021-01-13,69.41176
2021-01-14,75.29411
2021-01-15,72.94117
2021-01-16,32.35294
2021-01-17,28.82352
2021-01-18,57.64705
2021-01-19,61.17647
2021-01-20,74.70588
2021-01-21,74.11764
2021-01-22,46.47058
2021-01-23,25.29411
2021-01-24,27.64705
2021-01-25,78.23529
2021-01-26,72.35294
2021-01-27,63.52941
2021-01-28,65.29411
2021-01-29,55.88235
2021-01-30,31.7647
2021-01-31,29.41176
2021-02-01,64.70588
2021-02-02,67.64705
2021-02-03,56.47058
2021-02-04,61.17647
2021-02-05,58.23529
2021-02-06,29.41176
2021-02-07,22.35294
2021-02-08,58.23529
2021-02-09,65.88235
2021-02-10,72.94117
2021-02-11,31.17647
2021-02-12,22.35294
2021-02-13,31.17647
2021-02-14,30.58823
2021-02-15,84.11764
2021-02-16,78.23529
2021-02-17,73.52941
2021-02-18,55.29411
2021-02-19,51.7647
2021-02-20,25.29411
2021-02-21,20.0
2021-02-22,57.05882
2021-02-23,74.11764
2021-02-24,64.70588
2021-02-25,69.41176
2021-02-26,55.88235
2021-02-27,29.41176
2021-02-28,28.23529
2021-03-01,36.47058
2021-03-02,57.64705
2021-03-03,80.58823
2021-03-04,67.64705
2021-03-05,66.47058
2021-03-06,27.05882
2021-03-07,29.41176
2021-03-08,65.88235
2021-03-09,65.88235
2021-03-10,54.11764
2021-03-11,57.05882
2021-03-12,53.52941
2021-03-13,20.0
2021-03-14,17.64705
2021-03-15,80.0
2021-03-16,58.23529
2021-03-17,65.88235
2021-03-18,55.88235
2021-03-19,61.7647
2021-03-20,22.35294
2021-03-21,31.17647
2021-03-22,67.05882
2021-03-23,65.88235
2021-03-24,58.82352
2021-03-25,71.7647
2021-03-26,48.82352
2021-03-27,31.17647
2021-03-28,25.88235
2021-03-29,63.52941
2021-03-30,68.82352
2021-03-31,68.23529
2021-04-01,69.41176
2021-04-02,58.82352
2021-04-03,27.05882
2021-04-04,33.52941
2021-04-05,54.70588
2021-04-06,53.52941
2021-04-07,67.05882
2021-04-08,49.41176
2021-04-09,62.35294
2021-04-10,34.11764
2021-04-11,24.70588
2021-04-12,64.11764
2021-04-13,60.0
2021-04-14,65.29411
2021-04-15,85.29411
2021-04-16,58.23529
2021-04-17,17.64705
2021-04-18,29.41176
2021-04-19,72.94117
2021-04-20,71.17647
2021-04-21,62.94117
2021-04-22,65.88235
2021-04-23,70.0
2021-04-24,25.88235
2021-04-25,22.94117
2021-04-26,60.0
2021-04-27,67.64705
2021-04-28,57.05882
2021-04-29,49.41176
2021-04-30,50.0
2021-05-01,23.52941
2021-05-02,25.29411
2021-05-03,62.35294
2021-05-04,56.47058
2021-05-05,32.35294
2021-05-06,61.17647
2021-05-07,61.17647
2021-05-08,33.52941
2021-05-09,27.05882
2021-05-10,71.7647
2021-05-11,57.64705
2021-05-12,57.64705
2021-05-13,58.82352
2021-05-14,54.70588
2021-05-15,25.29411
2021-05-16,21.17647
2021-05-17,57.64705
2021-05-18,62.35294
2021-05-19,31.7647
2021-05-20,57.05882
2021-05-21,48.23529
2021-05-22,21.17647
2021-05-23,28.82352
2021-05-24,71.17647
2021-05-25,90.58823
2021-05-26,65.88235
2021-05-27,58.23529
2021-05-28,52.94117
2021-05-29,17.64705
2021-05-30,18.82352
2021-05-31,76.47058
2021-06-01,62.35294
2021-06-02,57.05882
2021-06-03,57.05882
2021-06-04,55.29411
2021-06-05,21.17647
2021-06-06,16.47058
2021-06-07,57.64705
2021-06-08,55.29411
2021-06-09,58.23529
2021-06-10,57.64705
2021-06-11,46.47058
2021-06-12,16.47058
2021-06-13,19.41176
2021-06-14,56.47058
2021-06-15,60.58823
2021-06-16,55.29411
2021-06-17,60.0
2021-06-18,55.88235
2021-06-19,20.58823
2021-06-20,27.64705
2021-06-21,66.47058
2021-06-22,63.52941
2021-06-23,59.41176
2021-06-24,70.0
2021-06-25,53.52941
2021-06-26,28.23529
2021-06-27,10.0
2021-06-28,58.23529
2021-06-29,67.05882
2021-06-30,61.17647
2021-07-01,42.94117
2021-07-02,42.35294
2021-07-03,17.05882
2021-07-04,18.23529
2021-07-05,50.0
2021-07-06,38.23529
2021-07-07,46.47058
2021-07-08,37.05882
2021-07-09,29.41176
2021-07-10,15.88235
2021-07-11,20.58823
2021-07-12,54.11764
2021-07-13,42.94117
2021-07-14,53.52941
2021-07-15,55.88235
2021-07-16,35.29411
2021-07-17,15.29411
2021-07-18,17.05882
2021-07-19,46.47058
2021-07-20,37.64705
2021-07-21,62.94117
2021-07-22,54.70588
2021-07-23,60.58823
2021-07-24,20.58823
2021-07-25,32.35294
2021-07-26,58.23529
2021-07-27,51.7647
2021-07-28,40.0
2021-07-29,38.23529
2021-07-30,43.52941
2021-07-31,21.17647
2021-08-01,20.0
2021-08-02,47.64705
2021-08-03,42.94117
2021-08-04,42.35294
2021-08-05,49.41176
2021-08-06,32.94117
2021-08-07,27.05882
2021-08-08,20.58823
2021-08-09,49.41176
2021-08-10,58.82352
2021-08-11,50.0
2021-08-12,45.88235
2021-08-13,44.70588
2021-08-14,20.58823
2021-08-15,15.88235
2021-08-16,25.29411
2021-08-17,61.17647
2021-08-18,57.05882
2021-08-19,54.70588
2021-08-20,60.58823
2021-08-21,22.35294
2021-08-22,27.05882
2021-08-23,72.35294
2021-08-24,64.70588
2021-08-25,64.70588
2021-08-26,92.94117
2021-08-27,54.11764
2021-08-28,30.58823
2021-08-29,20.0
2021-08-30,68.23529
2021-08-31,80.0
2021-09-01,54.11764
2021-09-02,54.11764
2021-09-03,59.41176
2021-09-04,27.05882
2021-09-05,25.88235
2021-09-06,70.0
2021-09-07,47.64705
2021-09-08,48.82352
2021-09-09,55.88235
2021-09-10,50.58823
2021-09-11,19.41176
2021-09-12,25.29411
2021-09-13,64.70588
2021-09-14,63.52941
2021-09-15,58.23529
2021-09-16,55.88235
2021-09-17,52.35294
2021-09-18,21.7647
2021-09-19,10.58823
2021-09-20,15.29411
2021-09-21,15.88235
2021-09-22,11.7647
2021-09-23,57.64705
2021-09-24,47.64705
2021-09-25,18.82352
2021-09-26,14.70588
2021-09-27,50.0
2021-09-28,50.0
2021-09-29,40.58823
2021-09-30,48.82352
2021-10-01,37.64705
2021-10-02,14.11764
2021-10-03,15.29411
2021-10-04,13.52941
2021-10-05,62.94117
2021-10-06,55.88235
2021-10-07,49.41176
2021-10-08,51.17647
2021-10-09,21.7647
2021-10-10,14.11764
2021-10-11,18.23529
2021-10-12,47.05882
2021-10-13,45.88235
2021-10-14,44.11764
2021-10-15,62.94117
2021-10-16,15.29411
2021-10-17,14.11764
2021-10-18,48.82352
2021-10-19,53.52941
2021-10-20,48.82352
2021-10-21,52.94117
2021-10-22,49.41176
2021-10-23,17.05882
2021-10-24,17.05882
2021-10-25,57.05882
2021-10-26,52.94117
2021-10-27,38.82352
2021-10-28,58.82352
2021-10-29,42.35294
2021-10-30,24.70588
2021-10-31,20.58823
2021-11-01,51.7647
2021-11-02,55.88235
2021-11-03,49.41176
2021-11-04,47.64705
2021-11-05,40.58823
2021-11-06,11.7647
2021-11-07,22.35294
2021-11-08,46.47058
2021-11-09,47.05882
2021-11-10,61.17647
2021-11-11,42.94117
2021-11-12,45.29411
2021-11-13,15.88235
2021-11-14,19.41176
2021-11-15,48.23529
2021-11-16,49.41176
2021-11-17,53.52941
