date,자동차다이렉트보험비교견적사이트
2020-03-20,20.71129
2020-03-21,11.50627
2020-03-22,11.08786
2020-03-23,28.03347
2020-03-24,21.33891
2020-03-25,23.84937
2020-03-26,25.52301
2020-03-27,18.41004
2020-03-28,9.83263
2020-03-29,12.97071
2020-03-30,31.58995
2020-03-31,23.64016
2020-04-01,29.07949
2020-04-02,27.82426
2020-04-03,18.20083
2020-04-04,14.64435
2020-04-05,17.36401
2020-04-06,33.4728
2020-04-07,21.96652
2020-04-08,27.61506
2020-04-09,26.35983
2020-04-10,22.59414
2020-04-11,9.41422
2020-04-12,10.04184
2020-04-13,26.77824
2020-04-14,26.56903
2020-04-15,13.59832
2020-04-16,24.68619
2020-04-17,26.56903
2020-04-18,11.29707
2020-04-19,13.80753
2020-04-20,35.14644
2020-04-21,31.17154
2020-04-22,31.38075
2020-04-23,24.68619
2020-04-24,24.89539
2020-04-25,15.89958
2020-04-26,18.20083
2020-04-27,30.12552
2020-04-28,31.38075
2020-04-29,29.07949
2020-04-30,12.13389
2020-05-01,16.9456
2020-05-02,11.08786
2020-05-03,11.08786
2020-05-04,32.42677
2020-05-05,16.31799
2020-05-06,34.72803
2020-05-07,29.91631
2020-05-08,24.47698
2020-05-09,15.06276
2020-05-10,15.06276
2020-05-11,35.56485
2020-05-12,28.87029
2020-05-13,26.15062
2020-05-14,27.61506
2020-05-15,28.66108
2020-05-16,12.13389
2020-05-17,13.59832
2020-05-18,20.71129
2020-05-19,27.19665
2020-05-20,21.75732
2020-05-21,23.43096
2020-05-22,17.78242
2020-05-23,11.08786
2020-05-24,13.38912
2020-05-25,33.05439
2020-05-26,25.52301
2020-05-27,30.33472
2020-05-28,24.89539
2020-05-29,18.82845
2020-05-30,9.62343
2020-05-31,10.87866
2020-06-01,31.17154
2020-06-02,32.42677
2020-06-03,33.682
2020-06-04,27.19665
2020-06-05,25.73221
2020-06-06,9.20502
2020-06-07,10.46025
2020-06-08,32.42677
2020-06-09,36.82008
2020-06-10,27.19665
2020-06-11,26.98744
2020-06-12,21.54811
2020-06-13,8.78661
2020-06-14,13.38912
2020-06-15,35.56485
2020-06-16,26.35983
2020-06-17,25.3138
2020-06-18,22.17573
2020-06-19,16.52719
2020-06-20,10.66945
2020-06-21,10.25104
2020-06-22,29.4979
2020-06-23,30.75313
2020-06-24,25.94142
2020-06-25,26.35983
2020-06-26,17.36401
2020-06-27,12.13389
2020-06-28,13.80753
2020-06-29,23.22175
2020-06-30,27.19665
2020-07-01,24.68619
2020-07-02,23.43096
2020-07-03,24.68619
2020-07-04,11.50627
2020-07-05,12.7615
2020-07-06,28.03347
2020-07-07,17.78242
2020-07-08,18.61924
2020-07-09,21.96652
2020-07-10,20.50209
2020-07-11,11.08786
2020-07-12,10.46025
2020-07-13,27.19665
2020-07-14,27.19665
2020-07-15,31.38075
2020-07-16,20.08368
2020-07-17,17.36401
2020-07-18,9.62343
2020-07-19,10.04184
2020-07-20,20.9205
2020-07-21,19.87447
2020-07-22,21.54811
2020-07-23,19.66527
2020-07-24,17.99163
2020-07-25,8.3682
2020-07-26,6.06694
2020-07-27,23.22175
2020-07-28,21.54811
2020-07-29,21.33891
2020-07-30,16.52719
2020-07-31,16.9456
2020-08-01,11.50627
2020-08-02,7.94979
2020-08-03,22.59414
2020-08-04,24.26778
2020-08-05,20.08368
2020-08-06,18.61924
2020-08-07,16.10878
2020-08-08,6.27615
2020-08-09,8.15899
2020-08-10,24.68619
2020-08-11,14.43514
2020-08-12,20.50209
2020-08-13,21.1297
2020-08-14,19.87447
2020-08-15,11.71548
2020-08-16,9.62343
2020-08-17,14.85355
2020-08-18,26.56903
2020-08-19,23.84937
2020-08-20,16.31799
2020-08-21,18.61924
2020-08-22,10.66945
2020-08-23,12.34309
2020-08-24,25.52301
2020-08-25,23.01255
2020-08-26,19.45606
2020-08-27,24.89539
2020-08-28,22.80334
2020-08-29,11.08786
2020-08-30,11.50627
2020-08-31,22.17573
2020-09-01,23.43096
2020-09-02,25.94142
2020-09-03,20.9205
2020-09-04,17.99163
2020-09-05,11.71548
2020-09-06,9.83263
2020-09-07,25.1046
2020-09-08,18.82845
2020-09-09,19.03765
2020-09-10,18.41004
2020-09-11,16.52719
2020-09-12,10.87866
2020-09-13,11.92468
2020-09-14,31.17154
2020-09-15,32.21757
2020-09-16,27.82426
2020-09-17,20.71129
2020-09-18,20.50209
2020-09-19,12.34309
2020-09-20,17.36401
2020-09-21,27.40585
2020-09-22,24.05857
2020-09-23,21.96652
2020-09-24,22.17573
2020-09-25,20.08368
2020-09-26,9.62343
2020-09-27,15.69037
2020-09-28,23.84937
2020-09-29,23.22175
2020-09-30,6.27615
2020-10-01,5.23012
2020-10-02,4.60251
2020-10-03,8.15899
2020-10-04,15.89958
2020-10-05,33.4728
2020-10-06,27.40585
2020-10-07,29.4979
2020-10-08,24.26778
2020-10-09,11.71548
2020-10-10,10.87866
2020-10-11,12.5523
2020-10-12,30.54393
2020-10-13,32.21757
2020-10-14,27.40585
2020-10-15,20.9205
2020-10-16,15.27196
2020-10-17,14.43514
2020-10-18,10.04184
2020-10-19,29.70711
2020-10-20,24.68619
2020-10-21,20.71129
2020-10-22,20.08368
2020-10-23,18.82845
2020-10-24,6.48535
2020-10-25,11.50627
2020-10-26,25.1046
2020-10-27,23.22175
2020-10-28,27.19665
2020-10-29,16.31799
2020-10-30,17.36401
2020-10-31,10.04184
2020-11-01,9.20502
2020-11-02,27.19665
2020-11-03,19.87447
2020-11-04,20.08368
2020-11-05,29.2887
2020-11-06,22.38493
2020-11-07,14.01673
2020-11-08,12.7615
2020-11-09,33.4728
2020-11-10,30.12552
2020-11-11,25.3138
2020-11-12,24.68619
2020-11-13,20.29288
2020-11-14,11.50627
2020-11-15,9.62343
2020-11-16,36.19246
2020-11-17,28.45188
2020-11-18,28.24267
2020-11-19,26.77824
2020-11-20,22.17573
2020-11-21,11.50627
2020-11-22,10.25104
2020-11-23,27.82426
2020-11-24,25.94142
2020-11-25,27.40585
2020-11-26,21.33891
2020-11-27,16.7364
2020-11-28,8.5774
2020-11-29,9.20502
2020-11-30,17.78242
2020-12-01,22.17573
2020-12-02,21.54811
2020-12-03,23.43096
2020-12-04,24.05857
2020-12-05,14.85355
2020-12-06,16.31799
2020-12-07,29.70711
2020-12-08,29.2887
2020-12-09,28.87029
2020-12-10,20.50209
2020-12-11,19.45606
2020-12-12,11.08786
2020-12-13,15.27196
2020-12-14,23.22175
2020-12-15,26.98744
2020-12-16,21.96652
2020-12-17,25.3138
2020-12-18,21.54811
2020-12-19,12.5523
2020-12-20,11.50627
2020-12-21,23.43096
2020-12-22,23.01255
2020-12-23,20.9205
2020-12-24,16.31799
2020-12-25,8.15899
2020-12-26,6.69456
2020-12-27,8.15899
2020-12-28,23.01255
2020-12-29,18.82845
2020-12-30,14.64435
2020-12-31,14.64435
2021-01-01,6.27615
2021-01-02,8.15899
2021-01-03,9.20502
2021-01-04,24.68619
2021-01-05,23.64016
2021-01-06,24.47698
2021-01-07,18.82845
2021-01-08,21.33891
2021-01-09,11.50627
2021-01-10,9.62343
2021-01-11,27.61506
2021-01-12,21.1297
2021-01-13,28.66108
2021-01-14,23.84937
2021-01-15,26.56903
2021-01-16,11.29707
2021-01-17,14.85355
2021-01-18,27.82426
2021-01-19,17.99163
2021-01-20,17.36401
2021-01-21,19.24686
2021-01-22,18.61924
2021-01-23,8.99581
2021-01-24,8.99581
2021-01-25,18.82845
2021-01-26,18.41004
2021-01-27,21.1297
2021-01-28,16.31799
2021-01-29,17.57322
2021-01-30,8.78661
