date,ART
2020-03-20,21.2237
2020-03-21,14.26386
2020-03-22,15.1434
2020-03-23,18.24091
2020-03-24,20.65009
2020-03-25,17.8585
2020-03-26,19.12045
2020-03-27,17.59082
2020-03-28,14.79923
2020-03-29,17.70554
2020-03-30,18.47036
2020-03-31,17.43785
2020-04-01,19.19694
2020-04-02,19.27342
2020-04-03,24.16826
2020-04-04,14.99043
2020-04-05,15.41108
2020-04-06,18.92925
2020-04-07,19.46462
2020-04-08,20.72657
2020-04-09,18.96749
2020-04-10,16.44359
2020-04-11,13.49904
2020-04-12,34.68451
2020-04-13,23.63288
2020-04-14,15.9847
2020-04-15,14.45506
2020-04-16,18.6998
2020-04-17,35.44933
2020-04-18,17.6673
2020-04-19,15.90822
2020-04-20,19.84703
2020-04-21,18.35564
2020-04-22,20.76481
2020-04-23,18.66156
2020-04-24,17.28489
2020-04-25,11.1281
2020-04-26,11.9694
2020-04-27,16.67304
2020-04-28,22.10325
2020-04-29,16.44359
2020-04-30,12.58126
2020-05-01,12.8107
2020-05-02,11.43403
2020-05-03,12.16061
2020-05-04,14.72275
2020-05-05,13.07839
2020-05-06,19.15869
2020-05-07,17.51434
2020-05-08,16.02294
2020-05-09,12.39005
2020-05-10,11.81644
2020-05-11,20.45889
2020-05-12,17.55258
2020-05-13,15.1434
2020-05-14,19.19694
2020-05-15,16.1759
2020-05-16,12.00764
2020-05-17,10.86042
2020-05-18,15.94646
2020-05-19,17.28489
2020-05-20,18.01147
2020-05-21,16.86424
2020-05-22,14.64627
2020-05-23,11.08986
2020-05-24,11.81644
2020-05-25,16.09942
2020-05-26,15.94646
2020-05-27,16.63479
2020-05-28,15.64053
2020-05-29,16.44359
2020-05-30,12.39005
2020-05-31,11.58699
2020-06-01,14.91395
2020-06-02,17.24665
2020-06-03,15.06692
2020-06-04,15.29636
2020-06-05,14.99043
2020-06-06,11.24282
2020-06-07,13.00191
2020-06-08,12.12237
2020-06-09,15.44933
2020-06-10,14.87571
2020-06-11,16.74952
2020-06-12,13.91969
2020-06-13,10.86042
2020-06-14,11.16634
2020-06-15,14.76099
2020-06-16,15.71701
2020-06-17,15.29636
2020-06-18,15.3346
2020-06-19,13.42256
2020-06-20,9.82791
2020-06-21,11.73996
2020-06-22,14.60803
2020-06-23,14.56978
2020-06-24,16.29063
2020-06-25,13.19311
2020-06-26,14.53154
2020-06-27,10.0956
2020-06-28,10.97514
2020-06-29,14.22562
2020-06-30,13.99617
2020-07-01,14.34034
2020-07-02,13.80497
2020-07-03,13.23135
2020-07-04,9.90439
2020-07-05,10.97514
2020-07-06,13.38432
2020-07-07,13.00191
2020-07-08,13.38432
2020-07-09,13.652
2020-07-10,13.19311
2020-07-11,10.17208
2020-07-12,10.13384
2020-07-13,13.80497
2020-07-14,12.96367
2020-07-15,14.91395
2020-07-16,12.73422
2020-07-17,13.72848
2020-07-18,11.70172
2020-07-19,9.2543
2020-07-20,11.93116
2020-07-21,13.38432
2020-07-22,14.53154
2020-07-23,11.85468
2020-07-24,12.6195
2020-07-25,9.10133
2020-07-26,9.71319
2020-07-27,12.16061
2020-07-28,12.54302
2020-07-29,13.19311
2020-07-30,12.54302
2020-07-31,9.71319
2020-08-01,9.86615
2020-08-02,9.4455
2020-08-03,12.04588
2020-08-04,13.88145
2020-08-05,13.99617
2020-08-06,12.6195
2020-08-07,11.81644
2020-08-08,11.70172
2020-08-09,9.2543
2020-08-10,12.69598
2020-08-11,13.15487
2020-08-12,12.88718
2020-08-13,12.31357
2020-08-14,13.26959
2020-08-15,9.98087
2020-08-16,8.45124
2020-08-17,11.08986
2020-08-18,12.73422
2020-08-19,12.08413
2020-08-20,14.07265
2020-08-21,13.19311
2020-08-22,9.52198
2020-08-23,8.91013
2020-08-24,12.65774
2020-08-25,13.38432
2020-08-26,13.49904
2020-08-27,14.34034
