date,후견인
2020-03-20,23.80952
2020-03-21,15.67944
2020-03-22,13.4727
2020-03-23,25.31939
2020-03-24,26.1324
2020-03-25,32.75261
2020-03-26,30.0813
2020-03-27,26.01626
2020-03-28,15.09872
2020-03-29,12.54355
2020-03-30,25.78397
2020-03-31,24.39024
2020-04-01,21.37049
2020-04-02,28.33914
2020-04-03,23.92566
2020-04-04,15.44715
2020-04-05,16.95702
2020-04-06,26.94541
2020-04-07,27.75842
2020-04-08,25.90011
2020-04-09,23.80952
2020-04-10,24.50638
2020-04-11,21.02206
2020-04-12,16.84088
2020-04-13,23.57723
2020-04-14,23.92566
2020-04-15,17.53774
2020-04-16,25.55168
2020-04-17,26.01626
2020-04-18,16.60859
2020-04-19,16.02787
2020-04-20,26.82926
2020-04-21,26.1324
2020-04-22,27.1777
2020-04-23,29.96515
2020-04-24,59.1173
2020-04-25,16.95702
2020-04-26,15.91173
2020-04-27,24.62253
2020-04-28,26.24854
2020-04-29,21.13821
2020-04-30,15.44715
2020-05-01,17.77003
2020-05-02,13.82113
2020-05-03,17.53774
2020-05-04,22.29965
2020-05-05,18.93147
2020-05-06,21.02206
2020-05-07,21.83507
2020-05-08,25.20325
2020-05-09,13.24041
2020-05-10,14.63414
2020-05-11,24.39024
2020-05-12,27.29384
2020-05-13,22.53193
2020-05-14,26.94541
2020-05-15,28.68757
2020-05-16,15.21486
2020-05-17,15.44715
2020-05-18,26.94541
2020-05-19,27.06155
2020-05-20,27.1777
2020-05-21,23.11265
2020-05-22,20.78977
2020-05-23,13.4727
2020-05-24,15.21486
2020-05-25,23.92566
2020-05-26,24.73867
2020-05-27,22.88037
2020-05-28,24.62253
2020-05-29,19.39605
2020-05-30,16.3763
2020-05-31,13.58885
2020-06-01,20.78977
2020-06-02,23.2288
2020-06-03,27.40998
2020-06-04,24.15795
2020-06-05,20.3252
2020-06-06,15.33101
2020-06-07,16.49245
2020-06-08,24.50638
2020-06-09,20.3252
2020-06-10,21.60278
2020-06-11,22.76422
2020-06-12,17.53774
2020-06-13,15.56329
2020-06-14,17.53774
2020-06-15,25.31939
2020-06-16,22.99651
2020-06-17,24.04181
2020-06-18,23.57723
2020-06-19,21.02206
2020-06-20,17.77003
2020-06-21,18.93147
2020-06-22,24.04181
2020-06-23,27.40998
2020-06-24,26.82926
2020-06-25,22.53193
2020-06-26,20.67363
2020-06-27,12.07897
2020-06-28,13.4727
2020-06-29,19.86062
