date,KODEX레버리지
2020-11-07,1.25401
2020-11-08,1.27793
2020-11-09,8.56625
2020-11-10,7.65393
2020-11-11,8.07079
2020-11-12,6.89537
2020-11-13,6.68352
2020-11-14,2.51144
2020-11-15,2.19708
2020-11-16,11.43306
2020-11-17,9.09929
2020-11-18,7.7701
2020-11-19,6.28374
2020-11-20,5.41242
2020-11-21,1.16859
2020-11-22,1.37702
2020-11-23,9.92619
2020-11-24,9.85443
2020-11-25,9.93986
2020-11-26,8.01954
2020-11-27,6.69377
2020-11-28,1.80072
2020-11-29,1.74263
2020-11-30,7.29857
2020-12-01,7.64026
2020-12-02,9.87152
2020-12-03,9.70067
2020-12-04,11.54923
2020-12-05,2.89756
2020-12-06,2.78138
2020-12-07,9.59475
2020-12-08,8.597
2020-12-09,9.21888
2020-12-10,9.69725
2020-12-11,8.71318
2020-12-12,2.14925
2020-12-13,2.12533
2020-12-14,7.86919
2020-12-15,6.5981
2020-12-16,5.93521
2020-12-17,5.85662
2020-12-18,5.56276
2020-12-19,1.24376
2020-12-20,1.3531
2020-12-21,6.63568
2020-12-22,6.36916
2020-12-23,6.56734
2020-12-24,7.18239
2020-12-25,2.16975
2020-12-26,1.74605
2020-12-27,2.2005
2020-12-28,8.25873
2020-12-29,9.21205
2020-12-30,10.14487
2020-12-31,3.23925
2021-01-01,1.89981
2021-01-02,2.37818
2021-01-03,2.52853
2021-01-04,12.11986
2021-01-05,11.97977
2021-01-06,12.58798
2021-01-07,13.68482
2021-01-08,20.43326
2021-01-09,6.89195
2021-01-10,6.61518
2021-01-11,21.87863
2021-01-12,14.92175
2021-01-13,17.19401
2021-01-14,14.01284
2021-01-15,12.48889
2021-01-16,3.85088
2021-01-17,3.229
2021-01-18,12.24629
2021-01-19,12.74516
2021-01-20,10.78384
2021-01-21,10.24396
2021-01-22,8.67901
2021-01-23,2.18342
2021-01-24,2.11166
2021-01-25,11.12212
2021-01-26,11.90118
2021-01-27,11.45356
2021-01-28,11.15287
2021-01-29,13.08002
2021-01-30,4.97505
2021-01-31,4.53085
2021-02-01,12.73491
2021-02-02,11.84309
2021-02-03,10.22005
2021-02-04,9.37948
2021-02-05,8.31681
2021-02-06,2.10824
2021-02-07,2.08432
2021-02-08,6.71085
2021-02-09,6.81678
2021-02-10,6.56734
2021-02-11,1.34627
2021-02-12,1.09341
2021-02-13,1.12417
2021-02-14,1.18225
2021-02-15,7.03546
2021-02-16,6.67668
2021-02-17,6.6596
2021-02-18,6.61518
2021-02-19,7.05938
2021-02-20,1.47269
2021-02-21,1.3326
2021-02-22,6.80995
2021-02-23,7.59584
2021-02-24,8.75076
2021-02-25,9.71434
2021-02-26,11.04011
2021-02-27,2.55928
2021-02-28,2.02965
2021-03-01,2.44994
2021-03-02,9.10271
2021-03-03,7.50358
2021-03-04,7.51725
2021-03-05,7.66076
2021-03-06,1.85539
2021-03-07,1.97498
2021-03-08,7.22681
2021-03-09,8.7781
2021-03-10,8.49449
2021-03-11,9.23939
2021-03-12,7.79402
2021-03-13,1.91006
2021-03-14,1.71871
2021-03-15,6.04455
2021-03-16,6.28032
2021-03-17,6.16073
2021-03-18,7.2439
2021-03-19,6.62543
2021-03-20,1.4932
2021-03-21,1.34285
2021-03-22,5.72678
2021-03-23,6.50242
2021-03-24,6.6186
2021-03-25,6.63568
2021-03-26,5.90104
2021-03-27,1.44536
2021-03-28,1.22667
2021-03-29,5.29283
2021-03-30,5.44659
2021-03-31,5.20057
2021-04-01,4.87254
2021-04-02,4.92038
2021-04-03,0.98749
2021-04-04,1.22326
2021-04-05,4.88621
2021-04-06,4.65044
2021-04-07,4.34975
2021-04-08,4.31558
2021-04-09,4.3395
2021-04-10,0.91573
2021-04-11,0.77564
2021-04-12,4.0969
2021-04-13,4.79395
2021-04-14,4.54793
2021-04-15,4.01148
2021-04-16,4.01831
2021-04-17,1.03874
2021-04-18,1.06608
2021-04-19,4.21649
2021-04-20,4.18916
2021-04-21,5.47051
2021-04-22,4.66753
2021-04-23,4.14132
2021-04-24,1.01824
2021-04-25,0.74489
2021-04-26,4.38734
2021-04-27,3.62536
2021-04-28,4.02173
2021-04-29,3.64586
2021-04-30,3.68345
2021-05-01,0.83714
2021-05-02,0.77222
2021-05-03,4.21308
2021-05-04,3.67662
2021-05-05,1.12075
2021-05-06,3.51602
2021-05-07,3.46477
2021-05-08,0.76539
2021-05-09,0.66288
2021-05-10,4.66753
2021-05-11,5.22449
2021-05-12,5.9933
2021-05-13,6.82703
2021-05-14,4.7427
2021-05-15,1.00116
2021-05-16,0.82689
2021-05-17,4.25408
2021-05-18,4.34634
2021-05-19,1.14125
2021-05-20,3.87138
2021-05-21,4.09007
2021-05-22,0.88498
2021-05-23,0.79272
2021-05-24,3.6322
2021-05-25,3.66295
2021-05-26,3.6322
2021-05-27,3.40326
2021-05-28,3.38618
2021-05-29,0.60138
2021-05-30,0.56037
2021-05-31,3.33151
2021-06-01,3.75179
2021-06-02,3.25292
2021-06-03,4.14815
2021-06-04,3.64586
2021-06-05,0.66971
2021-06-06,0.75855
2021-06-07,3.4511
2021-06-08,3.00006
2021-06-09,2.80188
2021-06-10,2.94198
2021-06-11,2.94198
2021-06-12,0.50912
2021-06-13,0.56037
2021-06-14,2.63787
2021-06-15,2.95906
2021-06-16,3.05473
2021-06-17,3.27
2021-06-18,2.51144
2021-06-19,0.8884
2021-06-20,0.61846
2021-06-21,2.8873
2021-06-22,2.83605
2021-06-23,3.06499
2021-06-24,2.85997
2021-06-25,3.16749
2021-06-26,0.83373
2021-06-27,0.63896
2021-06-28,2.49777
2021-06-29,2.3611
2021-06-30,2.31326
2021-07-01,2.30643
2021-07-02,1.83147
2021-07-03,0.44078
2021-07-04,0.39978
2021-07-05,1.98865
2021-07-06,1.98865
2021-07-07,1.87931
2021-07-08,2.69937
2021-07-09,3.74496
2021-07-10,0.71755
2021-07-11,0.51937
2021-07-12,2.86339
2021-07-13,2.79505
2021-07-14,2.33376
2021-07-15,2.54219
2021-07-16,1.9784
2021-07-17,0.5057
2021-07-18,0.43736
2021-07-19,2.70962
2021-07-20,3.0069
2021-07-21,2.86339
2021-07-22,2.68912
2021-07-23,2.18683
2021-07-24,0.33485
2021-07-25,0.35536
2021-07-26,2.30301
2021-07-27,2.54219
2021-07-28,2.52511
2021-07-29,2.02624
2021-07-30,2.79505
2021-07-31,0.64238
2021-08-01,0.43736
2021-08-02,2.62762
2021-08-03,2.8258
2021-08-04,3.07524
2021-08-05,2.46702
2021-08-06,2.221
2021-08-07,0.38611
2021-08-08,0.52279
2021-08-09,2.18342
2021-08-10,2.42944
2021-08-11,3.06157
2021-08-12,3.11966
2021-08-13,4.42492
2021-08-14,0.70047
2021-08-15,0.63554
2021-08-16,1.1105
2021-08-17,4.24724
2021-08-18,4.03539
2021-08-19,5.18007
2021-08-20,5.74044
2021-08-21,1.49661
2021-08-22,1.43852
2021-08-23,4.67094
2021-08-24,4.50351
2021-08-25,3.42718
2021-08-26,3.33492
2021-08-27,3.01715
2021-08-28,0.82689
2021-08-29,0.73805
2021-08-30,2.67545
2021-08-31,3.34176
2021-09-01,3.36568
2021-09-02,2.87022
2021-09-03,2.73013
2021-09-04,0.4852
2021-09-05,0.49887
2021-09-06,2.53194
2021-09-07,2.06041
2021-09-08,2.49094
2021-09-09,3.31442
2021-09-10,2.69937
2021-09-11,0.79614
2021-09-12,0.64238
2021-09-13,2.31326
2021-09-14,2.7848
2021-09-15,2.53536
2021-09-16,2.67887
2021-09-17,2.43627
2021-09-18,0.4852
2021-09-19,0.34169
2021-09-20,0.9704
2021-09-21,1.45903
2021-09-22,1.10025
2021-09-23,2.80872
2021-09-24,2.39868
2021-09-25,0.59112
2021-09-26,0.51937
2021-09-27,2.34743
2021-09-28,3.04107
2021-09-29,4.42151
2021-09-30,3.09232
2021-10-01,3.86113
2021-10-02,1.04899
2021-10-03,0.76539
2021-10-04,1.4932
2021-10-05,4.99897
2021-10-06,6.21198
2021-10-07,4.9033
2021-10-08,3.68687
2021-10-09,0.70388
2021-10-10,0.7278
2021-10-11,0.96699
2021-10-12,3.84746
2021-10-13,3.01373
2021-10-14,2.90439
2021-10-15,2.80188
2021-10-16,0.69705
2021-10-17,0.51254
2021-10-18,2.221
2021-10-19,2.56611
2021-10-20,2.44652
2021-10-21,2.25859
2021-10-22,2.20733
2021-10-23,0.5467
2021-10-24,0.56721
2021-10-25,2.26201
2021-10-26,2.45677
2021-10-27,2.18342
2021-10-28,2.06724
2021-10-29,2.49094
2021-10-30,0.63896
2021-10-31,0.55354
2021-11-01,2.43627
2021-11-02,2.61053
2021-11-03,2.83947
2021-11-04,2.82238
2021-11-05,2.33034
2021-11-06,0.56037
2021-11-07,0.48178
2021-11-08,2.73696
2021-11-09,2.34401
2021-11-10,2.41918
2021-11-11,2.43969
2021-11-12,2.50461
2021-11-13,0.48178
2021-11-14,0.39978
2021-11-15,2.37476
2021-11-16,2.10824
2021-11-17,2.22784
2021-11-18,2.18683
2021-11-19,2.12875
2021-11-20,0.45103
2021-11-21,0.29385
2021-11-22,2.84288
2021-11-23,2.19025
2021-11-24,2.07066
2021-11-25,1.98182
2021-11-26,2.93856
2021-11-27,1.5752
2021-11-28,1.33602
2021-11-29,3.86455
2021-11-30,6.04113
2021-12-01,5.10148
2021-12-02,4.14815
2021-12-03,3.66978
2021-12-04,1.08658
2021-12-05,1.02508
2021-12-06,3.39984
2021-12-07,3.27
2021-12-08,3.6322
2021-12-09,4.03539
2021-12-10,2.50119
2021-12-11,0.64921
2021-12-12,0.52962
2021-12-13,2.94198
2021-12-14,2.77113
2021-12-15,2.72671
2021-12-16,2.8258
2021-12-17,2.76771
2021-12-18,0.57746
2021-12-19,0.43053
2021-12-20,2.88047
2021-12-21,2.62078
2021-12-22,2.41918
2021-12-23,2.14583
2021-12-24,2.31326
2021-12-25,0.53645
2021-12-26,0.5467
2021-12-27,2.54219
2021-12-28,2.95564
2021-12-29,3.34176
2021-12-30,3.14016
2021-12-31,0.66971
2022-01-01,0.59796
2022-01-02,0.80981
2022-01-03,2.50802
2022-01-04,2.26201
2022-01-05,2.83263
2022-01-06,3.13674
2022-01-07,2.41918
2022-01-08,0.52279
2022-01-09,0.45786
2022-01-10,3.0274
2022-01-11,2.76088
2022-01-12,2.68571
2022-01-13,2.29617
2022-01-14,2.53194
2022-01-15,0.61163
2022-01-16,0.58771
2022-01-17,2.9864
2022-01-18,3.62536
2022-01-19,3.76546
2022-01-20,3.69712
2022-01-21,5.50126
2022-01-22,2.50119
2022-01-23,1.59912
2022-01-24,6.24615
2022-01-25,10.63008
2022-01-26,7.21656
2022-01-27,12.20528
2022-01-28,10.20979
2022-01-29,1.89298
2022-01-30,1.14808
2022-01-31,1.19251
2022-02-01,1.40094
2022-02-02,2.17658
2022-02-03,7.548
2022-02-04,6.11972
2022-02-05,1.40777
2022-02-06,1.23351
2022-02-07,5.35433
2022-02-08,4.69828
2022-02-09,4.86571
2022-02-10,5.26891
2022-02-11,4.30875
2022-02-12,1.38044
2022-02-13,1.48294
2022-02-14,4.99555
2022-02-15,5.13565
2022-02-16,5.15957
2022-02-17,5.82245
2022-02-18,4.64019
2022-02-19,1.69821
2022-02-20,1.42827
2022-02-21,4.54793
2022-02-22,5.92838
2022-02-23,4.42151
2022-02-24,7.2644
2022-02-25,5.99671
2022-02-26,1.16859
2022-02-27,1.35993
2022-02-28,4.41809
2022-03-01,1.40094
2022-03-02,3.98756
2022-03-03,4.19599
2022-03-04,4.19941
2022-03-05,1.10025
2022-03-06,1.02849
2022-03-07,5.80537
2022-03-08,5.66527
2022-03-09,1.47953
2022-03-10,5.03656
2022-03-11,4.07298
2022-03-12,0.98066
2022-03-13,0.95332
2022-03-14,4.06615
2022-03-15,3.97047
2022-03-16,4.71536
2022-03-17,5.34408
2022-03-18,3.99097
2022-03-19,0.98749
2022-03-20,0.96357
2022-03-21,3.88847
2022-03-22,3.6322
2022-03-23,3.97389
2022-03-24,3.46135
2022-03-25,3.6527
2022-03-26,0.62871
2022-03-27,0.61846
2022-03-28,2.73354
2022-03-29,3.03765
2022-03-30,3.44426
2022-03-31,2.82238
2022-04-01,2.69254
2022-04-02,0.48862
2022-04-03,0.4442
2022-04-04,2.67204
2022-04-05,2.8463
2022-04-06,2.91122
2022-04-07,3.51944
2022-04-08,3.16749
2022-04-09,0.67313
2022-04-10,0.49203
2022-04-11,3.03423
2022-04-12,3.80646
2022-04-13,3.46818
2022-04-14,3.37251
2022-04-15,3.06157
2022-04-16,0.51254
2022-04-17,0.45103
2022-04-18,3.23241
2022-04-19,3.03423
2022-04-20,3.21191
2022-04-21,3.14357
2022-04-22,2.98981
2022-04-23,0.95674
2022-04-24,0.63554
2022-04-25,3.73812
2022-04-26,3.57069
2022-04-27,4.73587
2022-04-28,4.1174
2022-04-29,3.4511
2022-04-30,1.07975
