date,오피스텔투자
2020-03-20,32.30769
2020-03-21,37.36263
2020-03-22,40.21978
2020-03-23,48.13186
2020-03-24,42.1978
2020-03-25,48.7912
2020-03-26,47.6923
2020-03-27,39.56043
2020-03-28,41.75824
2020-03-29,34.28571
2020-03-30,44.17582
2020-03-31,39.78021
2020-04-01,40.43956
2020-04-02,42.1978
2020-04-03,37.58241
2020-04-04,38.24175
2020-04-05,39.56043
2020-04-06,43.2967
2020-04-07,38.90109
2020-04-08,41.97802
2020-04-09,40.43956
2020-04-10,38.68131
2020-04-11,42.85714
2020-04-12,50.10989
2020-04-13,44.17582
2020-04-14,46.37362
2020-04-15,46.15384
2020-04-16,42.63736
2020-04-17,45.4945
2020-04-18,40.43956
2020-04-19,56.70329
2020-04-20,64.3956
2020-04-21,49.23076
2020-04-22,51.86813
2020-04-23,44.83516
2020-04-24,55.60439
2020-04-25,54.94505
2020-04-26,64.3956
2020-04-27,70.76923
2020-04-28,60.21978
2020-04-29,46.15384
2020-04-30,50.76923
2020-05-01,49.45054
2020-05-02,44.3956
2020-05-03,57.80219
2020-05-04,54.72527
2020-05-05,51.20879
2020-05-06,55.60439
2020-05-07,47.47252
2020-05-08,43.73626
2020-05-09,41.53846
2020-05-10,50.98901
2020-05-11,60.21978
2020-05-12,52.52747
2020-05-13,49.01098
2020-05-14,47.03296
2020-05-15,40.43956
2020-05-16,52.74725
2020-05-17,56.92307
2020-05-18,52.96703
2020-05-19,64.61538
2020-05-20,48.13186
2020-05-21,50.10989
2020-05-22,47.6923
2020-05-23,44.83516
2020-05-24,68.13186
2020-05-25,62.63736
2020-05-26,64.61538
2020-05-27,67.6923
2020-05-28,44.61538
2020-05-29,49.45054
2020-05-30,44.3956
2020-05-31,49.8901
2020-06-01,59.78021
2020-06-02,50.76923
2020-06-03,62.41758
2020-06-04,57.80219
2020-06-05,80.0
2020-06-06,67.91208
2020-06-07,63.95604
2020-06-08,75.16483
2020-06-09,62.85714
2020-06-10,68.13186
2020-06-11,76.48351
2020-06-12,63.07692
2020-06-13,55.16483
2020-06-14,58.90109
2020-06-15,73.84615
