date,세이코인
2020-04-01,0.02305
2021-02-17,0.02305
2021-02-18,0.0415
2021-02-21,0.02305
2021-03-20,0.03228
2021-04-02,1.64645
2021-04-03,0.35972
2021-04-04,0.10607
2021-04-05,0.26287
2021-04-06,0.02767
2021-04-07,0.62721
2021-04-08,0.03689
2021-04-09,0.10607
2021-04-10,0.03228
2021-04-11,0.02305
2021-04-12,0.05073
2021-04-15,0.02305
2021-04-20,0.17986
2021-04-21,0.02767
2021-04-22,0.02305
2021-11-15,0.0415
2021-11-16,0.02305
2021-11-22,0.02305
2021-11-28,0.03689
2021-12-01,0.02767
2021-12-04,0.02305
2021-12-29,0.02767
2023-05-14,0.05073
2023-05-15,0.03689
2023-05-19,0.03689
2023-05-22,0.03228
2023-05-25,0.02305
2023-05-29,0.02305
2023-05-30,0.0415
2023-06-06,0.02305
2023-07-28,0.02305
2023-08-02,0.02305
2023-08-07,0.02305
2023-08-14,3.19605
2023-08-15,13.22695
2023-08-16,100.0
2023-08-17,49.13526
2023-08-18,26.30171
2023-08-19,11.73269
2023-08-20,11.24844
2023-08-21,15.02559
2023-08-22,10.44597
2023-08-23,8.82719
2023-08-24,6.63192
2023-08-25,9.33911
2023-08-26,9.39906
2023-08-27,9.95249
2023-08-28,10.22459
2023-08-29,11.2346
2023-08-30,14.64741
2023-08-31,10.22459
2023-09-01,8.14001
2023-09-02,6.99626
2023-09-03,4.45971
2023-09-04,5.07771
2023-09-05,4.30291
2023-09-06,3.57422
2023-09-07,4.7272
2023-09-08,3.42203
2023-09-09,2.43969
2023-09-10,3.07614
2023-09-11,4.09537
2023-09-12,3.75409
2023-09-13,4.00313
2023-09-14,3.99391
2023-09-15,4.07692
2023-09-16,6.15228
2023-09-17,4.93012
2023-09-18,3.35746
2023-09-19,2.50426
2023-09-20,2.67951
2023-09-21,2.82709
2023-09-22,2.33823
2023-09-23,2.26444
2023-09-24,2.17682
2023-09-25,2.87321
2023-09-26,2.29673
2023-09-27,2.1307
2023-09-28,1.63722
2023-09-29,2.12147
2023-09-30,1.54498
2023-10-01,1.628
2023-10-02,2.20449
2023-10-03,1.8217
2023-10-04,2.22293
2023-10-05,1.72485
2023-10-06,1.67412
2023-10-07,1.50348
2023-10-08,1.33284
2023-10-09,1.97389
2023-10-10,2.49043
2023-10-11,3.26523
2023-10-12,2.33362
2023-10-13,1.80325
2023-10-14,1.4343
2023-10-15,1.68334
2023-10-16,1.77097
2023-10-17,2.56422
2023-10-18,2.75792
2023-10-19,4.12765
2023-10-20,2.3244
2023-10-21,1.48042
2023-10-22,2.22293
2023-10-23,2.62417
2023-10-24,3.04847
2023-10-25,2.5965
2023-10-26,2.44892
2023-10-27,1.75713
2023-10-28,1.63261
2023-10-29,1.9001
2023-10-30,2.49965
2023-10-31,2.87321
2023-11-01,2.0154
2023-11-02,2.34746
2023-11-03,1.86782
2023-11-04,1.91855
2023-11-05,3.03463
2023-11-06,2.99774
2023-11-07,2.9839
2023-11-08,2.58266
2023-11-09,3.41742
2023-11-10,3.2929
2023-11-11,2.71641
2023-11-12,2.61033
2023-11-13,7.1669
2023-11-14,8.49974
2023-11-15,5.16072
2023-11-16,8.83641
2023-11-17,4.16455
2023-11-18,3.07614
2023-11-19,2.18143
2023-11-20,4.56578
2023-11-21,8.87331
2023-11-22,5.57579
2023-11-23,15.38993
2023-11-24,15.87879
2023-11-25,13.43448
2023-11-26,8.00166
2023-11-27,8.18152
2023-11-28,8.20458
2023-11-29,20.20015
2023-11-30,10.8057
2023-12-01,9.50514
2023-12-02,5.94474
2023-12-03,8.34294
2023-12-04,21.27473
2023-12-05,12.56283
2023-12-06,12.82571
2023-12-07,9.46363
2023-12-08,7.64654
2023-12-09,6.15689
2023-12-10,7.29603
2023-12-11,7.28681
2023-12-12,5.55734
2023-12-13,6.59502
2023-12-14,6.77028
2023-12-15,4.9993
2023-12-16,4.28446
2023-12-17,4.33519
2023-12-18,5.2299
2023-12-19,22.47843
2023-12-20,17.99566
2023-12-21,13.73887
2023-12-22,11.57588
2023-12-23,7.24069
2023-12-24,7.06083
2023-12-25,8.19074
2023-12-26,17.29465
2023-12-27,17.742
2023-12-28,12.38297
2023-12-29,17.96799
2023-12-30,16.62131
2023-12-31,20.15864
2024-01-01,26.9566
2024-01-02,41.53484
2024-01-03,22.13254
2024-01-04,22.35852
2024-01-05,16.21085
2024-01-06,14.51367
2024-01-07,13.69275
2024-01-08,13.04708
2024-01-09,12.79343
2024-01-10,11.22538
2024-01-11,14.45833
2024-01-12,9.96172
2024-01-13,8.15385
2024-01-14,8.41673
2024-01-15,9.11313
2024-01-16,13.75732
2024-01-17,9.69423
2024-01-18,11.0778
2024-01-19,9.71267
2024-01-20,9.03011
2024-01-21,7.04699
2024-01-22,10.68579
2024-01-23,9.47285
2024-01-24,10.42291
2024-01-25,8.05239
2024-01-26,6.77028
2024-01-27,7.0516
2024-01-28,6.90402
2024-01-29,7.09311
2024-01-30,10.78264
2024-01-31,9.71267
2024-02-01,9.09007
2024-02-02,7.17612
2024-02-03,6.72877
2024-02-04,5.33597
2024-02-05,7.62348
2024-02-06,6.42899
2024-02-07,6.69649
2024-02-08,6.58119
2024-02-09,6.73799
2024-02-10,7.28681
2024-02-11,5.8894
2024-02-12,5.50661
2024-02-13,11.0778
2024-02-14,13.47599
2024-02-15,20.80431
2024-02-16,18.01872
2024-02-17,10.92099
2024-02-18,9.38523
2024-02-19,15.18701
2024-02-20,10.3814
2024-02-21,9.54203
2024-02-22,9.03933
2024-02-23,8.23225
2024-02-24,8.26915
2024-02-25,6.79334
2024-02-26,6.80717
2024-02-27,10.68117
