date,실비보험
2020-11-07,6.63411
2020-11-08,6.50813
2020-11-09,15.62266
2020-11-10,13.32335
2020-11-11,12.59498
2020-11-12,12.69735
2020-11-13,10.84294
2020-11-14,7.00814
2020-11-15,6.0396
2020-11-16,12.65404
2020-11-17,13.12256
2020-11-18,11.68156
2020-11-19,11.33115
2020-11-20,10.08701
2020-11-21,6.47269
2020-11-22,6.03567
2020-11-23,12.39812
2020-11-24,12.07527
2020-11-25,12.85877
2020-11-26,12.37844
2020-11-27,11.20122
2020-11-28,7.01996
2020-11-29,6.38607
2020-11-30,13.08319
2020-12-01,11.71699
2020-12-02,12.43356
2020-12-03,11.26816
2020-12-04,11.0713
2020-12-05,7.09476
2020-12-06,7.08689
2020-12-07,12.42568
2020-12-08,12.98082
2020-12-09,18.62278
2020-12-10,23.54423
2020-12-11,16.05181
2020-12-12,8.55545
2020-12-13,9.08697
2020-12-14,15.78408
2020-12-15,15.59903
2020-12-16,15.10295
2020-12-17,15.26831
2020-12-18,12.45718
2020-12-19,7.21288
2020-12-20,6.9294
2020-12-21,14.65018
2020-12-22,15.37855
2020-12-23,14.73286
2020-12-24,12.04378
2020-12-25,6.42151
2020-12-26,7.53572
2020-12-27,8.39796
2020-12-28,19.99685
2020-12-29,20.09527
2020-12-30,20.28426
2020-12-31,14.33127
2021-01-01,6.59081
2021-01-02,8.68931
2021-01-03,8.08693
2021-01-04,14.31946
2021-01-05,14.27615
2021-01-06,13.1265
2021-01-07,12.09102
2021-01-08,10.94531
2021-01-09,7.36643
2021-01-10,6.33883
2021-01-11,12.89814
2021-01-12,13.32335
2021-01-13,14.03598
2021-01-14,13.09894
2021-01-15,13.01626
2021-01-16,8.95704
2021-01-17,7.90188
2021-01-18,15.06358
2021-01-19,15.38249
2021-01-20,14.536
2021-01-21,14.49663
2021-01-22,14.23284
2021-01-23,8.87436
2021-01-24,7.92157
2021-01-25,15.49273
2021-01-26,16.95342
2021-01-27,14.69742
2021-01-28,13.13437
2021-01-29,11.90204
2021-01-30,7.66565
2021-01-31,7.205
2021-02-01,13.49659
2021-02-02,13.56746
2021-02-03,13.44147
2021-02-04,12.48868
2021-02-05,11.0083
2021-02-06,7.53966
2021-02-07,6.97271
2021-02-08,12.77215
2021-02-09,11.65006
2021-02-10,10.0122
2021-02-11,5.1498
2021-02-12,5.93724
2021-02-13,5.86243
2021-02-14,6.6538
2021-02-15,15.27619
2021-02-16,15.79196
2021-02-17,14.5675
2021-02-18,15.34706
2021-02-19,16.30772
2021-02-20,10.47679
2021-02-21,7.55541
2021-02-22,15.73684
2021-02-23,19.3354
2021-02-24,19.21335
2021-02-25,21.13862
2021-02-26,16.43765
2021-02-27,10.13425
2021-02-28,9.91771
2021-03-01,11.1461
2021-03-02,17.46131
2021-03-03,15.65022
2021-03-04,14.65412
2021-03-05,13.09106
2021-03-06,8.61057
