date,김프
2020-11-07,0.03776
2020-11-08,0.04377
2020-11-09,0.07553
2020-11-10,0.06179
2020-11-11,0.07896
2020-11-12,0.06694
2020-11-13,0.06265
2020-11-14,0.03004
2020-11-15,0.04892
2020-11-16,0.05149
2020-11-17,0.0472
2020-11-18,0.11501
2020-11-19,0.05321
2020-11-20,0.08497
2020-11-21,0.09012
2020-11-22,0.10042
2020-11-23,0.09355
2020-11-24,0.20685
2020-11-25,0.12617
2020-11-26,0.28925
2020-11-27,0.16565
2020-11-28,0.07124
2020-11-29,0.06694
2020-11-30,0.05836
2020-12-01,0.09956
2020-12-02,0.05922
2020-12-03,0.08068
2020-12-04,0.0678
2020-12-05,0.06351
2020-12-06,0.04892
2020-12-07,0.0369
2020-12-08,0.05664
2020-12-09,0.06265
2020-12-10,0.05321
2020-12-11,0.04892
2020-12-12,0.04377
2020-12-13,0.04978
2020-12-14,0.03433
2020-12-15,0.04291
2020-12-16,0.06437
2020-12-17,0.09012
2020-12-18,0.06866
2020-12-19,0.03433
2020-12-20,0.04205
2020-12-21,0.09441
2020-12-22,0.08325
2020-12-23,0.15192
2020-12-24,0.17853
2020-12-25,0.06694
2020-12-26,0.07124
2020-12-27,0.1399
2020-12-28,0.09269
2020-12-29,0.1399
2020-12-30,0.15793
2020-12-31,0.08325
2021-01-01,0.06351
2021-01-02,0.10042
2021-01-03,0.55791
2021-01-04,1.10552
2021-01-05,0.42658
2021-01-06,0.45319
2021-01-07,0.49697
2021-01-08,0.52271
2021-01-09,0.58108
2021-01-10,0.41371
2021-01-11,0.58451
2021-01-12,0.42744
2021-01-13,0.29955
2021-01-14,0.36736
2021-01-15,0.315
2021-01-16,0.25063
2021-01-17,0.21028
2021-01-18,0.17681
2021-01-19,0.23174
2021-01-20,0.17252
2021-01-21,0.21887
2021-01-22,0.34933
2021-01-23,0.16823
2021-01-24,0.14849
2021-01-25,0.15106
2021-01-26,0.14505
2021-01-27,0.13647
2021-01-28,0.16136
2021-01-29,0.35105
2021-01-30,0.21629
2021-01-31,0.29612
2021-02-01,0.46349
2021-02-02,0.49697
2021-02-03,0.51327
2021-02-04,0.63258
2021-02-05,0.36135
2021-02-06,0.34332
2021-02-07,0.30213
2021-02-08,0.36307
2021-02-09,0.50126
2021-02-10,0.31758
2021-02-11,0.33646
2021-02-12,0.26007
2021-02-13,0.418
2021-02-14,0.33388
2021-02-15,0.45662
2021-02-16,0.3768
2021-02-17,0.48838
2021-02-18,0.35792
2021-02-19,0.45662
2021-02-20,1.25916
2021-02-21,1.1244
2021-02-22,1.70034
2021-02-23,1.22225
2021-02-24,0.84974
2021-02-25,0.81455
2021-02-26,0.85918
2021-02-27,0.4077
2021-02-28,0.87034
2021-03-01,0.73129
2021-03-02,0.54932
2021-03-03,0.60426
2021-03-04,0.53044
2021-03-05,0.88664
2021-03-06,0.46778
2021-03-07,0.36135
2021-03-08,0.42572
2021-03-09,0.57421
2021-03-10,0.63344
2021-03-11,0.92184
2021-03-12,1.52266
2021-03-13,1.56644
2021-03-14,1.23598
2021-03-15,1.73553
2021-03-16,1.7278
2021-03-17,1.24886
2021-03-18,1.28662
2021-03-19,1.29177
2021-03-20,1.33555
2021-03-21,1.95354
2021-03-22,1.68489
2021-03-23,6.743
2021-03-24,3.20412
2021-03-25,13.60015
2021-03-26,7.36528
2021-03-27,4.25814
2021-03-28,3.50883
2021-03-29,3.46591
2021-03-30,5.22033
2021-03-31,6.96616
2021-04-01,7.49832
2021-04-02,9.82009
2021-04-03,11.80196
2021-04-04,17.75015
2021-04-05,21.63322
2021-04-06,29.05429
2021-04-07,65.39834
2021-04-08,45.68262
2021-04-09,33.27038
2021-04-10,25.37895
2021-04-11,26.06389
2021-04-12,22.91813
2021-04-13,28.08181
2021-04-14,26.60807
2021-04-15,19.11832
2021-04-16,28.97533
2021-04-17,25.80897
2021-04-18,61.3831
2021-04-19,54.60147
2021-04-20,71.45983
2021-04-21,29.66799
2021-04-22,55.33105
2021-04-23,100.0
2021-04-24,41.59614
2021-04-25,36.3964
2021-04-26,38.05469
2021-04-27,32.06015
2021-04-28,31.73656
2021-04-29,21.87955
2021-04-30,16.46953
2021-05-01,15.47302
2021-05-02,15.59233
2021-05-03,18.52007
2021-05-04,33.38883
2021-05-05,32.57943
2021-05-06,36.28825
2021-05-07,36.89852
2021-05-08,22.74045
2021-05-09,36.52
2021-05-10,27.7977
2021-05-11,68.33553
2021-05-12,28.22429
2021-05-13,53.44102
2021-05-14,29.86026
2021-05-15,22.44347
2021-05-16,21.17745
2021-05-17,43.21236
2021-05-18,22.61428
2021-05-19,85.84622
2021-05-20,70.39809
2021-05-21,36.82042
2021-05-22,37.62209
2021-05-23,32.21207
2021-05-24,42.02787
2021-05-25,32.74423
2021-05-26,22.00916
2021-05-27,18.53123
2021-05-28,20.10711
2021-05-29,14.99751
2021-05-30,15.46958
2021-05-31,14.89279
2021-06-01,15.01124
2021-06-02,14.8679
2021-06-03,16.70815
2021-06-04,14.97433
2021-06-05,10.56769
2021-06-06,9.29995
2021-06-07,9.42698
2021-06-08,18.84366
2021-06-09,15.55198
2021-06-10,13.20275
2021-06-11,9.23471
2021-06-12,8.79697
2021-06-13,5.7997
2021-06-14,10.72219
2021-06-15,7.4803
2021-06-16,6.48378
2021-06-17,6.14474
2021-06-18,6.0117
2021-06-19,5.5937
2021-06-20,6.36362
2021-06-21,9.91966
2021-06-22,13.09546
2021-06-23,11.05007
2021-06-24,6.90694
2021-06-25,6.75845
2021-06-26,5.78768
2021-06-27,4.50963
2021-06-28,5.50872
