date,전세권설정등기
2020-03-20,15.93406
2020-03-21,8.24175
2020-03-22,6.5934
2020-03-23,16.20879
2020-03-24,14.83516
2020-03-25,15.10989
2020-03-26,14.83516
2020-03-27,14.56043
2020-03-28,14.01098
2020-03-29,6.86813
2020-03-30,16.75824
2020-03-31,15.38461
2020-04-01,13.73626
2020-04-02,14.28571
2020-04-03,14.28571
2020-04-04,8.51648
2020-04-05,6.5934
2020-04-06,12.36263
2020-04-07,14.01098
2020-04-08,17.85714
2020-04-09,15.10989
2020-04-10,16.75824
2020-04-11,7.41758
2020-04-12,4.94505
2020-04-13,12.08791
2020-04-14,18.40659
2020-04-15,8.51648
2020-04-16,17.58241
2020-04-17,17.58241
2020-04-18,11.26373
2020-04-19,10.98901
2020-04-20,14.56043
2020-04-21,18.13186
2020-04-22,15.38461
2020-04-23,16.48351
2020-04-24,12.91208
2020-04-25,9.8901
2020-04-26,5.76923
2020-04-27,16.20879
2020-04-28,20.05494
2020-04-29,11.81318
2020-04-30,8.24175
2020-05-01,11.26373
2020-05-02,5.76923
2020-05-03,5.76923
2020-05-04,17.30769
2020-05-05,10.43956
2020-05-06,15.93406
2020-05-07,15.10989
2020-05-08,16.75824
2020-05-09,19.50549
2020-05-10,10.71428
2020-05-11,21.70329
2020-05-12,18.68131
2020-05-13,22.25274
2020-05-14,14.28571
2020-05-15,13.73626
2020-05-16,7.6923
2020-05-17,10.98901
2020-05-18,12.36263
2020-05-19,17.58241
2020-05-20,21.42857
2020-05-21,25.82417
2020-05-22,25.27472
2020-05-23,14.56043
2020-05-24,11.26373
2020-05-25,36.53846
2020-05-26,22.25274
2020-05-27,26.37362
2020-05-28,24.72527
2020-05-29,19.78021
2020-05-30,11.53846
2020-05-31,8.51648
2020-06-01,17.85714
2020-06-02,16.75824
2020-06-03,16.20879
2020-06-04,13.18681
2020-06-05,11.53846
2020-06-06,8.7912
2020-06-07,9.61538
2020-06-08,17.58241
2020-06-09,20.05494
2020-06-10,21.70329
2020-06-11,19.78021
2020-06-12,21.97802
2020-06-13,10.43956
2020-06-14,10.71428
2020-06-15,21.15384
2020-06-16,21.15384
2020-06-17,21.70329
2020-06-18,19.78021
2020-06-19,18.40659
2020-06-20,8.24175
2020-06-21,6.04395
2020-06-22,15.65934
2020-06-23,15.65934
2020-06-24,17.85714
2020-06-25,23.07692
2020-06-26,31.31868
2020-06-27,13.46153
2020-06-28,7.6923
2020-06-29,16.75824
2020-06-30,15.65934
2020-07-01,14.28571
2020-07-02,18.95604
2020-07-03,14.83516
2020-07-04,10.16483
2020-07-05,7.6923
2020-07-06,19.50549
2020-07-07,20.60439
2020-07-08,18.13186
2020-07-09,19.50549
2020-07-10,18.13186
2020-07-11,9.8901
2020-07-12,9.61538
2020-07-13,19.78021
2020-07-14,25.27472
2020-07-15,14.56043
2020-07-16,10.98901
2020-07-17,8.51648
2020-07-18,7.6923
2020-07-19,8.51648
2020-07-20,14.83516
2020-07-21,18.13186
2020-07-22,17.30769
2020-07-23,18.95604
2020-07-24,15.38461
2020-07-25,11.26373
2020-07-26,6.31868
2020-07-27,26.0989
2020-07-28,20.60439
2020-07-29,26.0989
2020-07-30,19.23076
2020-07-31,11.26373
2020-08-01,5.76923
2020-08-02,7.6923
2020-08-03,10.16483
2020-08-04,12.91208
2020-08-05,14.01098
2020-08-06,13.18681
2020-08-07,14.28571
2020-08-08,8.7912
2020-08-09,8.7912
2020-08-10,14.28571
2020-08-11,12.08791
2020-08-12,13.46153
2020-08-13,13.73626
2020-08-14,17.85714
2020-08-15,5.4945
2020-08-16,6.5934
2020-08-17,12.08791
2020-08-18,16.20879
2020-08-19,14.01098
2020-08-20,17.58241
2020-08-21,12.91208
2020-08-22,8.24175
2020-08-23,13.18681
2020-08-24,27.47252
2020-08-25,18.13186
2020-08-26,9.8901
2020-08-27,18.13186
2020-08-28,14.83516
2020-08-29,7.96703
2020-08-30,12.08791
2020-08-31,15.93406
2020-09-01,20.60439
2020-09-02,17.03296
2020-09-03,21.15384
2020-09-04,24.17582
2020-09-05,13.73626
2020-09-06,9.34065
2020-09-07,11.53846
2020-09-08,12.36263
2020-09-09,17.03296
2020-09-10,10.71428
2020-09-11,10.71428
2020-09-12,11.53846
2020-09-13,7.41758
2020-09-14,15.93406
2020-09-15,20.60439
2020-09-16,14.56043
2020-09-17,15.93406
2020-09-18,11.81318
2020-09-19,9.34065
2020-09-20,10.16483
2020-09-21,17.58241
2020-09-22,23.07692
2020-09-23,14.83516
2020-09-24,15.93406
2020-09-25,14.83516
2020-09-26,6.86813
2020-09-27,7.6923
2020-09-28,15.38461
2020-09-29,12.63736
2020-09-30,6.86813
2020-10-01,5.76923
2020-10-02,7.14285
2020-10-03,4.12087
2020-10-04,7.41758
2020-10-05,23.07692
2020-10-06,15.93406
2020-10-07,26.92307
2020-10-08,25.82417
2020-10-09,11.81318
2020-10-10,12.91208
2020-10-11,9.61538
2020-10-12,19.78021
2020-10-13,25.0
2020-10-14,19.23076
2020-10-15,20.05494
2020-10-16,15.65934
2020-10-17,8.24175
2020-10-18,6.31868
2020-10-19,15.10989
2020-10-20,14.01098
2020-10-21,14.01098
2020-10-22,13.46153
2020-10-23,13.73626
2020-10-24,10.43956
2020-10-25,7.14285
2020-10-26,22.25274
2020-10-27,14.83516
2020-10-28,18.13186
2020-10-29,13.73626
2020-10-30,11.81318
2020-10-31,6.86813
2020-11-01,4.94505
2020-11-02,14.01098
2020-11-03,8.51648
2020-11-04,9.06593
2020-11-05,21.70329
2020-11-06,16.48351
2020-11-07,7.41758
2020-11-08,7.14285
2020-11-09,17.85714
2020-11-10,13.73626
2020-11-11,12.36263
2020-11-12,11.81318
2020-11-13,13.18681
2020-11-14,10.71428
2020-11-15,6.31868
2020-11-16,13.18681
2020-11-17,16.48351
2020-11-18,15.93406
2020-11-19,16.20879
2020-11-20,17.30769
2020-11-21,7.41758
2020-11-22,8.24175
2020-11-23,15.10989
2020-11-24,16.48351
2020-11-25,13.46153
2020-11-26,15.38461
2020-11-27,17.58241
2020-11-28,9.61538
2020-11-29,10.16483
2020-11-30,21.97802
2020-12-01,18.40659
2020-12-02,16.75824
2020-12-03,18.40659
2020-12-04,15.38461
2020-12-05,11.81318
2020-12-06,12.36263
2020-12-07,18.95604
2020-12-08,21.15384
2020-12-09,22.52747
2020-12-10,25.27472
2020-12-11,18.13186
2020-12-12,12.63736
2020-12-13,10.16483
2020-12-14,20.87912
2020-12-15,19.50549
2020-12-16,17.03296
2020-12-17,18.40659
2020-12-18,18.13186
2020-12-19,9.06593
2020-12-20,8.51648
2020-12-21,23.62637
2020-12-22,18.95604
2020-12-23,18.13186
2020-12-24,14.01098
2020-12-25,4.12087
2020-12-26,9.61538
2020-12-27,6.5934
2020-12-28,22.25274
2020-12-29,15.38461
2020-12-30,13.46153
2020-12-31,11.53846
2021-01-01,6.5934
2021-01-02,7.6923
2021-01-03,7.14285
2021-01-04,19.50549
2021-01-05,19.23076
2021-01-06,22.80219
2021-01-07,20.05494
2021-01-08,17.03296
2021-01-09,11.81318
2021-01-10,9.8901
2021-01-11,23.62637
