date,보험비교
2020-11-07,6.98287
2020-11-08,8.23451
2020-11-09,17.78656
2020-11-10,18.44532
2020-11-11,16.79841
2020-11-12,17.25955
2020-11-13,13.63636
2020-11-14,6.25823
2020-11-15,8.76152
2020-11-16,17.6548
2020-11-17,18.24769
2020-11-18,20.68511
2020-11-19,17.58893
2020-11-20,15.21739
2020-11-21,8.03689
2020-11-22,10.27667
2020-11-23,15.01976
2020-11-24,19.16996
2020-11-25,17.06192
2020-11-26,17.58893
2020-11-27,15.94202
2020-11-28,7.77338
2020-11-29,8.16864
2020-11-30,18.11594
2020-12-01,17.72068
2020-12-02,16.93017
2020-12-03,20.09222
2020-12-04,16.93017
2020-12-05,8.43214
2020-12-06,11.13306
2020-12-07,19.56521
2020-12-08,20.4216
2020-12-09,21.40974
2020-12-10,21.08036
2020-12-11,17.6548
2020-12-12,7.83926
2020-12-13,10.67193
2020-12-14,21.40974
2020-12-15,23.12252
2020-12-16,22.46376
2020-12-17,21.5415
2020-12-18,20.1581
2020-12-19,7.77338
2020-12-20,10.07905
2020-12-21,21.87088
2020-12-22,21.40974
2020-12-23,20.68511
2020-12-24,17.3913
2020-12-25,10.67193
2020-12-26,11.26482
2020-12-27,12.25296
2020-12-28,23.05665
2020-12-29,28.39262
2020-12-30,24.44005
2020-12-31,19.10408
2021-01-01,7.97101
2021-01-02,8.8274
2021-01-03,10.73781
2021-01-04,17.6548
2021-01-05,19.56521
2021-01-06,18.05006
2021-01-07,15.41501
2021-01-08,14.88801
2021-01-09,10.01317
2021-01-10,9.48616
2021-01-11,19.63109
2021-01-12,20.02635
2021-01-13,18.70882
2021-01-14,20.88274
2021-01-15,15.48089
2021-01-16,7.90513
2021-01-17,9.02503
2021-01-18,18.51119
2021-01-19,19.96047
2021-01-20,22.72727
2021-01-21,22.39789
2021-01-22,21.60737
2021-01-23,10.27667
2021-01-24,10.40843
2021-01-25,20.81686
2021-01-26,21.5415
2021-01-27,21.40974
2021-01-28,21.08036
2021-01-29,17.19367
2021-01-30,10.73781
2021-01-31,12.05533
2021-02-01,19.30171
2021-02-02,20.02635
2021-02-03,18.31357
2021-02-04,18.7747
