date,삼화전자주가
2020-12-23,0.25298
2020-12-24,0.25298
2020-12-26,0.04306
2020-12-27,0.04306
2020-12-28,0.17224
2020-12-29,0.17224
2020-12-30,0.25298
2020-12-31,0.04306
2021-01-02,0.08612
2021-01-03,0.04844
2021-01-04,0.15609
2021-01-05,0.18301
2021-01-06,0.25837
2021-01-07,0.18839
2021-01-08,0.39832
2021-01-09,0.08612
2021-01-10,0.11841
2021-01-11,0.50059
2021-01-12,0.30143
2021-01-13,0.67283
2021-01-14,0.61362
2021-01-15,0.40908
2021-01-16,0.0592
2021-01-17,0.04306
2021-01-18,0.30143
2021-01-19,0.37678
2021-01-20,0.4037
2021-01-21,0.3714
2021-01-22,0.39293
2021-01-23,0.10227
2021-01-24,0.0592
2021-01-25,0.50059
2021-01-26,0.65669
2021-01-27,0.37678
2021-01-28,0.36602
2021-01-29,0.34449
2021-01-30,0.0592
2021-01-31,0.03767
2021-02-01,0.40908
2021-02-02,0.36602
2021-02-03,0.3714
2021-02-04,0.45214
2021-02-05,0.48444
2021-02-06,0.06459
2021-02-07,0.04844
2021-02-08,0.2799
2021-02-09,0.31757
2021-02-10,0.27451
2021-02-13,0.02691
2021-02-14,0.05382
2021-02-15,0.38217
2021-02-16,0.29066
2021-02-17,0.31757
2021-02-18,0.34449
2021-02-19,0.46829
2021-02-20,0.02691
2021-02-22,0.20454
2021-02-23,0.17224
2021-02-24,0.2799
2021-02-25,0.28528
2021-02-26,0.2476
2021-02-27,0.04844
2021-02-28,0.03229
2021-03-01,0.04306
2021-03-02,0.22607
2021-03-03,0.30143
2021-03-04,0.25837
2021-03-05,0.20992
2021-03-06,0.03229
2021-03-07,0.02691
2021-03-08,0.19377
2021-03-09,0.18301
2021-03-10,0.3714
2021-03-11,0.32834
2021-03-12,0.20992
2021-03-13,0.04306
2021-03-14,0.03767
2021-03-15,0.20992
2021-03-16,0.23145
2021-03-17,0.15609
2021-03-18,0.1238
2021-03-19,0.18301
2021-03-21,0.03229
2021-03-22,0.16148
2021-03-23,0.15071
2021-03-24,0.15071
2021-03-25,0.15071
2021-03-26,0.16686
2021-03-29,0.19377
2021-03-30,0.13456
2021-03-31,0.15609
2021-04-01,0.1238
2021-04-02,0.17762
2021-04-03,0.0592
2021-04-05,0.22069
2021-04-06,0.16686
2021-04-07,0.19916
2021-04-08,0.23683
2021-04-09,0.25837
2021-04-10,0.02691
2021-04-11,0.10227
2021-04-12,0.28528
2021-04-13,0.22607
2021-04-14,0.17224
2021-04-15,0.20454
2021-04-16,0.16148
2021-04-18,0.05382
2021-04-19,0.16148
2021-04-20,0.17762
2021-04-21,0.14533
2021-04-22,0.17762
2021-04-23,0.15609
2021-04-25,0.02691
2021-04-26,0.17224
2021-04-27,0.24222
2021-04-28,0.13995
2021-04-29,0.13995
2021-04-30,0.23145
2021-05-03,0.23683
2021-05-04,0.20454
2021-05-05,0.03229
2021-05-06,0.22607
2021-05-07,0.20454
2021-05-10,0.30143
2021-05-11,0.16686
2021-05-12,0.25298
2021-05-13,0.29604
2021-05-14,0.25837
2021-05-15,0.03229
2021-05-16,0.06459
2021-05-17,0.22607
2021-05-18,0.22607
2021-05-19,0.03229
2021-05-20,0.30143
2021-05-21,0.26375
2021-05-22,0.03229
2021-05-24,0.2476
2021-05-25,0.24222
2021-05-26,0.25298
2021-05-27,0.31219
2021-05-28,0.25837
2021-05-29,0.03229
2021-05-31,0.22069
2021-06-01,0.2799
2021-06-02,0.25298
2021-06-03,0.30143
2021-06-04,0.2153
2021-06-05,0.05382
2021-06-06,0.0592
2021-06-07,0.16686
2021-06-08,0.19377
2021-06-09,0.14533
2021-06-10,0.17762
2021-06-11,0.19377
2021-06-12,0.04306
2021-06-14,0.23145
2021-06-15,0.19916
2021-06-16,0.33911
2021-06-17,0.2476
2021-06-18,0.22069
2021-06-21,0.16148
2021-06-22,0.14533
2021-06-23,0.17762
2021-06-24,0.20992
2021-06-25,0.19377
2021-06-26,0.04306
2021-06-28,0.17224
2021-06-29,0.18301
2021-06-30,0.18301
2021-07-01,0.18839
2021-07-02,0.15071
2021-07-04,0.02691
2021-07-05,0.16148
2021-07-06,0.17762
2021-07-07,0.19377
2021-07-08,0.12918
2021-07-09,0.11841
2021-07-12,0.20454
2021-07-13,0.17762
2021-07-14,0.19916
2021-07-15,0.18839
2021-07-16,0.22607
2021-07-19,0.15609
2021-07-20,0.18301
2021-07-21,0.18301
2021-07-22,0.2799
2021-07-23,0.14533
2021-07-26,0.19916
2021-07-27,0.20992
2021-07-28,0.16686
2021-07-29,0.25298
2021-07-30,0.14533
2021-08-01,0.03229
2021-08-02,0.15609
2021-08-03,0.17224
2021-08-04,0.25837
2021-08-05,0.25837
2021-08-06,0.16686
2021-08-09,0.22607
2021-08-10,0.16148
2021-08-11,0.13456
2021-08-12,0.17762
2021-08-13,0.22607
2021-08-17,0.16148
2021-08-18,0.20992
2021-08-19,0.18301
2021-08-20,0.22607
2021-08-21,0.03229
2021-08-23,0.28528
2021-08-24,0.25298
2021-08-25,0.30143
2021-08-26,0.32834
2021-08-27,0.33372
2021-08-28,0.03229
2021-08-30,0.2799
2021-08-31,0.25837
2021-09-01,0.29066
2021-09-02,0.25298
2021-09-03,0.22069
2021-09-05,0.02691
2021-09-06,0.35525
2021-09-07,0.36064
2021-09-08,0.47906
2021-09-09,0.62977
2021-09-10,0.39832
2021-09-12,0.05382
2021-09-13,0.45753
2021-09-14,0.45214
2021-09-15,0.39832
2021-09-16,0.31757
2021-09-17,0.2476
2021-09-18,0.08612
2021-09-19,0.08612
2021-09-20,0.07535
2021-09-22,0.03767
2021-09-23,0.42523
2021-09-24,0.47367
2021-09-25,0.13456
2021-09-26,0.09688
2021-09-27,0.30681
2021-09-28,0.27451
2021-09-29,0.39293
2021-09-30,0.28528
2021-10-01,0.28528
2021-10-02,0.03229
2021-10-04,0.03229
2021-10-05,0.2476
2021-10-06,0.23683
2021-10-07,0.20992
2021-10-08,0.18839
2021-10-11,0.03767
2021-10-12,0.17224
2021-10-13,0.11841
2021-10-14,0.12918
2021-10-15,0.16686
2021-10-18,0.1238
2021-10-19,0.11841
2021-10-20,0.13456
2021-10-21,0.13995
2021-10-22,0.07535
2021-10-23,0.02691
2021-10-25,0.17224
2021-10-26,0.14533
2021-10-27,0.11841
2021-10-28,0.10227
2021-10-29,0.10227
2021-10-31,0.02691
2021-11-01,0.13456
2021-11-02,0.16686
2021-11-03,0.27451
2021-11-04,0.6513
2021-11-05,0.31219
2021-11-06,0.06997
2021-11-07,0.07535
2021-11-08,0.39293
2021-11-09,0.16148
2021-11-10,0.22607
2021-11-11,0.18301
2021-11-12,0.18301
2021-11-13,0.04306
2021-11-14,0.07535
2021-11-15,0.26375
2021-11-16,0.16686
2021-11-17,0.18839
2021-11-18,0.19377
2021-11-19,0.24222
2021-11-22,0.30143
2021-11-23,0.18839
2021-11-24,0.22607
2021-11-25,0.18839
2021-11-26,0.18301
2021-11-29,0.2153
2021-11-30,0.20454
2021-12-01,0.20992
2021-12-02,0.14533
2021-12-03,0.13995
2021-12-06,0.15071
2021-12-07,0.24222
2021-12-08,0.16148
2021-12-09,0.22069
2021-12-10,0.1238
2021-12-13,0.13456
2021-12-14,0.13995
2021-12-15,0.10227
2021-12-16,0.15071
2021-12-17,0.16148
2021-12-20,0.15609
2021-12-21,0.0915
2021-12-22,0.13456
2021-12-23,0.15071
2021-12-24,0.11841
2021-12-27,0.11841
2021-12-28,0.1238
2021-12-29,0.12918
2021-12-30,0.11841
2021-12-31,0.06997
2022-01-03,0.1238
2022-01-04,0.12918
2022-01-05,0.1238
2022-01-06,0.15609
2022-01-07,0.13456
2022-01-10,0.14533
2022-01-11,0.43061
2022-01-12,0.29604
2022-01-13,0.25837
2022-01-14,1.47486
2022-01-15,0.78049
2022-01-16,0.76434
2022-01-17,1.34567
2022-01-18,1.01194
2022-01-19,0.62977
2022-01-20,0.39293
2022-01-21,0.45214
2022-01-22,0.08074
2022-01-23,0.11841
2022-01-24,0.8074
2022-01-25,0.80202
2022-01-26,0.43599
2022-01-27,0.45753
2022-01-28,0.36602
2022-01-29,0.0592
2022-01-30,0.10765
2022-01-31,0.07535
2022-02-01,0.06997
2022-02-02,0.12918
2022-02-03,0.54365
2022-02-04,0.40908
2022-02-05,0.17762
2022-02-06,0.20992
2022-02-07,0.50597
2022-02-08,0.54365
2022-02-09,0.44138
2022-02-10,0.39293
2022-02-11,0.41985
2022-02-12,0.11841
2022-02-13,0.07535
2022-02-14,0.48982
2022-02-15,0.35525
2022-02-16,0.41446
2022-02-17,0.24222
2022-02-18,0.25298
2022-02-19,0.0592
2022-02-20,0.0592
2022-02-21,0.25298
2022-02-22,0.17224
2022-02-23,0.22069
2022-02-24,0.26913
2022-02-25,0.24222
2022-02-26,0.03767
2022-02-28,0.38755
2022-03-01,0.04844
2022-03-02,0.33911
2022-03-03,0.46291
2022-03-04,0.30143
2022-03-05,0.03229
2022-03-06,0.10227
2022-03-07,0.33372
2022-03-08,0.33372
2022-03-09,0.02691
2022-03-10,0.2476
2022-03-11,0.25837
2022-03-14,0.24222
2022-03-15,0.19377
2022-03-16,0.13995
2022-03-17,0.35525
2022-03-18,0.26375
2022-03-19,0.04306
2022-03-21,0.24222
2022-03-22,0.17224
2022-03-23,0.23683
2022-03-24,0.25837
2022-03-25,0.18301
2022-03-27,0.05382
2022-03-28,0.27451
2022-03-29,0.24222
2022-03-30,0.19377
2022-03-31,0.16148
2022-04-01,0.22607
2022-04-04,0.17762
2022-04-05,0.11303
2022-04-06,0.13995
2022-04-07,0.12918
2022-04-08,0.13995
2022-04-11,0.22607
2022-04-12,0.20992
2022-04-13,0.13456
2022-04-14,0.14533
2022-04-15,0.25298
2022-04-16,0.02691
2022-04-18,0.25837
2022-04-19,0.2153
2022-04-20,0.15071
2022-04-21,0.18301
2022-04-22,0.18301
2022-04-25,0.11841
2022-04-26,0.10227
2022-04-27,0.08074
2022-04-28,0.08074
2022-04-29,0.0915
2022-05-02,0.10227
2022-05-03,0.06459
2022-05-04,0.09688
2022-05-06,0.08074
2022-05-09,0.08612
2022-05-10,0.08074
2022-05-11,0.0915
2022-05-12,0.08612
2022-05-13,0.13995
2022-05-16,0.08612
2022-05-17,0.09688
2022-05-18,0.10765
2022-05-19,0.0915
2022-05-20,0.11841
2022-05-21,0.03767
2022-05-22,0.02691
2022-05-23,0.11841
2022-05-24,0.10227
2022-05-25,0.13456
2022-05-26,0.10765
2022-05-27,0.08074
2022-05-30,0.10227
2022-05-31,0.11841
2022-06-02,0.07535
2022-06-03,0.10765
2022-06-07,0.07535
2022-06-08,0.09688
2022-06-09,0.10227
2022-06-10,0.10227
2022-06-13,0.16686
2022-06-14,0.15609
2022-06-15,0.17224
2022-06-16,0.15071
2022-06-17,0.19377
2022-06-18,0.11303
2022-06-19,0.03229
2022-06-20,0.3714
2022-06-21,0.23683
2022-06-22,0.17224
2022-06-23,0.19377
2022-06-24,0.15609
2022-06-27,0.20992
2022-06-28,0.16686
2022-06-29,0.13995
2022-06-30,0.15071
2022-07-01,0.10765
2022-07-04,0.13995
2022-07-05,0.09688
2022-07-06,0.17224
2022-07-07,0.17224
2022-07-08,0.12918
2022-07-11,0.11303
2022-07-12,0.11303
2022-07-13,0.08074
2022-07-14,0.13995
2022-07-15,0.10227
2022-07-18,0.19377
2022-07-19,0.1238
2022-07-20,0.11303
2022-07-21,0.10765
2022-07-22,0.22607
2022-07-25,0.14533
2022-07-26,0.19916
2022-07-27,0.19377
2022-07-28,0.10227
2022-07-29,0.1238
2022-08-01,0.09688
2022-08-02,0.10227
2022-08-03,0.18839
2022-08-04,0.11841
2022-08-05,0.16686
2022-08-08,0.22069
2022-08-09,0.14533
2022-08-10,0.12918
2022-08-11,0.17224
2022-08-12,0.18301
2022-08-16,0.16148
2022-08-17,0.11303
2022-08-18,0.18839
2022-08-19,0.2799
2022-08-22,0.18839
2022-08-23,0.20454
2022-08-24,0.17762
2022-08-25,0.18301
2022-08-26,0.19377
2022-08-27,0.02691
2022-08-29,0.13995
2022-08-30,0.12918
2022-08-31,0.15609
2022-09-01,0.0592
2022-09-02,0.14533
2022-09-05,0.10227
2022-09-06,0.11841
