date,니케이지수
2020-03-20,78.2293
2020-03-21,14.78638
2020-03-22,6.6255
2020-03-23,100.0
2020-03-24,80.5574
2020-03-25,70.56074
2020-03-26,84.17056
2020-03-27,69.47596
2020-03-28,9.6295
2020-03-29,5.09846
2020-03-30,64.96995
2020-03-31,50.65921
2020-04-01,55.34879
2020-04-02,56.09979
2020-04-03,43.37449
2020-04-04,7.01769
2020-04-05,4.11381
2020-04-06,48.92356
2020-04-07,52.38651
2020-04-08,45.31875
2020-04-09,40.36214
2020-04-10,38.26769
2020-04-11,5.96628
2020-04-12,3.71328
2020-04-13,35.32209
2020-04-14,30.19025
2020-04-15,32.48497
2020-04-16,31.71728
2020-04-17,34.52102
2020-04-18,6.00801
2020-04-19,3.73831
2020-04-20,29.45594
2020-04-21,32.71862
2020-04-22,32.10947
2020-04-23,26.63551
2020-04-24,24.74132
2020-04-25,3.89686
2020-04-26,2.5534
2020-04-27,25.00834
2020-04-28,25.72596
2020-04-29,21.21995
2020-04-30,24.19058
2020-05-01,31.04138
2020-05-02,5.44893
2020-05-03,2.95393
2020-05-04,23.75667
2020-05-05,18.44125
2020-05-06,22.25467
2020-05-07,24.58277
2020-05-08,20.36048
2020-05-09,4.64786
2020-05-10,2.57843
2020-05-11,22.45493
2020-05-12,21.76234
2020-05-13,21.31174
2020-05-14,20.56074
2020-05-15,20.21028
2020-05-16,3.755
2020-05-17,2.18624
2020-05-18,17.74866
2020-05-19,22.29639
2020-05-20,19.6512
2020-05-21,20.86949
2020-05-22,19.17556
2020-05-23,3.43791
2020-05-24,2.01101
2020-05-25,20.15186
2020-05-26,21.70393
2020-05-27,23.02236
2020-05-28,24.90821
2020-05-29,22.32977
2020-05-30,3.84679
2020-05-31,2.31975
2020-06-01,19.54272
2020-06-02,20.06842
2020-06-03,23.15587
2020-06-04,23.79005
2020-06-05,20.73598
2020-06-06,4.7313
2020-06-07,2.37817
2020-06-08,22.36315
2020-06-09,22.32977
2020-06-10,21.0781
2020-06-11,21.2283
2020-06-12,28.95527
2020-06-13,3.36281
2020-06-14,1.98598
2020-06-15,30.39052
2020-06-16,27.82042
2020-06-17,24.40754
2020-06-18,19.40086
2020-06-19,18.80841
2020-06-20,2.9289
2020-06-21,1.74399
2020-06-22,18.48297
2020-06-23,19.44259
2020-06-24,18.67489
2020-06-25,19.56775
2020-06-26,15.79606
2020-06-27,2.95393
2020-06-28,1.86915
2020-06-29,19.20894
2020-06-30,18.10747
2020-07-01,17.95727
2020-07-02,17.65687
2020-07-03,16.08811
2020-07-04,2.7787
2020-07-05,1.60213
2020-07-06,18.36615
2020-07-07,22.22129
2020-07-08,19.15887
2020-07-09,17.95727
2020-07-10,16.23831
2020-07-11,2.48664
2020-07-12,1.38518
2020-07-13,16.87249
2020-07-14,17.13117
2020-07-15,18.15754
2020-07-16,18.28271
2020-07-17,17.52336
2020-07-18,2.64519
2020-07-19,1.47696
2020-07-20,17.21461
2020-07-21,16.0297
2020-07-22,16.43024
2020-07-23,15.2036
2020-07-24,13.28437
2020-07-25,2.48664
2020-07-26,1.38518
2020-07-27,16.31341
2020-07-28,17.28971
2020-07-29,16.23831
2020-07-30,15.57076
2020-07-31,18.34946
2020-08-01,3.27937
2020-08-02,1.62716
2020-08-03,15.8044
2020-08-04,16.22162
2020-08-05,17.59012
2020-08-06,17.17289
2020-08-07,16.45527
2020-08-08,3.004
2020-08-09,1.51034
2020-08-10,14.31909
2020-08-11,16.11315
2020-08-12,16.38851
2020-08-13,16.255
2020-08-14,16.13818
2020-08-15,2.29472
2020-08-16,1.61882
2020-08-17,23.34779
2020-08-18,21.28671
2020-08-19,15.3538
2020-08-20,22.72196
2020-08-21,15.16188
2020-08-22,2.3281
2020-08-23,1.58544
2020-08-24,13.50133
2020-08-25,13.74332
2020-08-26,12.64185
2020-08-27,13.75166
2020-08-28,20.12683
2020-08-29,3.66321
2020-08-30,1.86915
2020-08-31,15.97129
2020-09-01,13.60981
2020-09-02,12.62516
2020-09-03,11.79906
2020-09-04,15.98798
2020-09-05,2.41154
