date,거래
2020-03-20,0.33786
2020-03-21,0.20013
2020-03-22,0.23241
2020-03-23,0.42825
2020-03-24,0.45837
2020-03-25,0.39166
2020-03-26,0.45407
2020-03-27,0.38736
2020-03-28,0.27545
2020-03-29,0.32925
2020-03-30,0.49926
2020-03-31,0.47774
2020-04-01,0.36584
2020-04-02,0.40027
2020-04-03,0.33356
2020-04-04,0.29482
2020-04-05,0.24748
2020-04-06,0.41318
2020-04-07,0.40242
2020-04-08,0.4842
2020-04-09,0.47344
2020-04-10,0.41103
2020-04-11,0.22165
2020-04-12,0.30343
2020-04-13,0.44116
2020-04-14,0.42609
2020-04-15,0.33786
2020-04-16,0.538
2020-04-17,0.41533
2020-04-18,0.23672
2020-04-19,0.28837
2020-04-20,0.49066
2020-04-21,0.48635
2020-04-22,0.43685
2020-04-23,0.45192
2020-04-24,0.43255
2020-04-25,0.26685
2020-04-26,0.25609
2020-04-27,0.43901
2020-04-28,0.46053
2020-04-29,0.3809
2020-04-30,0.22811
2020-05-01,0.26039
2020-05-02,0.24963
2020-05-03,0.25393
2020-05-04,0.35508
2020-05-05,0.2733
2020-05-06,0.41749
2020-05-07,0.42179
2020-05-08,0.40457
2020-05-09,0.2195
2020-05-10,0.31849
2020-05-11,0.41533
2020-05-12,0.44761
2020-05-13,0.40673
2020-05-14,0.3809
2020-05-15,0.39812
2020-05-16,0.24963
2020-05-17,0.23672
2020-05-18,0.44331
2020-05-19,0.45192
2020-05-20,0.45622
2020-05-21,0.48205
2020-05-22,0.41318
2020-05-23,0.24317
2020-05-24,0.26254
2020-05-25,0.42179
2020-05-26,0.49066
2020-05-27,0.40888
2020-05-28,0.41749
2020-05-29,0.41749
2020-05-30,0.27976
2020-05-31,0.27976
2020-06-01,0.44331
2020-06-02,0.47774
2020-06-03,0.39381
2020-06-04,0.37445
2020-06-05,0.33571
2020-06-06,0.25824
2020-06-07,0.30128
2020-06-08,0.37875
2020-06-09,0.40673
2020-06-10,0.39812
2020-06-11,0.38736
2020-06-12,0.33786
2020-06-13,0.2733
2020-06-14,0.28406
2020-06-15,0.38305
2020-06-16,0.46483
2020-06-17,0.45622
2020-06-18,0.40457
2020-06-19,0.37229
2020-06-20,0.26039
2020-06-21,0.27115
2020-06-22,0.3809
2020-06-23,0.38736
2020-06-24,0.40457
2020-06-25,0.39812
2020-06-26,0.34217
2020-06-27,0.27976
2020-06-28,0.26039
2020-06-29,0.39597
2020-06-30,0.38736
2020-07-01,0.36584
2020-07-02,0.32925
2020-07-03,0.30558
2020-07-04,0.23672
2020-07-05,0.21735
2020-07-06,0.40242
2020-07-07,0.33141
2020-07-08,0.3809
2020-07-09,0.4304
2020-07-10,0.3228
2020-07-11,0.24963
2020-07-12,0.24533
2020-07-13,0.34862
2020-07-14,0.36369
2020-07-15,0.3228
2020-07-16,0.35293
2020-07-17,0.31204
2020-07-18,0.22811
2020-07-19,0.22596
2020-07-20,0.3228
2020-07-21,0.36799
2020-07-22,0.36369
2020-07-23,0.42609
2020-07-24,0.3766
2020-07-25,0.25609
2020-07-26,0.25393
2020-07-27,0.38521
2020-07-28,0.36153
2020-07-29,0.33141
2020-07-30,0.38521
2020-07-31,0.31634
2020-08-01,0.18076
2020-08-02,0.18937
2020-08-03,0.30773
2020-08-04,0.32065
2020-08-05,0.30128
2020-08-06,0.32495
2020-08-07,0.29697
2020-08-08,0.22811
2020-08-09,0.18507
2020-08-10,0.28621
2020-08-11,0.37014
2020-08-12,0.33141
2020-08-13,0.33141
2020-08-14,0.27115
2020-08-15,0.18937
2020-08-16,0.18507
2020-08-17,0.27115
2020-08-18,0.32065
2020-08-19,0.3271
2020-08-20,0.39597
2020-08-21,0.33356
2020-08-22,0.22596
2020-08-23,0.269
2020-08-24,0.33141
2020-08-25,0.36369
2020-08-26,0.43255
2020-08-27,0.37229
2020-08-28,0.33571
2020-08-29,0.24102
2020-08-30,0.25824
2020-08-31,0.38951
2020-09-01,0.45192
2020-09-02,0.40242
2020-09-03,0.39597
2020-09-04,0.38305
2020-09-05,0.22165
2020-09-06,0.27545
2020-09-07,0.47559
2020-09-08,0.48635
2020-09-09,0.49926
2020-09-10,0.42825
2020-09-11,0.42825
2020-09-12,0.25178
2020-09-13,0.30558
2020-09-14,0.41533
2020-09-15,0.45622
2020-09-16,0.44977
2020-09-17,0.42609
2020-09-18,0.37014
2020-09-19,0.23457
2020-09-20,0.31849
2020-09-21,0.33356
2020-09-22,0.41318
2020-09-23,0.40027
2020-09-24,0.32495
2020-09-25,0.41533
2020-09-26,0.2238
2020-09-27,0.29482
2020-09-28,0.3809
2020-09-29,0.38951
2020-09-30,0.2152
2020-10-01,0.18292
2020-10-02,0.1657
2020-10-03,0.24533
2020-10-04,0.27761
2020-10-05,0.4304
2020-10-06,0.44977
2020-10-07,0.34862
2020-10-08,0.4304
2020-10-09,0.33356
2020-10-10,0.24102
2020-10-11,0.28406
2020-10-12,0.36153
2020-10-13,0.41964
2020-10-14,0.40673
2020-10-15,0.46268
2020-10-16,0.36799
2020-10-17,0.23887
2020-10-18,0.24963
2020-10-19,0.43255
2020-10-20,0.39597
2020-10-21,0.38736
2020-10-22,0.35508
2020-10-23,0.36369
2020-10-24,0.22596
2020-10-25,0.2733
2020-10-26,0.42825
2020-10-27,0.38521
2020-10-28,0.42609
2020-10-29,0.35293
2020-10-30,0.33356
2020-10-31,0.20228
2020-11-01,0.29052
2020-11-02,0.39381
2020-11-03,0.43255
2020-11-04,0.39812
2020-11-05,0.29052
2020-11-06,0.35293
2020-11-07,0.27115
2020-11-08,0.269
2020-11-09,0.34001
2020-11-10,0.34001
2020-11-11,0.33356
2020-11-12,0.36369
2020-11-13,0.29913
2020-11-14,0.23672
2020-11-15,0.23887
2020-11-16,0.34432
2020-11-17,0.33571
2020-11-18,0.34862
2020-11-19,0.36584
2020-11-20,0.28406
2020-11-21,0.2238
2020-11-22,0.26685
2020-11-23,0.39597
2020-11-24,0.38305
2020-11-25,0.37875
2020-11-26,0.33571
2020-11-27,0.32495
2020-11-28,0.269
2020-11-29,0.22811
2020-11-30,0.32065
2020-12-01,0.35077
2020-12-02,0.40888
2020-12-03,0.40673
2020-12-04,0.36799
2020-12-05,0.23672
2020-12-06,0.29697
2020-12-07,0.34432
2020-12-08,0.36799
2020-12-09,0.3228
2020-12-10,0.40673
2020-12-11,0.3809
2020-12-12,0.23672
2020-12-13,0.28837
2020-12-14,0.33141
2020-12-15,0.35293
2020-12-16,0.39381
2020-12-17,0.33141
