date,채권추심
2020-11-08,23.6864
2020-11-09,71.97664
2020-11-10,85.65471
2020-11-11,68.89074
2020-11-12,70.6422
2020-11-13,59.0492
2020-11-14,26.18849
2020-11-15,23.01918
2020-11-16,62.13511
2020-11-17,65.30442
2020-11-18,60.05004
2020-11-19,57.04753
2020-11-20,51.04253
2020-11-21,23.18598
2020-11-22,20.10008
2020-11-23,59.38281
2020-11-24,62.55212
2020-11-25,68.89074
2020-11-26,61.8849
2020-11-27,64.22018
2020-11-28,24.52043
2020-11-29,19.84987
2020-11-30,62.13511
2020-12-01,77.81484
2020-12-02,78.14845
2020-12-03,76.06338
2020-12-04,62.0517
2020-12-05,29.10758
2020-12-06,22.51876
2020-12-07,57.21434
2020-12-08,68.14011
2020-12-09,74.31192
2020-12-10,65.88824
2020-12-11,58.13177
2020-12-12,26.85571
2020-12-13,22.01834
2020-12-14,63.13594
2020-12-15,68.05671
2020-12-16,64.7206
2020-12-17,57.46455
2020-12-18,63.21934
2020-12-19,23.7698
2020-12-20,23.7698
2020-12-21,65.97164
2020-12-22,66.47206
2020-12-23,60.21684
2020-12-24,53.46121
2020-12-25,21.35112
2020-12-26,22.43536
2020-12-27,20.18348
2020-12-28,55.12927
2020-12-29,70.14178
2020-12-30,54.71226
2020-12-31,56.21351
2021-01-01,21.43452
2021-01-02,24.10341
2021-01-03,24.60383
2021-01-04,64.8874
2021-01-05,76.89741
2021-01-06,77.31442
2021-01-07,59.38281
2021-01-08,57.04753
2021-01-09,26.6055
2021-01-10,26.02168
2021-01-11,80.48373
2021-01-12,81.06755
2021-01-13,74.47873
2021-01-14,75.06255
2021-01-15,69.47456
2021-01-16,31.02585
2021-01-17,23.7698
2021-01-18,65.63803
2021-01-19,66.30525
2021-01-20,67.97331
2021-01-21,63.13594
2021-01-22,60.21684
2021-01-23,29.19099
2021-01-24,24.93744
2021-01-25,70.55879
2021-01-26,83.65304
2021-01-27,74.31192
2021-01-28,64.13678
2021-01-29,59.63302
2021-01-30,27.35613
2021-01-31,27.18932
2021-02-01,71.72643
2021-02-02,86.98915
2021-02-03,70.39199
2021-02-04,72.72727
2021-02-05,57.21434
2021-02-06,25.18765
2021-02-07,23.35279
2021-02-08,59.29941
2021-02-09,68.64053
2021-02-10,54.46205
2021-02-11,22.76897
2021-02-12,16.43035
2021-02-13,15.84653
2021-02-14,19.68306
2021-02-15,59.0492
2021-02-16,63.13594
2021-02-17,59.71643
2021-02-18,55.29608
2021-02-19,50.70892
2021-02-20,20.01668
2021-02-21,20.8507
2021-02-22,56.46371
2021-02-23,59.0492
2021-02-24,67.05587
2021-02-25,58.21517
2021-02-26,66.05504
2021-02-27,23.01918
2021-02-28,20.35029
2021-03-01,23.93661
2021-03-02,71.39282
2021-03-03,75.14595
2021-03-04,68.64053
2021-03-05,55.79649
2021-03-06,25.18765
2021-03-07,22.01834
2021-03-08,69.14095
2021-03-09,73.47789
2021-03-10,66.05504
2021-03-11,63.05254
2021-03-12,61.8849
2021-03-13,26.6055
2021-03-14,26.43869
2021-03-15,62.0517
2021-03-16,60.13344
2021-03-17,60.05004
2021-03-18,51.29274
2021-03-19,53.211
2021-03-20,21.10091
2021-03-21,17.51459
2021-03-22,51.70975
2021-03-23,56.29691
2021-03-24,57.71476
2021-03-25,62.0517
2021-03-26,47.45621
2021-03-27,22.68557
2021-03-28,19.34945
2021-03-29,49.54128
2021-03-30,60.21684
2021-03-31,58.04837
2021-04-01,71.80984
2021-04-02,63.13594
2021-04-03,23.18598
2021-04-04,18.59883
2021-04-05,60.21684
2021-04-06,65.05421
2021-04-07,63.38615
2021-04-08,62.21851
2021-04-09,60.30025
2021-04-10,21.60133
2021-04-11,19.51626
2021-04-12,60.63386
2021-04-13,62.0517
2021-04-14,61.30108
2021-04-15,63.05254
2021-04-16,53.37781
2021-04-17,24.60383
2021-04-18,20.6839
2021-04-19,57.88156
2021-04-20,61.8849
2021-04-21,55.12927
2021-04-22,54.62885
2021-04-23,57.54795
2021-04-24,19.26605
2021-04-25,21.60133
2021-04-26,60.05004
2021-04-27,56.88073
2021-04-28,55.21267
2021-04-29,51.87656
2021-04-30,64.30358
2021-05-01,28.27356
2021-05-02,19.93327
2021-05-03,62.55212
2021-05-04,65.22101
2021-05-05,23.51959
2021-05-06,62.80233
2021-05-07,60.38365
2021-05-08,22.93577
2021-05-09,22.35195
2021-05-10,77.48123
2021-05-11,72.14345
2021-05-12,63.38615
2021-05-13,64.7206
2021-05-14,57.04753
2021-05-15,27.77314
2021-05-16,18.01501
2021-05-17,64.9708
2021-05-18,65.13761
2021-05-19,25.43786
2021-05-20,51.87656
2021-05-21,59.38281
2021-05-22,20.35029
2021-05-23,23.51959
2021-05-24,61.05087
2021-05-25,67.30608
2021-05-26,69.55796
2021-05-27,66.13844
2021-05-28,61.8849
2021-05-29,22.35195
2021-05-30,18.51542
2021-05-31,67.97331
2021-06-01,79.23269
2021-06-02,84.40366
2021-06-03,65.47122
2021-06-04,58.63219
2021-06-05,25.93828
2021-06-06,21.10091
2021-06-07,64.7206
2021-06-08,63.63636
2021-06-09,68.30692
2021-06-10,65.13761
2021-06-11,57.21434
2021-06-12,20.26688
2021-06-13,20.26688
2021-06-14,66.80567
2021-06-15,64.47039
2021-06-16,61.30108
2021-06-17,60.21684
2021-06-18,54.71226
2021-06-19,21.43452
2021-06-20,17.8482
2021-06-21,55.54628
2021-06-22,59.71643
2021-06-23,57.46455
2021-06-24,62.80233
2021-06-25,56.63052
2021-06-26,22.68557
2021-06-27,21.10091
2021-06-28,59.71643
2021-06-29,58.54879
2021-06-30,65.22101
2021-07-01,78.98248
2021-07-02,73.97831
2021-07-03,23.85321
2021-07-04,21.26772
2021-07-05,59.79983
2021-07-06,70.05838
2021-07-07,68.05671
2021-07-08,63.55296
2021-07-09,58.63219
2021-07-10,22.51876
2021-07-11,20.7673
2021-07-12,67.8899
2021-07-13,53.62802
2021-07-14,59.29941
2021-07-15,66.97247
2021-07-16,56.21351
2021-07-17,23.6864
2021-07-18,22.60216
2021-07-19,58.9658
2021-07-20,56.29691
2021-07-21,58.29858
2021-07-22,59.13261
2021-07-23,63.63636
2021-07-24,19.76647
2021-07-25,17.9316
2021-07-26,67.7231
2021-07-27,58.63219
2021-07-28,57.21434
2021-07-29,62.13511
2021-07-30,54.62885
2021-07-31,22.01834
2021-08-01,21.35112
2021-08-02,77.48123
2021-08-03,67.55629
2021-08-04,58.46538
2021-08-05,62.21851
2021-08-06,48.12343
2021-08-07,21.35112
2021-08-08,24.35362
2021-08-09,69.22435
2021-08-10,67.05587
2021-08-11,59.38281
2021-08-12,64.13678
2021-08-13,64.47039
2021-08-14,22.18515
2021-08-15,21.01751
2021-08-16,26.27189
2021-08-17,62.0517
2021-08-18,68.05671
2021-08-19,69.22435
2021-08-20,59.0492
2021-08-21,25.35446
2021-08-22,22.01834
2021-08-23,65.22101
2021-08-24,69.80817
2021-08-25,60.80066
2021-08-26,68.05671
2021-08-27,58.71559
2021-08-28,23.43619
2021-08-29,24.35362
2021-08-30,65.13761
2021-08-31,69.97497
2021-09-01,86.73894
2021-09-02,70.6422
2021-09-03,58.29858
2021-09-04,25.02085
2021-09-05,19.43286
2021-09-06,67.7231
2021-09-07,60.96747
2021-09-08,60.13344
2021-09-09,60.96747
2021-09-10,54.71226
2021-09-11,20.18348
2021-09-12,18.68223
2021-09-13,66.22185
2021-09-14,57.04753
2021-09-15,56.71392
2021-09-16,52.71059
2021-09-17,44.2035
2021-09-18,16.93077
2021-09-19,16.18015
2021-09-20,11.34278
2021-09-21,13.92827
2021-09-22,15.92994
2021-09-23,53.46121
2021-09-24,49.29107
2021-09-25,23.10258
2021-09-26,20.10008
2021-09-27,59.0492
2021-09-28,76.23019
2021-09-29,60.88407
2021-09-30,71.55963
2021-10-01,72.64386
2021-10-02,24.35362
2021-10-03,19.59966
2021-10-04,24.52043
2021-10-05,71.47623
2021-10-06,64.7206
2021-10-07,58.21517
2021-10-08,55.37948
2021-10-09,23.85321
2021-10-10,18.34862
2021-10-11,23.85321
2021-10-12,54.29524
2021-10-13,65.72143
2021-10-14,71.89324
2021-10-15,61.38448
2021-10-16,24.43703
2021-10-17,21.60133
2021-10-18,59.96663
2021-10-19,61.30108
2021-10-20,60.46705
2021-10-21,50.0417
2021-10-22,48.70725
2021-10-23,20.43369
2021-10-24,19.34945
2021-10-25,51.20934
2021-10-26,56.29691
2021-10-27,64.804
2021-10-28,59.13261
2021-10-29,58.13177
2021-10-30,24.52043
2021-10-31,20.6005
2021-11-01,77.81484
2021-11-02,73.97831
2021-11-03,70.39199
2021-11-04,60.05004
2021-11-05,55.54628
2021-11-06,22.10175
2021-11-07,19.18265
2021-11-08,62.46872
2021-11-09,59.96663
2021-11-10,63.13594
2021-11-11,59.38281
2021-11-12,51.45954
2021-11-13,23.43619
2021-11-14,21.01751
2021-11-15,59.38281
2021-11-16,62.88573
2021-11-17,58.46538
2021-11-18,53.87823
2021-11-19,50.62552
2021-11-20,19.93327
2021-11-21,17.9316
2021-11-22,50.70892
2021-11-23,58.21517
2021-11-24,56.29691
2021-11-25,65.38782
2021-11-26,53.96163
2021-11-27,20.26688
2021-11-28,21.26772
2021-11-29,62.30191
2021-11-30,72.39366
2021-12-01,76.39699
2021-12-02,67.8899
2021-12-03,60.88407
2021-12-04,25.52126
2021-12-05,24.77064
2021-12-06,66.47206
2021-12-07,72.14345
2021-12-08,64.38698
2021-12-09,72.56046
2021-12-10,64.30358
2021-12-11,22.93577
2021-12-12,20.35029
2021-12-13,58.63219
2021-12-14,63.63636
2021-12-15,60.21684
2021-12-16,65.47122
2021-12-17,55.21267
2021-12-18,21.18432
2021-12-19,21.85154
2021-12-20,56.46371
2021-12-21,60.46705
2021-12-22,63.21934
2021-12-23,59.13261
2021-12-24,45.20433
2021-12-25,19.26605
2021-12-26,18.34862
2021-12-27,52.62718
2021-12-28,67.8065
2021-12-29,68.89074
2021-12-30,59.46622
2021-12-31,51.79316
2022-01-01,21.93494
2022-01-02,22.26855
2022-01-03,83.81984
2022-01-04,78.23185
2022-01-05,72.47706
2022-01-06,73.22768
2022-01-07,61.8015
2022-01-08,26.77231
2022-01-09,23.18598
2022-01-10,76.6472
2022-01-11,70.6422
2022-01-12,74.64553
2022-01-13,71.14261
2022-01-14,60.05004
2022-01-15,26.93911
2022-01-16,22.51876
2022-01-17,61.63469
2022-01-18,71.72643
2022-01-19,59.96663
2022-01-20,60.55045
2022-01-21,58.79899
2022-01-22,24.18682
2022-01-23,23.6864
2022-01-24,59.0492
2022-01-25,70.05838
2022-01-26,71.14261
2022-01-27,66.55546
2022-01-28,53.1276
2022-01-29,23.26939
