date,SK텔레콤주가
2020-03-20,33.22879
2020-03-21,7.25059
2020-03-22,7.45221
2020-03-23,34.71475
2020-03-24,32.18339
2020-03-25,35.20011
2020-03-26,37.79121
2020-03-27,34.71475
2020-03-28,7.8181
2020-03-29,7.76583
2020-03-30,32.46714
2020-03-31,31.69802
2020-04-01,36.58154
2020-04-02,34.57287
2020-04-03,32.01164
2020-04-04,7.19086
2020-04-05,5.33154
2020-04-06,33.50507
2020-04-07,39.00836
2020-04-08,40.94982
2020-04-09,39.88201
2020-04-10,34.12485
2020-04-11,6.13799
2020-04-12,5.91397
2020-04-13,30.8393
2020-04-14,32.4074
2020-04-15,8.3408
2020-04-16,33.49761
2020-04-17,36.58154
2020-04-18,7.04898
2020-04-19,7.64635
2020-04-20,39.7028
2020-04-21,44.22043
2020-04-22,52.44922
2020-04-23,51.46356
2020-04-24,39.53853
2020-04-25,6.95191
2020-04-26,5.71983
2020-04-27,39.35931
2020-04-28,36.17831
2020-04-29,34.28912
2020-04-30,7.07138
2020-05-01,7.24313
2020-05-02,4.53255
2020-05-03,4.49522
2020-05-04,30.59289
2020-05-05,6.66069
2020-05-06,34.07258
2020-05-07,31.58602
2020-05-08,29.42054
2020-05-09,6.10812
2020-05-10,7.3626
2020-05-11,33.71415
2020-05-12,35.28225
2020-05-13,36.36499
2020-05-14,34.49074
2020-05-15,31.51135
2020-05-16,6.10065
2020-05-17,5.42861
2020-05-18,32.47461
2020-05-19,36.73835
2020-05-20,39.03076
2020-05-21,41.35304
2020-05-22,35.05077
2020-05-23,7.28793
2020-05-24,9.78195
2020-05-25,39.87455
2020-05-26,39.95669
2020-05-27,38.90382
2020-05-28,37.60454
2020-05-29,40.79301
2020-05-30,6.54121
2020-05-31,6.30227
2020-06-01,48.93219
2020-06-02,45.00448
2020-06-03,48.96953
2020-06-04,45.32556
2020-06-05,42.09976
2020-06-06,6.84737
2020-06-07,6.57108
2020-06-08,38.62007
2020-06-09,34.4086
2020-06-10,33.76642
2020-06-11,37.87335
2020-06-12,39.1577
2020-06-13,7.13112
2020-06-14,6.49641
2020-06-15,41.6816
2020-06-16,39.22491
2020-06-17,36.55167
2020-06-18,34.03524
2020-06-19,31.3844
2020-06-20,4.7939
2020-06-21,4.59976
2020-06-22,33.16905
2020-06-23,31.60842
2020-06-24,33.54988
2020-06-25,34.04271
2020-06-26,36.96236
2020-06-27,5.75716
2020-06-28,4.44295
2020-06-29,29.97311
2020-06-30,32.16099
2020-07-01,49.64157
2020-07-02,48.79778
2020-07-03,38.68727
2020-07-04,5.52568
2020-07-05,5.18219
2020-07-06,38.34378
2020-07-07,40.29271
2020-07-08,36.09617
2020-07-09,33.81123
2020-07-10,29.32347
2020-07-11,3.89038
2020-07-12,4.36827
2020-07-13,31.26493
2020-07-14,33.11678
2020-07-15,33.25866
2020-07-16,29.12186
2020-07-17,27.0908
2020-07-18,3.85304
2020-07-19,3.78584
2020-07-20,27.30734
2020-07-21,28.2482
2020-07-22,26.29928
2020-07-23,29.11439
2020-07-24,28.92771
2020-07-25,5.14486
2020-07-26,5.98864
2020-07-27,29.86111
2020-07-28,33.84109
2020-07-29,32.72102
2020-07-30,34.52807
2020-07-31,31.24253
2020-08-01,4.45041
2020-08-02,3.56929
2020-08-03,27.95698
2020-08-04,33.60961
2020-08-05,35.43906
2020-08-06,44.13829
2020-08-07,45.28076
2020-08-08,8.51254
2020-08-09,7.43727
2020-08-10,56.13799
2020-08-11,50.81391
2020-08-12,49.23835
2020-08-13,54.8387
2020-08-14,44.01881
2020-08-15,5.27927
2020-08-16,4.84617
2020-08-17,9.28166
2020-08-18,41.98028
2020-08-19,37.23118
2020-08-20,38.59767
2020-08-21,38.85155
2020-08-22,5.12992
2020-08-23,6.26493
2020-08-24,47.08781
2020-08-25,50.67204
2020-08-26,54.80884
2020-08-27,51.79958
2020-08-28,58.04958
2020-08-29,9.03524
2020-08-30,8.35573
2020-08-31,54.7491
2020-09-01,52.84498
2020-09-02,52.17293
2020-09-03,51.43369
2020-09-04,46.63978
2020-09-05,7.43727
2020-09-06,11.99223
2020-09-07,57.07885
2020-09-08,51.36648
2020-09-09,46.55017
2020-09-10,46.80406
2020-09-11,47.9988
2020-09-12,6.82497
2020-09-13,5.92144
2020-09-14,48.98446
2020-09-15,46.23655
2020-09-16,43.50358
2020-09-17,38.1347
2020-09-18,32.98237
2020-09-19,5.12246
2020-09-20,4.43548
2020-09-21,33.24372
2020-09-22,30.47341
2020-09-23,35.75268
2020-09-24,31.75776
2020-09-25,29.65949
2020-09-26,4.54749
2020-09-27,3.65143
2020-09-28,28.21833
2020-09-29,25.08213
2020-09-30,3.7933
2020-10-01,3.39008
2020-10-02,3.01672
2020-10-03,3.05406
2020-10-04,2.87485
