date,KODEX은행
2020-03-20,11.12469
2020-03-21,3.54523
2020-03-22,5.37897
2020-03-23,6.35696
2020-03-24,9.53545
2020-03-25,11.24694
2020-03-26,8.1907
2020-03-27,6.35696
2020-03-28,2.44498
2020-03-29,4.76772
2020-03-30,5.37897
2020-03-31,8.80195
2020-04-01,6.72371
2020-04-02,9.4132
2020-04-03,8.55745
2020-04-04,3.42298
2020-04-05,2.44498
2020-04-06,9.6577
2020-04-07,9.4132
2020-04-08,6.23471
2020-04-09,9.77995
2020-04-10,12.22493
2020-04-11,3.54523
2020-04-12,4.64547
2020-04-13,8.06845
2020-04-14,8.4352
2020-04-15,1.46699
2020-04-16,11.00244
2020-04-17,13.20293
2020-04-18,5.13447
2020-04-19,3.66748
2020-04-20,12.71393
2020-04-21,13.93643
2020-04-22,12.22493
2020-04-23,14.66992
2020-04-24,11.49144
2020-04-25,6.35696
2020-04-26,9.6577
2020-04-27,34.71882
2020-04-28,40.46454
2020-04-29,24.08312
2020-04-30,6.60146
2020-05-01,4.27872
2020-05-02,3.30073
2020-05-03,4.15647
2020-05-04,16.99266
2020-05-05,4.76772
2020-05-06,21.27139
2020-05-07,18.3374
2020-05-08,18.70415
2020-05-09,4.52322
2020-05-10,7.82396
2020-05-11,11.36919
2020-05-12,16.13691
2020-05-13,16.01466
2020-05-14,15.64792
2020-05-15,8.4352
2020-05-16,4.03422
2020-05-17,6.47921
2020-05-18,19.92665
2020-05-19,21.76039
2020-05-20,18.45965
2020-05-21,16.25916
2020-05-22,9.77995
2020-05-23,4.64547
2020-05-24,9.9022
2020-05-25,14.30317
2020-05-26,22.00488
2020-05-27,23.10513
2020-05-28,33.00733
2020-05-29,22.86063
2020-05-30,8.80195
2020-05-31,5.25672
2020-06-01,26.16136
2020-06-02,37.28606
2020-06-03,42.29828
2020-06-04,38.3863
2020-06-05,20.78239
2020-06-06,5.25672
2020-06-07,6.11246
2020-06-08,16.13691
2020-06-09,19.5599
2020-06-10,22.49388
2020-06-11,22.73838
2020-06-12,18.0929
2020-06-13,3.66748
2020-06-14,3.66748
2020-06-15,12.59168
2020-06-16,12.59168
2020-06-17,15.64792
2020-06-18,12.10268
2020-06-19,7.57946
2020-06-20,4.40097
2020-06-21,6.11246
2020-06-22,14.79217
2020-06-23,13.93643
2020-06-24,12.95843
2020-06-25,10.75794
2020-06-26,10.63569
2020-06-27,5.62347
2020-06-28,4.15647
2020-06-29,13.69193
2020-06-30,15.28117
2020-07-01,17.60391
2020-07-02,15.28117
2020-07-03,17.35941
2020-07-04,1.58924
2020-07-05,2.56723
2020-07-06,15.03667
2020-07-07,16.87041
2020-07-08,14.18092
2020-07-09,15.89242
2020-07-10,18.8264
2020-07-11,2.32273
2020-07-12,3.66748
2020-07-13,19.5599
2020-07-14,10.39119
2020-07-15,18.0929
2020-07-16,20.41564
2020-07-17,15.77017
2020-07-18,4.15647
2020-07-19,2.93398
2020-07-20,13.20293
2020-07-21,18.94865
2020-07-22,15.40342
2020-07-23,12.59168
2020-07-24,10.75794
2020-07-25,2.32273
2020-07-26,2.81173
2020-07-27,12.22493
2020-07-28,15.28117
2020-07-29,16.38141
2020-07-30,17.60391
2020-07-31,11.61369
2020-08-01,3.91198
2020-08-02,5.50122
2020-08-03,16.13691
2020-08-04,16.50366
2020-08-05,19.43765
2020-08-06,22.98288
2020-08-07,16.38141
2020-08-08,3.91198
2020-08-09,4.64547
2020-08-10,27.99511
2020-08-11,33.74083
2020-08-12,44.62102
2020-08-13,39.6088
2020-08-14,22.49388
2020-08-15,5.25672
2020-08-16,5.99022
2020-08-17,6.60146
2020-08-18,21.02689
2020-08-19,20.04889
2020-08-20,25.06112
2020-08-21,16.99266
2020-08-22,2.68948
2020-08-23,4.27872
2020-08-24,13.08068
2020-08-25,14.18092
2020-08-26,15.15892
2020-08-27,17.23716
2020-08-28,23.22738
2020-08-29,2.68948
2020-08-30,4.15647
2020-08-31,20.41564
2020-09-01,17.72616
2020-09-02,16.38141
2020-09-03,20.66014
2020-09-04,16.99266
2020-09-05,3.17848
2020-09-06,4.40097
2020-09-07,22.12713
2020-09-08,16.87041
2020-09-09,18.70415
2020-09-10,13.56968
2020-09-11,16.13691
2020-09-12,3.05623
2020-09-13,3.78973
2020-09-14,15.28117
2020-09-15,15.15892
2020-09-16,14.91442
2020-09-17,14.66992
2020-09-18,11.49144
2020-09-19,4.40097
2020-09-20,2.93398
2020-09-21,11.85819
2020-09-22,16.38141
2020-09-23,16.38141
2020-09-24,19.3154
2020-09-25,15.40342
2020-09-26,3.66748
2020-09-27,3.30073
2020-09-28,11.61369
2020-09-29,9.9022
2020-09-30,1.46699
2020-10-01,1.34474
2020-10-02,2.32273
2020-10-03,4.03422
2020-10-04,5.01222
2020-10-05,17.23716
2020-10-06,14.18092
2020-10-07,16.13691
2020-10-08,16.13691
2020-10-09,2.68948
2020-10-10,8.4352
2020-10-11,7.21271
2020-10-12,25.42787
2020-10-13,22.00488
2020-10-14,18.8264
2020-10-15,16.50366
2020-10-16,16.01466
2020-10-17,1.34474
2020-10-18,2.68948
2020-10-19,20.90464
2020-10-20,16.50366
2020-10-21,25.06112
2020-10-22,36.18581
2020-10-23,40.46454
2020-10-24,8.31295
2020-10-25,6.35696
2020-10-26,25.42787
2020-10-27,22.73838
2020-10-28,20.53789
2020-10-29,15.15892
2020-10-30,15.52567
2020-10-31,5.37897
2020-11-01,4.27872
2020-11-02,20.17114
2020-11-03,21.14914
2020-11-04,23.34963
2020-11-05,20.29339
2020-11-06,18.3374
2020-11-07,2.93398
2020-11-08,1.83374
2020-11-09,23.96088
2020-11-10,34.96332
2020-11-11,36.67481
2020-11-12,27.50611
2020-11-13,18.45965
2020-11-14,3.78973
2020-11-15,4.40097
2020-11-16,27.87286
2020-11-17,26.77261
2020-11-18,16.74816
2020-11-19,24.08312
2020-11-20,24.69437
2020-11-21,9.1687
2020-11-22,8.06845
2020-11-23,31.78484
2020-11-24,33.98533
2020-11-25,35.94132
2020-11-26,34.22982
2020-11-27,25.30562
