date,3월카드캐시백
2022-03-02,3.37837
2022-03-16,3.37837
2023-02-28,4.05405
2023-03-01,23.64864
2023-03-02,23.64864
2023-03-03,9.45945
2023-03-04,10.81081
2023-03-05,4.72972
2023-03-06,8.78378
2023-03-07,6.75675
2023-03-08,12.83783
2023-03-09,6.08108
2023-03-12,16.21621
2023-03-13,20.27027
2023-03-14,10.81081
2023-03-15,4.72972
2023-03-16,10.13513
2023-03-17,4.05405
2023-03-18,5.4054
2023-03-19,10.81081
2023-03-20,12.16216
2023-03-21,14.86486
2023-03-22,5.4054
2023-03-23,9.45945
2023-03-24,14.18918
2023-03-25,6.08108
2023-03-26,6.75675
2023-03-27,6.08108
2023-03-28,4.72972
2023-03-29,8.1081
2023-03-30,3.37837
2023-03-31,13.51351
2024-02-28,5.4054
2024-02-29,8.1081
2024-03-01,92.56756
2024-03-02,100.0
2024-03-03,83.78378
2024-03-04,94.59459
2024-03-05,91.21621
2024-03-06,71.62162
2024-03-07,68.91891
2024-03-08,31.75675
2024-03-09,27.7027
2024-03-10,23.64864
2024-03-11,44.59459
2024-03-12,45.27027
2024-03-13,35.81081
2024-03-14,27.02702
2024-03-15,33.1081
2024-03-16,18.24324
2024-03-17,20.27027
2024-03-18,28.37837
2024-03-19,29.72972
2024-03-20,27.02702
