date,연말정산하는법
2020-03-20,0.34067
2020-03-21,0.26487
2020-03-22,0.2396
2020-03-23,0.32848
2020-03-24,0.33022
2020-03-25,0.34154
2020-03-26,0.27707
2020-03-27,0.22828
2020-03-28,0.15073
2020-03-29,0.16641
2020-03-30,0.29188
2020-03-31,0.26139
2020-04-01,0.22566
2020-04-02,0.21259
2020-04-03,0.17948
2020-04-04,0.11501
2020-04-05,0.11588
2020-04-06,0.18297
2020-04-07,0.19865
2020-04-08,0.20649
2020-04-09,0.18994
2020-04-10,0.21346
2020-04-11,0.0941
2020-04-12,0.09322
2020-04-13,0.12198
2020-04-14,0.11065
2020-04-15,0.08103
2020-04-16,0.12982
2020-04-17,0.11152
2020-04-18,0.0758
2020-04-19,0.07231
2020-04-20,0.12982
2020-04-21,0.09148
2020-04-22,0.09497
2020-04-23,0.10716
2020-04-24,0.06273
2020-04-25,0.05837
2020-04-26,0.02613
2020-04-27,0.03223
2020-04-28,0.05053
2020-04-29,0.04356
2020-04-30,0.03223
2020-05-01,0.06447
2020-05-02,0.03746
2020-05-03,0.03136
2020-05-04,0.08451
2020-05-05,0.04095
2020-05-06,0.07231
2020-05-07,0.05227
2020-05-08,0.04705
2020-05-09,0.03136
2020-05-10,0.03659
2020-05-11,0.05576
2020-05-12,0.05402
2020-05-13,0.05576
2020-05-14,0.05489
2020-05-15,0.0331
2020-05-16,0.02788
2020-05-17,0.0331
2020-05-18,0.02875
2020-05-19,0.03746
2020-05-20,0.04705
2020-05-21,0.04705
2020-05-22,0.03136
2020-05-23,0.01481
2020-05-24,0.02439
2020-05-25,0.05837
2020-05-26,0.04879
2020-05-27,0.04095
2020-05-28,0.05053
2020-05-29,0.04095
2020-05-30,0.01829
2020-05-31,0.02788
2020-06-01,0.03659
2020-06-02,0.02265
2020-06-03,0.02265
2020-06-04,0.02091
2020-06-05,0.01045
2020-06-06,0.00784
2020-06-07,0.01742
2020-06-08,0.01916
2020-06-09,0.02178
2020-06-10,0.0392
2020-06-11,0.02352
2020-06-12,0.01045
2020-06-13,0.00522
2020-06-14,0.02439
2020-06-15,0.02526
2020-06-16,0.02178
2020-06-17,0.02788
2020-06-18,0.03049
2020-06-19,0.02613
2020-06-20,0.01655
2020-06-21,0.02701
2020-06-22,0.03833
2020-06-23,0.03659
2020-06-24,0.04269
2020-06-25,0.0392
2020-06-26,0.03485
2020-06-27,0.01829
2020-06-28,0.01829
2020-06-29,0.03572
2020-06-30,0.02701
2020-07-01,0.02352
2020-07-02,0.01742
2020-07-03,0.03136
2020-07-04,0.02003
2020-07-05,0.01568
2020-07-06,0.02265
2020-07-07,0.03398
2020-07-08,0.03049
2020-07-09,0.02613
2020-07-10,0.02701
2020-07-11,0.01655
2020-07-12,0.01568
