date,계약
2020-03-20,68.38046
2020-03-21,40.87403
2020-03-22,46.27249
2020-03-23,74.55012
2020-03-24,71.46529
2020-03-25,79.43444
2020-03-26,75.83547
2020-03-27,70.69408
2020-03-28,44.98714
2020-03-29,43.70179
2020-03-30,82.51928
2020-03-31,88.43187
2020-04-01,80.46272
2020-04-02,84.06169
2020-04-03,82.51928
2020-04-04,46.78663
2020-04-05,41.1311
2020-04-06,94.34447
2020-04-07,100.0
2020-04-08,90.48843
2020-04-09,81.491
2020-04-10,80.71979
2020-04-11,43.18766
2020-04-12,37.01799
2020-04-13,88.1748
2020-04-14,88.94601
2020-04-15,46.01542
2020-04-16,88.94601
2020-04-17,79.94858
2020-04-18,45.24421
2020-04-19,37.53213
2020-04-20,85.86118
2020-04-21,79.69151
2020-04-22,87.66066
2020-04-23,90.7455
2020-04-24,75.06426
2020-04-25,39.33161
2020-04-26,41.38817
2020-04-27,69.40874
2020-04-28,96.91516
2020-04-29,73.26478
2020-04-30,42.93059
2020-05-01,47.30077
2020-05-02,36.76092
2020-05-03,44.473
2020-05-04,67.09511
2020-05-05,45.24421
2020-05-06,72.49357
2020-05-07,85.86118
2020-05-08,66.3239
2020-05-09,40.61696
2020-05-10,37.01799
2020-05-11,78.9203
2020-05-12,71.97943
2020-05-13,76.09254
2020-05-14,76.86375
2020-05-15,68.63753
2020-05-16,40.35989
2020-05-17,37.01799
2020-05-18,69.40874
2020-05-19,69.15167
2020-05-20,71.20822
2020-05-21,66.06683
2020-05-22,67.09511
2020-05-23,43.44473
2020-05-24,28.79177
2020-05-25,66.83804
2020-05-26,74.80719
2020-05-27,74.29305
2020-05-28,80.46272
2020-05-29,67.35218
2020-05-30,34.70437
2020-05-31,37.53213
2020-06-01,67.86632
2020-06-02,80.97686
2020-06-03,78.1491
2020-06-04,71.46529
2020-06-05,60.92544
2020-06-06,39.58868
2020-06-07,36.24678
2020-06-08,72.2365
2020-06-09,75.83547
2020-06-10,77.63496
2020-06-11,68.8946
2020-06-12,76.34961
2020-06-13,35.73264
2020-06-14,46.27249
2020-06-15,74.80719
2020-06-16,80.46272
2020-06-17,78.40616
2020-06-18,84.31876
2020-06-19,74.03598
2020-06-20,43.70179
2020-06-21,43.18766
2020-06-22,77.12082
2020-06-23,81.74807
2020-06-24,80.46272
2020-06-25,75.32133
