date,그림액자
2020-03-20,68.67469
2020-03-21,70.01338
2020-03-22,70.01338
2020-03-23,70.01338
2020-03-24,67.06827
2020-03-25,62.51673
2020-03-26,69.87951
2020-03-27,72.82463
2020-03-28,75.36813
2020-03-29,81.65997
2020-03-30,70.28112
2020-03-31,67.46987
2020-04-01,80.85676
2020-04-02,67.20214
2020-04-03,67.46987
2020-04-04,64.7925
2020-04-05,85.27443
2020-04-06,82.32931
2020-04-07,73.22623
2020-04-08,77.77777
2020-04-09,75.502
2020-04-10,70.95046
2020-04-11,80.99062
2020-04-12,82.06157
2020-04-13,82.06157
2020-04-14,69.74564
2020-04-15,79.91967
2020-04-16,67.20214
2020-04-17,70.68273
2020-04-18,71.61981
2020-04-19,80.85676
2020-04-20,83.93574
2020-04-21,84.47121
2020-04-22,85.27443
2020-04-23,88.35341
2020-04-24,83.80187
2020-04-25,72.82463
2020-04-26,80.05354
2020-04-27,76.17135
2020-04-28,68.54082
2020-04-29,55.95716
2020-04-30,63.45381
2020-05-01,56.09103
2020-05-02,58.90227
2020-05-03,76.57295
2020-05-04,63.18607
2020-05-05,77.6439
2020-05-06,70.01338
2020-05-07,62.6506
2020-05-08,59.97322
2020-05-09,65.86345
2020-05-10,73.49397
2020-05-11,64.92637
2020-05-12,72.9585
2020-05-13,58.90227
2020-05-14,65.59571
2020-05-15,75.36813
2020-05-16,72.42302
2020-05-17,67.33601
2020-05-18,75.1004
2020-05-19,76.17135
2020-05-20,75.23427
2020-05-21,69.21017
2020-05-22,65.72958
2020-05-23,62.11512
2020-05-24,79.11646
2020-05-25,66.9344
2020-05-26,66.13119
2020-05-27,61.31191
2020-05-28,62.24899
2020-05-29,53.27978
2020-05-30,62.38286
2020-05-31,64.52476
2020-06-01,63.98929
2020-06-02,67.60374
2020-06-03,61.71352
2020-06-04,62.38286
2020-06-05,58.09906
2020-06-06,48.19277
2020-06-07,62.78447
2020-06-08,62.78447
2020-06-09,60.10709
2020-06-10,63.18607
2020-06-11,61.98125
2020-06-12,54.88621
2020-06-13,68.54082
2020-06-14,74.16331
2020-06-15,67.46987
2020-06-16,63.85542
2020-06-17,64.39089
2020-06-18,64.7925
2020-06-19,63.58768
2020-06-20,61.71352
2020-06-21,76.84069
2020-06-22,60.64257
2020-06-23,66.9344
2020-06-24,57.96519
2020-06-25,65.32797
2020-06-26,64.12315
2020-06-27,66.26506
2020-06-28,70.41499
2020-06-29,62.6506
2020-06-30,60.9103
2020-07-01,62.51673
2020-07-02,71.88755
2020-07-03,65.06024
2020-07-04,59.57161
2020-07-05,62.24899
2020-07-06,71.48594
2020-07-07,59.97322
2020-07-08,62.91834
2020-07-09,60.5087
2020-07-10,59.70548
2020-07-11,57.96519
2020-07-12,65.72958
2020-07-13,68.27309
2020-07-14,57.69745
2020-07-15,59.97322
2020-07-16,62.38286
2020-07-17,63.98929
2020-07-18,71.35207
2020-07-19,71.2182
2020-07-20,65.99732
2020-07-21,60.37483
2020-07-22,68.80856
2020-07-23,66.66666
2020-07-24,58.90227
2020-07-25,60.24096
2020-07-26,64.52476
2020-07-27,61.44578
2020-07-28,65.59571
2020-07-29,63.85542
2020-07-30,60.9103
2020-07-31,54.35073
