date,자바스크립트
2020-03-20,34.68543
2020-03-21,22.51655
2020-03-22,23.09602
2020-03-23,36.75496
2020-03-24,35.6788
2020-03-25,35.59602
2020-03-26,35.01655
2020-03-27,34.51986
2020-03-28,22.43377
2020-03-29,24.58609
2020-03-30,34.68543
2020-03-31,34.10596
2020-04-01,32.69867
2020-04-02,33.85761
2020-04-03,31.87086
2020-04-04,20.86092
2020-04-05,23.50993
2020-04-06,36.34105
2020-04-07,36.92052
2020-04-08,35.84437
2020-04-09,35.01655
2020-04-10,34.02317
2020-04-11,22.18543
2020-04-12,26.98675
2020-04-13,33.94039
2020-04-14,32.61589
2020-04-15,23.01324
2020-04-16,34.43708
2020-04-17,36.92052
2020-04-18,23.50993
2020-04-19,22.10264
2020-04-20,37.33443
2020-04-21,36.09271
2020-04-22,36.75496
2020-04-23,35.18211
2020-04-24,34.10596
2020-04-25,20.11589
2020-04-26,22.68211
2020-04-27,32.1192
2020-04-28,31.53973
2020-04-29,32.86423
2020-04-30,22.35099
2020-05-01,23.92384
2020-05-02,21.8543
2020-05-03,21.77152
2020-05-04,32.36754
2020-05-05,20.69536
2020-05-06,35.84437
2020-05-07,33.60927
2020-05-08,27.81456
2020-05-09,20.5298
2020-05-10,20.03311
2020-05-11,36.09271
2020-05-12,32.69867
2020-05-13,30.7947
2020-05-14,30.21523
2020-05-15,27.23509
2020-05-16,18.79139
2020-05-17,22.10264
2020-05-18,30.04966
2020-05-19,34.93377
2020-05-20,35.51324
2020-05-21,32.36754
2020-05-22,37.41721
2020-05-23,21.93708
2020-05-24,20.77814
2020-05-25,33.4437
2020-05-26,34.93377
2020-05-27,32.03642
2020-05-28,32.61589
2020-05-29,30.87748
2020-05-30,22.7649
2020-05-31,21.60596
2020-06-01,38.41059
2020-06-02,38.90728
2020-06-03,36.67218
2020-06-04,31.45695
2020-06-05,28.31125
2020-06-06,23.1788
2020-06-07,24.42052
2020-06-08,31.62251
2020-06-09,33.94039
2020-06-10,33.19536
2020-06-11,31.04304
2020-06-12,30.54635
2020-06-13,21.93708
2020-06-14,26.24172
2020-06-15,35.09933
2020-06-16,36.42384
2020-06-17,35.6788
2020-06-18,31.12582
2020-06-19,31.95364
2020-06-20,22.35099
2020-06-21,23.1788
2020-06-22,34.43708
2020-06-23,38.57615
2020-06-24,35.2649
2020-06-25,36.42384
2020-06-26,30.46357
2020-06-27,22.01986
2020-06-28,22.01986
2020-06-29,33.60927
2020-06-30,31.37417
2020-07-01,34.85099
2020-07-02,30.54635
2020-07-03,31.12582
2020-07-04,23.34437
2020-07-05,26.73841
2020-07-06,31.2086
2020-07-07,34.10596
2020-07-08,36.50662
2020-07-09,32.36754
2020-07-10,31.78807
2020-07-11,19.12251
2020-07-12,21.02649
2020-07-13,31.37417
2020-07-14,32.28476
2020-07-15,33.52649
2020-07-16,28.39403
2020-07-17,29.47019
2020-07-18,18.62582
2020-07-19,22.26821
2020-07-20,33.0298
2020-07-21,33.19536
2020-07-22,37.5
2020-07-23,30.54635
2020-07-24,30.62913
2020-07-25,22.51655
2020-07-26,22.10264
2020-07-27,31.12582
2020-07-28,27.73178
2020-07-29,33.60927
2020-07-30,29.05629
2020-07-31,27.81456
2020-08-01,18.54304
2020-08-02,17.63245
2020-08-03,29.38741
2020-08-04,30.04966
2020-08-05,32.69867
2020-08-06,29.13907
2020-08-07,30.04966
2020-08-08,19.6192
2020-08-09,22.59933
2020-08-10,29.38741
2020-08-11,31.45695
2020-08-12,30.87748
2020-08-13,28.47682
2020-08-14,24.91721
2020-08-15,18.7086
2020-08-16,16.72185
2020-08-17,21.93708
2020-08-18,26.57284
2020-08-19,27.06953
2020-08-20,29.22185
2020-08-21,26.65562
2020-08-22,18.79139
2020-08-23,19.45364
2020-08-24,30.46357
2020-08-25,31.95364
2020-08-26,29.22185
2020-08-27,29.05629
2020-08-28,29.13907
2020-08-29,19.6192
