date,우미린
2020-03-20,11.06902
2020-03-21,9.02777
2020-03-22,8.2702
2020-03-23,12.85774
2020-03-24,13.1734
2020-03-25,12.52104
2020-03-26,16.2037
2020-03-27,32.70202
2020-03-28,14.14141
2020-03-29,12.01599
2020-03-30,16.2037
2020-03-31,16.96127
2020-04-01,16.49831
2020-04-02,16.91919
2020-04-03,13.23653
2020-04-04,9.36447
2020-04-05,12.24747
2020-04-06,23.4638
2020-04-07,30.07154
2020-04-08,14.47811
2020-04-09,12.16329
2020-04-10,11.65824
2020-04-11,7.99663
2020-04-12,8.9436
2020-04-13,14.05723
2020-04-14,18.47643
2020-04-15,9.4276
2020-04-16,14.24663
2020-04-17,13.78367
2020-04-18,11.91077
2020-04-19,11.11111
2020-04-20,14.26767
2020-04-21,14.09932
2020-04-22,15.65656
2020-04-23,15.42508
2020-04-24,12.01599
2020-04-25,10.37457
2020-04-26,9.89057
2020-04-27,14.20454
2020-04-28,14.5202
2020-04-29,12.85774
2020-04-30,9.82744
2020-05-01,11.72138
2020-05-02,11.48989
2020-05-03,12.14225
2020-05-04,15.5303
2020-05-05,11.84764
2020-05-06,16.98232
2020-05-07,15.55134
2020-05-08,18.11868
2020-05-09,11.93181
2020-05-10,11.09006
2020-05-11,17.44528
2020-05-12,17.92929
2020-05-13,22.68518
2020-05-14,27.81986
2020-05-15,77.56734
2020-05-16,22.51683
2020-05-17,18.75
2020-05-18,30.00841
2020-05-19,24.72643
2020-05-20,22.05387
2020-05-21,22.05387
2020-05-22,38.9941
2020-05-23,19.92845
2020-05-24,19.99158
2020-05-25,42.73989
2020-05-26,75.50505
2020-05-27,24.78956
2020-05-28,19.29713
2020-05-29,15.78282
2020-05-30,13.8468
2020-05-31,14.73063
2020-06-01,34.68013
2020-06-02,58.64898
2020-06-03,53.367
2020-06-04,19.06565
2020-06-05,14.92003
2020-06-06,11.19528
2020-06-07,11.80555
2020-06-08,16.30892
2020-06-09,29.90319
2020-06-10,16.58249
2020-06-11,16.68771
2020-06-12,18.32912
2020-06-13,11.74242
2020-06-14,12.05808
2020-06-15,16.89814
2020-06-16,16.70875
2020-06-17,15.0042
2020-06-18,19.67592
2020-06-19,16.66666
2020-06-20,11.99494
2020-06-21,11.11111
2020-06-22,20.51767
2020-06-23,22.66414
2020-06-24,14.54124
2020-06-25,16.79292
2020-06-26,10.94276
2020-06-27,9.55387
2020-06-28,9.55387
2020-06-29,12.24747
2020-06-30,15.08838
2020-07-01,12.77356
2020-07-02,12.92087
2020-07-03,12.89983
2020-07-04,9.34343
2020-07-05,9.21717
2020-07-06,11.51094
2020-07-07,12.33164
2020-07-08,11.61616
2020-07-09,9.84848
2020-07-10,9.7643
2020-07-11,8.37542
2020-07-12,8.22811
2020-07-13,10.56397
2020-07-14,10.35353
2020-07-15,10.07996
2020-07-16,11.46885
2020-07-17,10.01683
2020-07-18,8.16498
2020-07-19,8.12289
2020-07-20,10.54292
2020-07-21,12.14225
2020-07-22,11.27946
2020-07-23,11.25841
2020-07-24,10.01683
2020-07-25,8.22811
2020-07-26,7.63888
2020-07-27,11.82659
2020-07-28,10.85858
2020-07-29,12.87878
2020-07-30,11.70033
2020-07-31,13.48905
2020-08-01,9.19612
2020-08-02,9.63804
2020-08-03,15.40404
2020-08-04,14.70959
2020-08-05,12.28956
2020-08-06,10.87962
2020-08-07,10.37457
2020-08-08,9.02777
2020-08-09,8.22811
2020-08-10,14.39393
2020-08-11,12.60521
2020-08-12,13.13131
2020-08-13,13.88888
2020-08-14,13.97306
2020-08-15,12.22643
2020-08-16,10.01683
2020-08-17,12.16329
2020-08-18,15.867
2020-08-19,13.53114
2020-08-20,13.88888
2020-08-21,11.21632
2020-08-22,9.23821
2020-08-23,9.57491
2020-08-24,12.35269
2020-08-25,16.77188
2020-08-26,11.46885
2020-08-27,11.67929
2020-08-28,12.92087
2020-08-29,10.14309
2020-08-30,9.80639
2020-08-31,12.73148
2020-09-01,15.1936
2020-09-02,14.68855
2020-09-03,14.8569
2020-09-04,12.81565
2020-09-05,9.70117
2020-09-06,10.73232
2020-09-07,13.13131
2020-09-08,11.6372
2020-09-09,16.37205
2020-09-10,27.10437
2020-09-11,13.48905
2020-09-12,10.64814
2020-09-13,10.47979
2020-09-14,13.02609
2020-09-15,14.24663
2020-09-16,12.45791
2020-09-17,11.00589
2020-09-18,12.47895
2020-09-19,10.39562
2020-09-20,9.617
2020-09-21,12.26851
2020-09-22,12.56313
2020-09-23,11.46885
2020-09-24,12.984
2020-09-25,10.47979
2020-09-26,8.56481
2020-09-27,8.56481
2020-09-28,10.81649
2020-09-29,10.6271
2020-09-30,8.35437
2020-10-01,7.95454
2020-10-02,9.72222
2020-10-03,9.59595
2020-10-04,11.02693
2020-10-05,16.85606
2020-10-06,15.15151
2020-10-07,14.49915
2020-10-08,13.08922
2020-10-09,11.53198
2020-10-10,10.31144
2020-10-11,9.80639
2020-10-12,15.27777
2020-10-13,14.1835
2020-10-14,13.38383
2020-10-15,12.03703
2020-10-16,11.65824
2020-10-17,8.31228
2020-10-18,7.95454
2020-10-19,11.9739
2020-10-20,11.67929
2020-10-21,13.04713
2020-10-22,11.36363
2020-10-23,18.03451
2020-10-24,12.85774
2020-10-25,10.14309
2020-10-26,13.90993
2020-10-27,14.73063
2020-10-28,15.08838
2020-10-29,15.84595
2020-10-30,24.36868
2020-10-31,17.76094
2020-11-01,16.18265
2020-11-02,20.22306
2020-11-03,21.9276
2020-11-04,24.26346
2020-11-05,17.5505
2020-11-06,15.80387
2020-11-07,12.87878
2020-11-08,13.13131
2020-11-09,16.56144
2020-11-10,15.1936
2020-11-11,25.35774
2020-11-12,17.06649
2020-11-13,15.74074
2020-11-14,12.33164
2020-11-15,12.22643
2020-11-16,18.41329
2020-11-17,17.8872
2020-11-18,17.36111
2020-11-19,17.31902
2020-11-20,15.04629
2020-11-21,11.74242
2020-11-22,12.07912
2020-11-23,15.38299
2020-11-24,13.53114
2020-11-25,14.49915
2020-11-26,14.30976
2020-11-27,14.24663
2020-11-28,13.95202
2020-11-29,14.77272
2020-11-30,15.13047
2020-12-01,14.30976
2020-12-02,14.96212
2020-12-03,14.58333
2020-12-04,15.93013
2020-12-05,14.47811
2020-12-06,14.1835
2020-12-07,16.66666
2020-12-08,15.38299
2020-12-09,15.21464
2020-12-10,16.30892
2020-12-11,15.02525
2020-12-12,12.43686
2020-12-13,12.12121
2020-12-14,17.52946
2020-12-15,16.5404
2020-12-16,14.39393
2020-12-17,14.64646
2020-12-18,14.73063
2020-12-19,13.42592
2020-12-20,11.88973
2020-12-21,15.59343
2020-12-22,15.46717
2020-12-23,13.46801
2020-12-24,12.94191
2020-12-25,9.86952
2020-12-26,10.45875
2020-12-27,11.74242
2020-12-28,16.0143
2020-12-29,14.3308
2020-12-30,15.02525
2020-12-31,13.25757
2021-01-01,13.21548
2021-01-02,13.42592
2021-01-03,14.45707
2021-01-04,23.06397
2021-01-05,18.8973
2021-01-06,14.56228
2021-01-07,16.64562
2021-01-08,14.28872
2021-01-09,12.96296
2021-01-10,13.36279
2021-01-11,17.31902
2021-01-12,17.17171
2021-01-13,15.80387
2021-01-14,16.43518
2021-01-15,14.79377
2021-01-16,14.09932
2021-01-17,13.95202
2021-01-18,16.70875
2021-01-19,18.07659
2021-01-20,17.46632
2021-01-21,17.84511
2021-01-22,17.76094
2021-01-23,13.74158
2021-01-24,14.64646
2021-01-25,17.97138
2021-01-26,18.07659
2021-01-27,18.8973
2021-01-28,16.70875
2021-01-29,16.70875
2021-01-30,14.94107
2021-01-31,13.21548
2021-02-01,23.23232
2021-02-02,27.67255
2021-02-03,28.24074
2021-02-04,24.64225
2021-02-05,18.51851
2021-02-06,17.00336
2021-02-07,14.47811
2021-02-08,17.90824
2021-02-09,17.61363
2021-02-10,16.64562
2021-02-11,12.71043
2021-02-12,12.75252
2021-02-13,13.8468
2021-02-14,15.31986
2021-02-15,22.7904
2021-02-16,23.06397
2021-02-17,20.98063
2021-02-18,19.88636
2021-02-19,18.09764
2021-02-20,14.6675
2021-02-21,14.94107
2021-02-22,20.49663
2021-02-23,21.40151
2021-02-24,18.62373
2021-02-25,17.86616
2021-02-26,23.04292
2021-02-27,18.68686
2021-02-28,16.60353
2021-03-01,18.32912
2021-03-02,27.63047
2021-03-03,23.90572
2021-03-04,25.21043
2021-03-05,21.50673
