date,아이큐코인
2023-06-08,0.47925
2023-06-09,1.19509
2023-06-10,2.97864
2023-06-11,1.85027
2023-06-12,1.35282
2023-06-13,0.69764
2023-06-14,0.63091
2023-06-15,0.74011
2023-06-16,0.82504
2023-06-17,0.60664
2023-06-18,0.47925
2023-06-19,0.47925
2023-06-20,0.43072
2023-06-21,0.85537
2023-06-22,0.87357
2023-06-23,0.80077
2023-06-24,0.9221
2023-06-25,0.9221
2023-06-26,0.8311
2023-06-27,0.52171
2023-06-28,0.53991
2023-06-29,0.33365
2023-06-30,0.38825
2023-07-01,0.41858
2023-07-02,0.46105
2023-07-03,0.52778
2023-07-04,0.47925
2023-07-05,0.61271
2023-07-06,0.55205
2023-07-07,0.44892
2023-07-08,0.27299
2023-07-09,0.63091
2023-07-10,0.58238
2023-07-11,0.72797
2023-07-12,1.19509
2023-07-13,1.50448
2023-07-14,0.9767
2023-07-15,0.47925
2023-07-16,0.35185
2023-07-17,0.53991
2023-07-18,0.36398
2023-07-19,0.58844
2023-07-20,0.46711
2023-07-21,0.31545
2023-07-22,0.30939
2023-07-23,0.68551
2023-07-24,0.73404
2023-07-25,1.28002
2023-07-26,2.15966
2023-07-27,1.1223
2023-07-28,0.78864
2023-07-29,2.31739
2023-07-30,2.91798
2023-07-31,2.14147
2023-08-01,1.38922
2023-08-02,1.45595
2023-08-03,1.21936
2023-08-04,1.77141
2023-08-05,1.54088
2023-08-06,0.79471
2023-08-07,0.80684
2023-08-08,0.74011
2023-08-09,1.51055
2023-08-10,0.66731
2023-08-11,0.9585
2023-08-12,0.64911
2023-08-13,0.33972
2023-08-14,0.50351
2023-08-15,0.50958
2023-08-16,0.66731
2023-08-17,0.45498
2023-08-18,0.86144
2023-08-19,0.56418
2023-08-20,0.55205
2023-08-21,0.70371
2023-08-22,0.68551
2023-08-23,0.71584
2023-08-24,0.48531
2023-08-25,0.29119
2023-08-26,0.52778
2023-08-27,1.19509
2023-08-28,0.94637
2023-08-29,0.8675
2023-08-30,0.77651
2023-08-31,0.53991
2023-09-01,0.59451
2023-09-02,0.55811
2023-09-03,0.30332
2023-09-04,0.56418
2023-09-05,0.62484
2023-09-06,0.41252
2023-09-07,0.24265
2023-09-08,0.32759
2023-09-09,0.26085
2023-09-10,0.27299
2023-09-11,0.50958
2023-09-12,0.47318
2023-09-13,0.43072
2023-09-14,1.30429
2023-09-15,1.01917
2023-09-16,0.8311
2023-09-17,0.44285
2023-09-18,0.62484
2023-09-19,0.70977
2023-09-20,0.67338
2023-09-21,2.76025
2023-09-22,3.30016
2023-09-23,1.87454
2023-09-24,1.40742
2023-09-25,1.00703
2023-09-26,0.9039
2023-09-27,0.9585
2023-09-28,1.22543
2023-09-29,1.23756
2023-09-30,0.51565
2023-10-01,0.45498
2023-10-02,0.47318
2023-10-03,0.66731
2023-10-04,0.74617
2023-10-05,0.66731
2023-10-06,0.58844
2023-10-07,0.44892
2023-10-08,0.39432
2023-10-09,0.58238
2023-10-10,0.58238
2023-10-11,0.8129
2023-10-12,0.66124
2023-10-13,0.76437
2023-10-14,0.41858
2023-10-15,0.55811
2023-10-16,0.70371
2023-10-17,0.8493
2023-10-18,0.67338
2023-10-19,0.77044
