date,달러투자
2020-03-20,30.45733
2020-03-21,14.80433
2020-03-22,17.72748
2020-03-23,21.68788
2020-03-24,14.56859
2020-03-25,11.5983
2020-03-26,12.4941
2020-03-27,14.00282
2020-03-28,11.92833
2020-03-29,10.89108
2020-03-30,10.32531
2020-03-31,9.66525
2020-04-01,12.06977
2020-04-02,9.28807
2020-04-03,9.85384
2020-04-04,6.45921
2020-04-05,7.54361
2020-04-06,10.13672
2020-04-07,9.85384
2020-04-08,10.46676
2020-04-09,8.95803
2020-04-10,7.59075
2020-04-11,5.51626
2020-04-12,5.46911
2020-04-13,7.87364
2020-04-14,6.22347
2020-04-15,5.46911
2020-04-16,7.44931
2020-04-17,6.03488
2020-04-18,4.10183
2020-04-19,5.37482
2020-04-20,6.17633
2020-04-21,7.35502
2020-04-22,6.88354
2020-04-23,6.17633
2020-04-24,5.37482
2020-04-25,3.7718
2020-04-26,5.18623
2020-04-27,5.42197
2020-04-28,5.04479
2020-04-29,4.38472
2020-04-30,3.44177
2020-05-01,3.11173
2020-05-02,2.49882
2020-05-03,2.876
2020-05-04,3.20603
2020-05-05,3.48892
2020-05-06,3.44177
2020-05-07,2.7817
2020-05-08,2.59311
2020-05-09,1.46157
2020-05-10,2.21593
2020-05-11,3.34747
2020-05-12,2.49882
2020-05-13,2.92314
2020-05-14,3.25318
2020-05-15,3.72465
2020-05-16,1.93305
2020-05-17,3.11173
2020-05-18,3.63036
2020-05-19,3.06459
2020-05-20,3.15888
2020-05-21,2.49882
2020-05-22,3.63036
2020-05-23,1.8859
2020-05-24,4.10183
2020-05-25,5.09193
2020-05-26,4.90334
2020-05-27,4.62046
2020-05-28,6.08203
2020-05-29,3.34747
2020-05-30,3.11173
2020-05-31,3.44177
2020-06-01,3.91324
2020-06-02,3.72465
2020-06-03,6.08203
2020-06-04,5.37482
2020-06-05,8.81659
2020-06-06,8.01508
2020-06-07,5.752
2020-06-08,7.82649
2020-06-09,10.70249
2020-06-10,9.57095
2020-06-11,7.35502
2020-06-12,4.52616
2020-06-13,2.59311
2020-06-14,2.876
2020-06-15,4.47901
2020-06-16,3.67751
2020-06-17,4.19613
2020-06-18,4.7619
2020-06-19,4.19613
2020-06-20,2.21593
2020-06-21,2.12164
2020-06-22,3.67751
2020-06-23,4.47901
2020-06-24,4.00754
2020-06-25,4.52616
2020-06-26,4.85619
2020-06-27,3.20603
2020-06-28,2.54596
2020-06-29,4.05469
2020-06-30,4.19613
2020-07-01,4.6676
2020-07-02,3.8661
2020-07-03,3.91324
2020-07-04,2.7817
2020-07-05,2.7817
2020-07-06,4.57331
2020-07-07,5.23338
2020-07-08,3.81895
2020-07-09,3.72465
2020-07-10,3.15888
2020-07-11,2.21593
2020-07-12,2.31023
2020-07-13,3.25318
2020-07-14,4.14898
2020-07-15,4.29042
2020-07-16,3.91324
2020-07-17,2.59311
2020-07-18,2.82885
2020-07-19,3.34747
2020-07-20,3.44177
2020-07-21,4.38472
2020-07-22,5.18623
2020-07-23,5.61056
2020-07-24,4.24328
2020-07-25,4.6676
2020-07-26,3.25318
2020-07-27,7.07213
2020-07-28,9.05233
2020-07-29,9.80669
2020-07-30,8.20367
2020-07-31,7.16643
2020-08-01,3.48892
2020-08-02,5.98774
2020-08-03,6.6478
2020-08-04,5.89344
2020-08-05,7.49646
2020-08-06,9.57095
2020-08-07,7.11928
2020-08-08,5.51626
2020-08-09,6.36492
2020-08-10,7.92079
2020-08-11,8.29797
2020-08-12,6.50636
2020-08-13,5.51626
2020-08-14,4.47901
2020-08-15,2.35737
2020-08-16,3.15888
2020-08-17,3.72465
2020-08-18,5.04479
2020-08-19,6.93069
2020-08-20,6.55351
2020-08-21,4.80905
2020-08-22,3.01744
2020-08-23,3.96039
2020-08-24,6.6478
2020-08-25,5.42197
2020-08-26,4.33757
2020-08-27,4.52616
2020-08-28,5.6577
2020-08-29,3.11173
2020-08-30,4.10183
2020-08-31,4.6676
2020-09-01,7.44931
2020-09-02,7.26072
2020-09-03,5.94059
2020-09-04,4.71475
2020-09-05,3.67751
2020-09-06,3.34747
2020-09-07,6.41206
2020-09-08,6.50636
2020-09-09,5.04479
2020-09-10,5.13908
2020-09-11,5.61056
2020-09-12,3.67751
2020-09-13,3.48892
2020-09-14,4.19613
2020-09-15,6.50636
2020-09-16,8.10938
2020-09-17,7.7322
2020-09-18,16.59594
2020-09-19,8.76944
2020-09-20,7.11928
2020-09-21,12.35266
2020-09-22,12.25836
2020-09-23,6.69495
2020-09-24,6.50636
2020-09-25,7.02498
2020-09-26,2.73455
2020-09-27,4.10183
2020-09-28,4.19613
2020-09-29,4.14898
2020-09-30,4.29042
2020-10-01,4.38472
2020-10-02,2.54596
2020-10-03,3.20603
2020-10-04,2.97029
2020-10-05,7.40216
2020-10-06,6.93069
2020-10-07,5.79915
2020-10-08,7.30787
2020-10-09,5.6577
2020-10-10,5.84629
2020-10-11,5.51626
2020-10-12,10.98538
2020-10-13,10.84394
2020-10-14,8.06223
2020-10-15,8.48656
2020-10-16,5.79915
2020-10-17,4.05469
