date,5호선연장
2020-03-20,0.30858
2020-03-21,0.34852
2020-03-22,0.26502
2020-03-23,0.4901
2020-03-24,0.38482
2020-03-25,0.41386
2020-03-26,0.42838
2020-03-27,0.36667
2020-03-28,0.31221
2020-03-29,0.27591
2020-03-30,0.44291
2020-03-31,0.37393
2020-04-01,0.38845
2020-04-02,0.59538
2020-04-03,0.41023
2020-04-04,0.19967
2020-04-05,0.30132
2020-04-06,0.51188
2020-04-07,0.56271
2020-04-08,0.53367
2020-04-09,0.43928
2020-04-10,0.39208
2020-04-11,0.17062
2020-04-12,0.30495
2020-04-13,0.50462
2020-04-14,0.36667
2020-04-15,0.21056
2020-04-16,0.37393
2020-04-17,0.41023
2020-04-18,0.34489
2020-04-19,0.43565
2020-04-20,0.42475
2020-04-21,0.31221
2020-04-22,0.4066
2020-04-23,0.4066
2020-04-24,0.42475
2020-04-25,0.26139
2020-04-26,0.2868
2020-04-27,0.37393
2020-04-28,0.38119
2020-04-29,0.34489
2020-04-30,0.22145
2020-05-01,0.34852
2020-05-02,0.25412
2020-05-03,0.30132
2020-05-04,0.34489
2020-05-05,0.3231
2020-05-06,0.42112
2020-05-07,0.38845
2020-05-08,0.34852
2020-05-09,0.22871
2020-05-10,0.27954
2020-05-11,0.32673
2020-05-12,0.47921
2020-05-13,0.40297
2020-05-14,0.39208
2020-05-15,0.39208
2020-05-16,0.23234
2020-05-17,0.22508
2020-05-18,1.30332
2020-05-19,0.94027
2020-05-20,0.63169
2020-05-21,0.65347
2020-05-22,0.56634
2020-05-23,0.38482
2020-05-24,1.10001
2020-05-25,0.6208
2020-05-26,0.51188
2020-05-27,0.59175
2020-05-28,0.47195
2020-05-29,0.47558
2020-05-30,0.30858
2020-05-31,0.32673
2020-06-01,0.54456
2020-06-02,0.58086
2020-06-03,0.53367
2020-06-04,0.41386
2020-06-05,0.48647
2020-06-06,0.29769
2020-06-07,0.31221
2020-06-08,0.53004
2020-06-09,0.52641
2020-06-10,0.54819
2020-06-11,0.33762
2020-06-12,0.30858
2020-06-13,0.35578
2020-06-14,0.33762
2020-06-15,0.59538
2020-06-16,1.23797
2020-06-17,0.47921
2020-06-18,0.46469
2020-06-19,0.42475
2020-06-20,0.23234
2020-06-21,0.34125
2020-06-22,0.4901
2020-06-23,0.39208
2020-06-24,0.60265
2020-06-25,0.38482
2020-06-26,0.35578
2020-06-27,0.27591
2020-06-28,0.27228
2020-06-29,0.48284
2020-06-30,0.46832
2020-07-01,0.42838
2020-07-02,0.40297
2020-07-03,0.37393
2020-07-04,0.29406
2020-07-05,0.29406
2020-07-06,0.38482
2020-07-07,0.41386
2020-07-08,0.42475
2020-07-09,0.35941
2020-07-10,0.29769
2020-07-11,0.27954
2020-07-12,0.30495
2020-07-13,0.53367
2020-07-14,0.47558
2020-07-15,0.39934
2020-07-16,0.33762
2020-07-17,0.41749
2020-07-18,0.35941
2020-07-19,0.33762
2020-07-20,0.42475
2020-07-21,0.45743
