date,코넥스상장
2020-03-20,7.4074
2020-03-21,10.58201
2020-03-22,3.7037
2020-03-23,11.11111
2020-03-24,23.80952
2020-03-25,28.04232
2020-03-26,49.73544
2020-03-27,34.92063
2020-03-28,22.22222
2020-03-29,17.98941
2020-03-30,21.69312
2020-03-31,26.45502
2020-04-01,28.04232
2020-04-02,32.27513
2020-04-03,30.68783
2020-04-04,20.10582
2020-04-05,11.11111
2020-04-06,20.63492
2020-04-07,34.92063
2020-04-08,39.15343
2020-04-09,32.80423
2020-04-10,28.57142
2020-04-11,20.10582
2020-04-12,14.81481
2020-04-13,22.75132
2020-04-14,23.80952
2020-04-15,17.46031
2020-04-16,26.45502
2020-04-17,25.39682
2020-04-18,16.40211
2020-04-19,7.4074
2020-04-20,25.39682
2020-04-21,30.15873
2020-04-22,29.10052
2020-04-23,47.61904
2020-04-24,42.32804
2020-04-25,11.64021
2020-04-26,7.9365
2020-04-27,16.93121
2020-04-28,16.93121
2020-04-29,16.93121
2020-04-30,13.75661
2020-05-01,7.4074
2020-05-02,10.05291
2020-05-03,6.3492
2020-05-04,13.75661
2020-05-05,13.75661
2020-05-06,21.16402
2020-05-07,21.69312
2020-05-08,28.04232
2020-05-09,12.16931
2020-05-10,6.3492
2020-05-11,22.75132
2020-05-12,21.16402
2020-05-13,13.75661
2020-05-14,21.69312
2020-05-15,13.22751
2020-05-16,7.9365
2020-05-17,6.3492
2020-05-18,24.33862
2020-05-19,22.75132
2020-05-20,25.92592
2020-05-21,21.69312
2020-05-22,24.33862
2020-05-23,17.46031
2020-05-24,10.05291
2020-05-25,30.68783
2020-05-26,23.28042
2020-05-27,29.62962
2020-05-28,20.63492
2020-05-29,21.69312
2020-05-30,8.9947
2020-05-31,14.81481
2020-06-01,21.16402
2020-06-02,17.98941
2020-06-03,15.87301
2020-06-04,26.45502
2020-06-05,25.92592
2020-06-06,7.9365
2020-06-07,13.75661
2020-06-08,26.98412
2020-06-09,20.10582
2020-06-10,23.80952
2020-06-11,27.51322
2020-06-12,18.51851
2020-06-13,13.22751
2020-06-14,10.05291
2020-06-15,17.98941
2020-06-16,20.63492
2020-06-17,24.86772
2020-06-18,20.10582
2020-06-19,18.51851
2020-06-20,3.7037
2020-06-21,8.9947
2020-06-22,17.46031
2020-06-23,24.33862
2020-06-24,22.22222
2020-06-25,28.04232
2020-06-26,19.57671
2020-06-27,11.64021
