date,스마트스토어개설
2020-03-20,8.36734
2020-03-21,6.32653
2020-03-22,4.48979
2020-03-23,10.81632
2020-03-24,12.65306
2020-03-25,11.22448
2020-03-26,11.63265
2020-03-27,7.14285
2020-03-28,6.32653
2020-03-29,9.18367
2020-03-30,10.61224
2020-03-31,6.93877
2020-04-01,10.40816
2020-04-02,9.59183
2020-04-03,6.12244
2020-04-04,5.71428
2020-04-05,5.91836
2020-04-06,11.42857
2020-04-07,15.10204
2020-04-08,11.42857
2020-04-09,10.40816
2020-04-10,9.59183
2020-04-11,6.53061
2020-04-12,6.12244
2020-04-13,14.48979
2020-04-14,13.06122
2020-04-15,5.91836
2020-04-16,9.79591
2020-04-17,9.59183
2020-04-18,3.2653
2020-04-19,4.28571
2020-04-20,9.18367
2020-04-21,10.81632
2020-04-22,11.42857
2020-04-23,8.36734
2020-04-24,7.7551
2020-04-25,5.30612
2020-04-26,4.48979
2020-04-27,9.18367
2020-04-28,8.77551
2020-04-29,5.5102
2020-04-30,2.85714
2020-05-01,4.28571
2020-05-02,7.34693
2020-05-03,3.06122
2020-05-04,8.97959
2020-05-05,7.34693
2020-05-06,8.36734
2020-05-07,10.20408
2020-05-08,6.73469
2020-05-09,4.69387
2020-05-10,3.2653
2020-05-11,7.55102
2020-05-12,10.20408
2020-05-13,10.81632
2020-05-14,7.14285
2020-05-15,5.71428
2020-05-16,4.28571
2020-05-17,5.91836
2020-05-18,8.57142
2020-05-19,7.34693
2020-05-20,6.12244
2020-05-21,8.97959
2020-05-22,5.71428
2020-05-23,2.04081
2020-05-24,3.67346
2020-05-25,11.22448
2020-05-26,8.36734
2020-05-27,8.36734
2020-05-28,7.55102
2020-05-29,6.53061
2020-05-30,2.65306
2020-05-31,3.87755
2020-06-01,6.93877
2020-06-02,9.38775
2020-06-03,10.0
2020-06-04,8.36734
2020-06-05,6.93877
2020-06-06,4.08163
2020-06-07,4.89795
2020-06-08,11.22448
2020-06-09,8.57142
2020-06-10,8.97959
2020-06-11,10.0
2020-06-12,7.7551
2020-06-13,4.08163
2020-06-14,4.08163
2020-06-15,7.95918
2020-06-16,8.57142
2020-06-17,9.38775
2020-06-18,10.61224
2020-06-19,8.16326
2020-06-20,3.87755
2020-06-21,4.69387
2020-06-22,7.7551
2020-06-23,7.34693
2020-06-24,11.42857
2020-06-25,7.14285
2020-06-26,4.28571
2020-06-27,4.69387
2020-06-28,2.85714
2020-06-29,5.10204
2020-06-30,6.73469
2020-07-01,9.38775
2020-07-02,13.2653
2020-07-03,9.79591
2020-07-04,4.08163
2020-07-05,1.63265
2020-07-06,10.20408
2020-07-07,11.0204
2020-07-08,10.40816
2020-07-09,9.38775
2020-07-10,10.0
2020-07-11,2.65306
2020-07-12,4.08163
2020-07-13,10.0
2020-07-14,10.81632
2020-07-15,8.16326
2020-07-16,7.34693
2020-07-17,9.59183
2020-07-18,3.67346
2020-07-19,4.89795
2020-07-20,14.28571
2020-07-21,10.61224
2020-07-22,9.79591
2020-07-23,11.83673
2020-07-24,6.12244
2020-07-25,3.46938
2020-07-26,4.89795
2020-07-27,9.59183
2020-07-28,13.67346
2020-07-29,10.61224
2020-07-30,9.18367
2020-07-31,7.55102
2020-08-01,4.89795
2020-08-02,5.30612
2020-08-03,12.44897
2020-08-04,12.44897
2020-08-05,7.95918
2020-08-06,18.36734
2020-08-07,10.20408
2020-08-08,6.93877
2020-08-09,7.34693
2020-08-10,11.83673
2020-08-11,9.79591
2020-08-12,11.63265
2020-08-13,11.42857
2020-08-14,7.55102
2020-08-15,4.69387
2020-08-16,4.89795
2020-08-17,6.32653
2020-08-18,8.57142
2020-08-19,7.7551
2020-08-20,7.95918
2020-08-21,12.04081
2020-08-22,6.73469
2020-08-23,6.32653
2020-08-24,13.2653
2020-08-25,10.40816
2020-08-26,17.34693
2020-08-27,12.65306
2020-08-28,9.59183
2020-08-29,8.36734
2020-08-30,9.59183
2020-08-31,12.24489
2020-09-01,14.69387
2020-09-02,14.69387
2020-09-03,11.22448
2020-09-04,10.0
2020-09-05,8.97959
2020-09-06,6.73469
2020-09-07,15.91836
2020-09-08,14.08163
2020-09-09,10.61224
2020-09-10,8.97959
2020-09-11,10.40816
2020-09-12,3.2653
2020-09-13,9.18367
2020-09-14,14.28571
2020-09-15,10.61224
2020-09-16,11.83673
2020-09-17,10.40816
2020-09-18,10.61224
2020-09-19,4.08163
2020-09-20,6.73469
2020-09-21,14.28571
2020-09-22,14.08163
2020-09-23,16.12244
2020-09-24,11.83673
2020-09-25,9.59183
2020-09-26,3.2653
2020-09-27,5.5102
2020-09-28,15.5102
2020-09-29,7.14285
2020-09-30,6.12244
2020-10-01,4.89795
2020-10-02,6.32653
2020-10-03,4.69387
2020-10-04,9.79591
2020-10-05,17.34693
2020-10-06,16.53061
2020-10-07,12.24489
2020-10-08,11.22448
2020-10-09,7.34693
2020-10-10,4.89795
2020-10-11,6.12244
2020-10-12,15.91836
2020-10-13,15.5102
2020-10-14,14.28571
2020-10-15,9.38775
2020-10-16,8.77551
2020-10-17,4.48979
2020-10-18,5.5102
2020-10-19,15.30612
2020-10-20,14.69387
2020-10-21,12.65306
2020-10-22,13.46938
2020-10-23,10.61224
2020-10-24,5.5102
2020-10-25,6.53061
2020-10-26,13.67346
2020-10-27,10.0
2020-10-28,9.38775
2020-10-29,7.95918
2020-10-30,9.38775
2020-10-31,6.12244
2020-11-01,5.5102
2020-11-02,12.85714
2020-11-03,13.87755
2020-11-04,12.65306
2020-11-05,14.48979
2020-11-06,11.0204
2020-11-07,6.73469
2020-11-08,4.69387
2020-11-09,15.91836
2020-11-10,9.18367
2020-11-11,12.44897
2020-11-12,12.85714
2020-11-13,12.44897
2020-11-14,7.34693
2020-11-15,6.12244
2020-11-16,11.83673
2020-11-17,12.85714
2020-11-18,19.18367
2020-11-19,15.10204
2020-11-20,12.65306
2020-11-21,5.30612
2020-11-22,9.79591
2020-11-23,14.28571
2020-11-24,13.67346
2020-11-25,9.59183
2020-11-26,14.08163
2020-11-27,12.44897
2020-11-28,7.14285
2020-11-29,7.55102
2020-11-30,10.81632
2020-12-01,12.85714
2020-12-02,13.46938
2020-12-03,14.28571
2020-12-04,10.61224
2020-12-05,5.91836
2020-12-06,9.38775
2020-12-07,16.53061
2020-12-08,16.12244
2020-12-09,15.30612
2020-12-10,15.30612
2020-12-11,15.71428
2020-12-12,7.55102
2020-12-13,8.57142
2020-12-14,13.06122
2020-12-15,12.24489
2020-12-16,16.32653
2020-12-17,11.0204
2020-12-18,11.42857
2020-12-19,7.95918
2020-12-20,8.36734
2020-12-21,17.14285
2020-12-22,16.53061
2020-12-23,15.10204
2020-12-24,11.0204
2020-12-25,8.97959
2020-12-26,7.34693
2020-12-27,8.57142
2020-12-28,16.32653
2020-12-29,18.97959
2020-12-30,13.2653
2020-12-31,10.61224
2021-01-01,7.34693
2021-01-02,9.38775
2021-01-03,12.65306
2021-01-04,19.18367
2021-01-05,20.20408
2021-01-06,23.2653
2021-01-07,15.5102
2021-01-08,9.38775
2021-01-09,8.77551
2021-01-10,11.22448
2021-01-11,20.81632
2021-01-12,19.38775
2021-01-13,14.69387
2021-01-14,14.69387
2021-01-15,13.46938
2021-01-16,9.59183
2021-01-17,8.16326
2021-01-18,16.93877
2021-01-19,17.34693
2021-01-20,14.89795
2021-01-21,14.48979
2021-01-22,11.63265
2021-01-23,8.97959
2021-01-24,6.32653
2021-01-25,10.61224
2021-01-26,18.57142
2021-01-27,14.69387
2021-01-28,13.06122
2021-01-29,10.20408
2021-01-30,4.89795
2021-01-31,8.97959
2021-02-01,11.83673
2021-02-02,15.10204
2021-02-03,17.14285
2021-02-04,13.67346
2021-02-05,10.0
2021-02-06,6.53061
2021-02-07,7.7551
2021-02-08,12.24489
2021-02-09,13.67346
2021-02-10,9.79591
2021-02-11,5.10204
2021-02-12,5.71428
2021-02-13,8.77551
2021-02-14,9.18367
2021-02-15,18.16326
2021-02-16,13.87755
2021-02-17,15.30612
2021-02-18,17.7551
2021-02-19,12.44897
2021-02-20,8.16326
2021-02-21,8.36734
2021-02-22,11.42857
2021-02-23,16.53061
2021-02-24,16.53061
2021-02-25,11.22448
2021-02-26,10.20408
2021-02-27,6.73469
2021-02-28,7.14285
2021-03-01,7.55102
2021-03-02,14.48979
2021-03-03,13.2653
2021-03-04,14.89795
2021-03-05,17.95918
2021-03-06,4.28571
2021-03-07,8.97959
2021-03-08,15.30612
2021-03-09,14.28571
2021-03-10,14.89795
2021-03-11,14.89795
2021-03-12,12.44897
2021-03-13,5.5102
2021-03-14,6.53061
2021-03-15,14.69387
2021-03-16,14.89795
2021-03-17,15.10204
2021-03-18,14.48979
2021-03-19,13.67346
2021-03-20,7.95918
2021-03-21,5.71428
2021-03-22,13.87755
2021-03-23,11.0204
2021-03-24,14.48979
2021-03-25,14.69387
2021-03-26,15.10204
2021-03-27,5.5102
2021-03-28,7.95918
2021-03-29,10.20408
2021-03-30,12.44897
2021-03-31,14.08163
2021-04-01,12.85714
2021-04-02,11.83673
2021-04-03,7.55102
2021-04-04,7.14285
2021-04-05,12.85714
2021-04-06,13.06122
2021-04-07,12.44897
2021-04-08,14.48979
2021-04-09,10.61224
2021-04-10,5.30612
2021-04-11,3.87755
2021-04-12,14.28571
2021-04-13,15.71428
2021-04-14,17.34693
2021-04-15,14.69387
2021-04-16,7.14285
2021-04-17,6.12244
2021-04-18,6.93877
2021-04-19,17.55102
2021-04-20,11.63265
2021-04-21,14.08163
2021-04-22,11.63265
2021-04-23,10.61224
2021-04-24,4.69387
2021-04-25,6.93877
2021-04-26,14.08163
2021-04-27,20.61224
2021-04-28,11.22448
2021-04-29,12.24489
2021-04-30,10.61224
