date,청년펀드
2020-05-12,0.8633
2020-07-06,1.00719
2020-08-14,0.71942
2020-08-21,0.71942
2020-08-27,0.71942
2020-09-03,1.29496
2020-09-04,1.00719
2020-09-05,1.15107
2020-09-08,1.43884
2020-09-09,0.8633
2020-09-13,0.71942
2020-09-28,0.8633
2020-10-13,1.00719
2020-10-20,0.71942
2020-11-25,0.8633
2020-12-30,0.71942
2021-01-09,0.71942
2021-01-12,0.8633
2021-01-18,0.71942
2021-01-24,0.71942
2021-02-02,0.71942
2021-02-23,0.71942
2021-03-31,0.71942
2021-05-05,1.00719
2021-06-01,0.71942
2021-06-17,8.34532
2021-06-18,2.73381
2021-06-19,3.30935
2021-06-21,0.71942
2021-06-27,0.8633
2021-06-28,1.58273
2021-06-29,4.02877
2021-06-30,1.29496
2021-07-01,1.15107
2021-07-02,0.8633
2021-07-04,1.00719
2021-07-08,1.43884
2021-07-14,74.53237
2021-07-15,86.76258
2021-07-16,46.6187
2021-07-17,18.41726
2021-07-18,14.38848
2021-07-19,19.28057
2021-07-20,14.82014
2021-07-21,10.21582
2021-07-22,11.22302
2021-07-23,11.94244
2021-07-24,7.48201
2021-07-25,7.91366
2021-07-26,35.25179
2021-07-27,50.79136
2021-07-28,23.45323
2021-07-29,20.57553
2021-07-30,16.54676
2021-07-31,7.62589
2021-08-01,9.20863
2021-08-02,15.68345
2021-08-03,14.38848
2021-08-04,10.07194
2021-08-05,10.93525
2021-08-06,8.77697
2021-08-07,8.05755
2021-08-08,7.05035
2021-08-09,13.52517
2021-08-10,13.66906
2021-08-11,9.20863
2021-08-12,9.35251
2021-08-13,7.91366
2021-08-14,6.33093
2021-08-15,6.18705
2021-08-16,8.20143
2021-08-17,9.78417
2021-08-18,9.92805
2021-08-19,10.35971
2021-08-20,7.91366
2021-08-21,5.03597
2021-08-22,3.45323
2021-08-23,7.19424
2021-08-24,10.50359
2021-08-25,12.08633
2021-08-26,22.30215
2021-08-27,18.70503
2021-08-28,8.05755
2021-08-29,7.48201
2021-08-30,7.76978
2021-08-31,10.64748
2021-09-01,10.50359
2021-09-02,5.32374
2021-09-03,6.18705
2021-09-04,2.73381
2021-09-05,4.46043
2021-09-06,6.6187
2021-09-07,5.75539
2021-09-08,8.05755
2021-09-09,6.33093
2021-09-10,4.46043
2021-09-11,1.43884
2021-09-12,3.59712
2021-09-13,2.30215
2021-09-14,6.6187
2021-09-15,3.741
2021-09-16,3.88489
2021-09-17,4.02877
2021-09-18,2.01438
2021-09-19,1.72661
2021-09-20,2.30215
2021-09-21,2.87769
2021-09-22,4.7482
2021-09-23,5.32374
2021-09-24,5.17985
2021-09-25,2.73381
2021-09-26,2.73381
2021-09-27,5.61151
2021-09-28,4.46043
2021-09-29,3.88489
2021-09-30,5.61151
2021-10-01,5.03597
2021-10-02,2.87769
2021-10-03,1.72661
2021-10-04,3.30935
2021-10-05,4.46043
2021-10-06,3.30935
2021-10-07,4.31654
2021-10-08,4.7482
2021-10-09,2.30215
2021-10-10,5.32374
2021-10-11,4.89208
2021-10-12,5.17985
2021-10-13,3.88489
2021-10-14,8.20143
2021-10-15,6.47482
2021-10-16,3.88489
2021-10-17,3.45323
2021-10-18,5.03597
2021-10-19,2.73381
2021-10-20,4.17266
2021-10-21,3.88489
2021-10-22,2.73381
2021-10-23,2.44604
2021-10-24,2.44604
2021-10-25,4.46043
2021-10-26,5.46762
2021-10-27,7.76978
2021-10-28,4.31654
2021-10-29,2.58992
2021-10-30,1.8705
2021-10-31,2.73381
2021-11-01,3.59712
2021-11-02,3.16546
2021-11-03,3.16546
2021-11-04,2.58992
2021-11-05,3.16546
2021-11-06,1.29496
2021-11-07,1.00719
2021-11-08,3.30935
2021-11-09,2.01438
2021-11-10,2.44604
2021-11-11,2.15827
2021-11-12,4.02877
2021-11-13,1.15107
2021-11-14,2.44604
2021-11-15,3.45323
2021-11-16,4.17266
2021-11-17,2.73381
2021-11-18,3.741
2021-11-19,2.30215
2021-11-20,2.15827
2021-11-21,2.30215
2021-11-22,3.02158
2021-11-23,2.87769
2021-11-24,3.30935
2021-11-25,2.58992
2021-11-26,2.58992
2021-11-27,2.01438
2021-11-28,1.00719
2021-11-29,2.87769
2021-11-30,2.30215
2021-12-01,2.73381
2021-12-02,2.58992
2021-12-03,1.72661
2021-12-04,1.8705
2021-12-05,1.43884
2021-12-06,4.46043
2021-12-07,2.87769
2021-12-08,11.07913
2021-12-09,4.46043
2021-12-10,4.17266
2021-12-11,2.44604
2021-12-12,3.02158
2021-12-13,4.60431
2021-12-14,5.46762
2021-12-15,4.60431
2021-12-16,3.16546
2021-12-17,5.46762
2021-12-18,8.63309
2021-12-19,6.47482
2021-12-20,6.04316
2021-12-21,5.17985
2021-12-22,7.76978
2021-12-23,4.02877
2021-12-24,4.31654
2021-12-25,2.44604
2021-12-26,4.31654
2021-12-27,9.06474
2021-12-28,13.52517
2021-12-29,19.85611
2021-12-30,42.58992
2021-12-31,36.1151
2022-01-01,62.15827
2022-01-02,61.15107
2022-01-03,69.06474
2022-01-04,46.90647
2022-01-05,42.30215
2022-01-06,38.9928
2022-01-07,29.64028
2022-01-08,18.27338
2022-01-09,21.8705
